pregunta,a,b,c,d,correcta,tipo
"22 – Según el Estatuto General de la Abogacía, no son deberes de los profesionales de la Abogacía:","Comunicar al Colegio la intención de interponer, en nombre propio o del cliente, una acción de responsabilidad civil o penal contra otro profesional de la Abogacía, derivada del ejercicio profesional.","No atribuirse facultades distintas de las conferidas por el cliente.","Pedir la declaración testifical del profesional de la Abogacía de la parte contraria o de otros profesionales de la Abogacía que hubieran tenido alguna implicación profesional en el asunto.","Comunicar el cese o interrupción de las negociaciones extrajudiciales antes de presentar reclamación judicial o, en su caso, de solicitar la ejecución de una resolución.",c,COMUN
"23 – Elisa, Abogada que ejerce por cuenta propia, está dada de alta en una Mutualidad de previsión social alternativa al RETA. ¿Qué prestaciones mínimas están incluidas en su cobertura?","Las mismas prestaciones que ofrece el sistema público: jubilación, invalidez permanente, incapacidad temporal incluyendo maternidad, paternidad, riesgo de embarazo y fallecimiento que pueda dar lugar a viudedad y/o orfandad.","Las coberturas de jubilación e incapacidad permanente.","Las coberturas de invalidez permanente, incapacidad temporal y fallecimiento.","Depende de las coberturas que haya pactado Elisa con la Mutualidad.",a,COMUN
"24 – Carlos, Abogado en ejercicio, recibe el encargo de un cliente de presentar una demanda de modificación de medidas civiles. Transcurrido un tiempo, Carlos le indica a su cliente que ya ha presentado la demanda, a pesar de no haberlo hecho realmente. ¿En qué clase de responsabilidad podría incurrir Carlos?","Responsabilidad civil, penal y disciplinaria, según proceda.","Responsabilidad civil derivada del delito y en responsabilidad penal, la cual excluye la responsabilidad disciplinaria por aplicación del principio non bis in idem.","Responsabilidad civil o, alternativamente, en responsabilidad penal exclusivamente.","Responsabilidad civil, penal y de policía de estrados.",a,COMUN
"25 – Una sociedad profesional dedicada al asesoramiento jurídico ha sufrido una violación de seguridad que afecta a los datos personales de sus clientes. ¿Cómo debe proceder la sociedad ante dicha circunstancia?","Notificará, en todo caso, la violación a la autoridad de control competente en la materia.","Notificará a la autoridad de control dicha violación de seguridad solo si es probable que la violación constituya un riesgo para los derechos y las libertades de los afectados.","Bastará con que notifique la violación a su Delegado de Protección de Datos.","De ninguna forma, dado que el Código deontológico de la Abogacía y el deber de secreto profesional eximen de la obligación de notificar a la autoridad.",b,COMUN
"26 – Paula, quien acaba de colegiarse como ejerciente, pretende constituir una sociedad profesional con su compañero Rafael. Ambos contratan un seguro de responsabilidad civil profesional, si bien de forma individual. ¿Es necesario que contraten un seguro para constituirse en sociedad profesional?","No, es suficiente con que se aseguren ellos individualmente.","Sí, en todo caso.","No es necesario, aunque es conveniente hacerlo.","Depende de si la sociedad está compuesta por socios que no ejerzan la Abogacía.",b,COMUN
"27 – Concepción, Abogada ejerciente, que presta servicios por cuenta ajena para un despacho de Abogados en régimen de relación laboral especial, tiene dudas acerca de cómo hacer su declaración de la renta. ¿Cómo deberá declarar Concepción en el Impuesto sobre la Renta de las Personas Físicas las retribuciones que perciba de dicho despacho?","Como rendimientos de trabajo si dichas retribuciones no superan los 60.000 € anuales, pero si superan dicha cifra las retribuciones, habrán de declararse como rendimientos de actividades económicas.","Como rendimientos de actividades económicas, determinándose dicho rendimiento por el régimen de estimación directa.","Como rendimientos de actividades económicas, por el régimen de estimación objetiva.","Como rendimientos del trabajo.",d,COMUN
"28 – Juan Pedro, Abogado en ejercicio, está haciendo limpieza en su despacho y decide tirar en el contenedor más cercano una serie de expedientes relativos a pleitos con más de veinticinco años de antigüedad. ¿Es correcto el proceder de Juan Pedro?","Sí, siempre que sean únicamente datos de clientes con los que ya no se mantiene ninguna relación.","No, porque, aunque sean datos antiguos su destrucción debe llevarse a cabo con pleno respeto de las medidas de seguridad.","Sí, salvo que se trate de datos de carácter sensible, en cuyo caso deberán ser siempre custodiados en su despacho hasta que deje el ejercicio de la Abogacía.","No, pues el plazo de conservación de los datos en el ámbito de Abogacía expira a los treinta años.",b,COMUN
"29 – El matrimonio formado por Carles y Eduard ha decidido someter a mediación su disputa. En la segunda sesión, Eduard observa que no van a poder llegar a un acuerdo, por lo que decide renunciar y abandonar el proceso de mediación. ¿Puede hacerlo?","No. Una vez iniciado el proceso de mediación, no cabe abandonarlo.","Sí, por causa justificada y con la aprobación de la persona mediadora.","Sí, pero necesitará de la aprobación de Carles.","Sí, dado que nadie está obligado a mantenerse en el procedimiento de mediación ni a concluir un acuerdo.",d,COMUN
"30 – Pau tiene reconocido el derecho a la asistencia jurídica gratuita, por lo que se le ha designado para su defensa a una Abogada del turno de oficio, Àngels. Pau quiere escoger libremente como Procurador a su amigo Joan. ¿Puede hacerlo?","Sí, y además Pau no tendrá que hacerse cargo de los honorarios de Joan al tener reconocido el derecho a la asistencia jurídica gratuita.","Sí, pero Pau tendrá que hacerse cargo de los honorarios de Joan.","No, puesto que en ningún caso pueden actuar simultáneamente un profesional de la Abogacía del turno de oficio y un profesional de la Procura libremente elegido.","No, salvo que Joan renuncie por escrito a percibir sus honorarios.",d,COMUN
"31 – A Arantxa se le ha notificado una resolución por la que se le deniega el derecho a la asistencia jurídica gratuita, por lo que decide impugnarla. Tramitada su impugnación, el Juez competente dicta un auto manteniendo la resolución impugnada. ¿Qué recurso puede interponer Arantxa contra dicho auto?","No cabe recurso alguno.","Recurso de apelación ante la Audiencia Provincial.","Recurso de reforma ante el mismo Juez que lo ha dictado.","Recurso de revisión ante el/la Letrado/a de la Administración de Justicia.",a,COMUN
"32 – Marisa (vendedora) y Manel (comprador) no se ponen de acuerdo a la hora de interpretar una de las cláusulas de un contrato de compraventa que ambos suscribieron, por lo que deciden someter dicha disputa a arbitraje. ¿Cuál es el órgano competente para el nombramiento del Árbitro?","El Juzgado de Primera Instancia del lugar del arbitraje.","La Audiencia Provincial del lugar del arbitraje.","El Árbitro será designado por Manel, a su elección, al ser el comprador.","La Sala de lo Civil y de lo Penal del Tribunal Superior de Justicia de la Comunidad Autónoma donde tenga lugar el arbitraje.",d,COMUN
"33 – Laura es la Abogada de Irene, quien ha sido condenada en sentencia firme por un delito de robo con violencia. Laura desea interponer recurso de amparo ante el Tribunal Constitucional al considerar que a lo largo del proceso judicial se vulneraron los derechos fundamentales de su clienta. ¿Qué plazo tiene Laura para interponer este recurso?","Noventa días desde la notificación de la resolución recaída en el proceso judicial.","Sesenta días desde la notificación de la resolución recaída en el proceso judicial.","Treinta días desde la notificación de la resolución recaída en el proceso judicial.","Veinte días desde la notificación de la resolución recaída en el proceso judicial.",c,COMUN
"34 – Ana, residente en Madrid, quiere demandar a la aerolínea AAZZ por un retraso de seis horas en su vuelo a Canarias. ¿Qué Juzgado es competente para conocer de esta demanda?","El Juzgado de lo Mercantil del domicilio de Ana.","El Juzgado de Primera Instancia del domicilio de Ana.","El Juzgado de lo Mercantil del domicilio social de la aerolínea.","El Juzgado de lo Contencioso-administrativo del domicilio de Ana.",b,COMUN
"35 – ¿El enjuiciamiento de cuál de los siguientes delitos no sería competencia de la Audiencia Nacional?","Un delito de fraude alimentario cometido por una organización criminal que afecte a varias provincias.","Un delito de estafa con generalidad de perjudicados que afecta a más de una Comunidad Autónoma.","Un delito de tráfico de drogas en cantidad que exceda notablemente de la considerada como de notoria importancia.","Un delito de lesiones contra el/la Consorte del titular de la Corona.",c,COMUN
"36 – Marina, acreedora de Cristóbal por una deuda de 1.600 €, desea acudir a conciliación para evitar un pleito. ¿Necesita Marina a un profesional de la Abogacía para el expediente de conciliación?","No, pero sí necesitará de la intervención de un profesional de la Procura que la represente.","No, en los expedientes de conciliación no será preceptiva la intervención de profesionales de la Abogacía ni de la Procura.","Sí, en los expedientes de conciliación es preceptiva tanto la intervención de profesional de la Abogacía como de la Procura.","No será necesario para la solicitud de conciliación, pero sí que será preceptiva la intervención de profesional de la Abogacía en la celebración del acto de conciliación.",b,COMUN
"37 – Marcos, Abogado, ha recibido un auto del Juzgado de Primera Instancia estimando la concurrencia de prejudicialidad civil, ya que la Jueza ha considerado que para resolver sobre el objeto del litigio es necesario primero decidir sobre otra cuestión que constituye, a su vez, el objeto principal de otro proceso pendiente ante otro Juzgado de Primera Instancia, sin que sea posible la acumulación de autos. ¿Qué consecuencia podrá tener el auto de prejudicialidad civil en la tramitación del proceso pendiente ante el Juzgado que lo ha dictado?","El Juzgado podrá conocer directamente las actuaciones pendientes ante el otro tribunal y resolverlas conjuntamente con efectos de cosa juzgada en ambos procesos.","El Juzgado podrá decretar la suspensión del curso de las actuaciones en el estado en que se hallen hasta que finalice el proceso que tenga por objeto la cuestión prejudicial.","El Juzgado deberá continuar el curso de las actuaciones y solo podrá suspender el proceso, una vez que esté pendiente del dictado de la sentencia.","El Juzgado deberá sobreseer el proceso por litispendencia.",b,COMUN
"38 – Martina, Abogada, desea plantear una cuestión incidental dentro de un procedimiento ordinario civil. ¿Hasta qué momento procesal puede hacerlo?","En cualquier momento del procedimiento, pero siempre antes del dictado de la sentencia.","En el procedimiento ordinario civil, no cabe plantear cuestiones incidentales.","Antes de que haya sido admitida la prueba propuesta.","Antes de que se haya iniciado el juicio.",d,COMUN
"39 – Yolanda, parte actora en un procedimiento ordinario civil promovido frente a cuatro demandados, ha visto desestimada la totalidad de sus pretensiones. La Jueza la ha condenado en costas al apreciar temeridad en su demanda. ¿Cuánto deberá pagar Yolanda?","La totalidad de las costas ocasionadas a cada uno de los demandados al haberse apreciado temeridad.","Una cantidad total, al conjunto de los demandados, que no exceda de la tercera parte de la cuantía del proceso.","A cada demandado una cuarta parte de las costas ocasionadas.","Una cantidad total que no exceda de las dos terceras partes de la cuantía del proceso.",a,COMUN
"40 – Durante un procedimiento monitorio, la Jueza de Primera Instancia considera que Vera, Abogada de la parte demandada, ha actuado conculcando las reglas de la buena fe procesal. ¿Puede la Jueza multar a Vera por este motivo?","Sí, podrá imponerle una multa que en ningún caso puede superar la tercera parte de la cuantía del litigio.","No, pero podrá apercibirla formalmente para que deponga su actitud.","No, solo cabe interponer multa a alguna de las partes, pero no a los profesionales que intervienen en el proceso.","No, pero podrá dar traslado de tal circunstancia a su Colegio profesional por si pudiera proceder la imposición de algún tipo de sanción disciplinaria.",a,COMUN
"41 – ¿Cuál de los siguientes recursos no es competencia del Tribunal de Justicia de la Unión Europea?","Recurso por incumplimiento.","Recurso por responsabilidad extracontractual.","Recurso por omisión.","Recurso por suplicación.",d,COMUN
"42 – Mario interpuso una demanda en un procedimiento ordinario contra la mercantil MMMXXX S.A. Tras la contestación de la demanda y un mes antes del juicio, la empresa demandada se allana a las pretensiones contenidas en la demanda de Mario. En este caso, ¿tendrá la mercantil MMMXXX S.A. que abonar las costas a la parte actora?","No. En los casos de allanamiento no procederá la imposición de costas, salvo que el Tribunal aprecie mala fe en el demandado.","Sí, salvo que el Tribunal aprecie, y así lo razone, que el caso presentaba serias dudas de hecho o de derecho.","En los casos de allanamiento, cada parte abonará las costas causadas a su instancia y las comunes por mitad, salvo que el Tribunal aprecie que la demandada actuó con temeridad.","Sí, siempre, con independencia de que el caso sea dudoso, puesto que el allanamiento debería haberse producido antes de la contestación a la demanda.",b,COMUN
"43 – Luis, víctima, y Carlos, investigado, están inmersos en un proceso penal por un delito de lesiones del artículo 147.1 del Código Penal. Luis reclama a Carlos 2.500 € en concepto de responsabilidad civil. ¿Es posible firmar un contrato de transacción por esa cantidad poniendo fin a la causa penal?","Sí, se puede transigir sobre la acción civil proveniente de un delito y poner fin al proceso penal.","No, una vez iniciado el proceso penal, no es posible transacción sobre la acción civil proveniente del delito.","No. En ningún caso puede transigirse sobre la acción civil proveniente de un delito.","Sí, se puede transigir sobre la acción civil proveniente de un delito, pero no por eso se extinguirá la acción pública para la imposición de la pena legal.",d,COMUN
"44 – Xulia ha sido designada por el turno de oficio como Abogada de Alba para un procedimiento de divorcio. Durante el curso del procedimiento, Xulia desea renunciar a la asistencia de esta clienta, ya que es muy problemática. ¿Podrá hacerlo?","Sí, pero para ello deberá alegar un motivo personal y justo, que será apreciado por los Decanos de los Colegios.","Sí, en cualquier fase del procedimiento, siempre que no se cause indefensión al cliente, estando obligada a despachar los trámites procesales urgentes.","Sí, pero siempre que el órgano judicial ante el que se está tramitando el procedimiento acepte esta renuncia.","No, dado que solo en el orden penal pueden los profesionales de la Abogacía designados por el turno de oficio excusarse de la defensa.",d,COMUN
"45 – Fuencisla, Abogada, ha sido designada por el turno de oficio para la defensa de los intereses de María Elena, quien tiene reconocido el derecho a la asistencia jurídica gratuita. María Elena pretende interponer una querella contra una Magistrada de su ciudad porque considera que ha cometido un delito de prevaricación. Tras estudiar el asunto, a Fuencisla le parecen totalmente descabelladas las pretensiones de María Elena. ¿Qué puede hacer?","Nada, al estar obligada a asumir la defensa de María Elena en todo caso.","Presentar, en cualquier momento, informe de insostenibilidad en el que exponga los motivos jurídicos en los que fundamenta su decisión.","Renunciar a la asistencia de María Elena, al resultar claramente insostenible la pretensión.","Presentar un informe de insostenibilidad dentro de los quince días siguientes a su designación, comunicando a la Comisión de Asistencia Jurídica Gratuita los motivos jurídicos en los que fundamenta su decisión.",d,COMUN
"46 – Mireia, Abogada, ejerce la defensa de una clienta ante la Audiencia Provincial de Barcelona. Durante la tramitación del procedimiento se ha discutido el sentido de una norma del Derecho de la Unión Europea que la Audiencia Provincial debe aplicar para resolver adecuadamente este litigio. ¿Puede plantear la Audiencia Provincial una cuestión prejudicial al Tribunal de Justicia de la Unión Europea?","Sí, puesto que cualquier órgano jurisdiccional de un Estado miembro está legitimado para hacerlo.","No, puesto que solo aquellos órganos jurisdiccionales de un Estado miembro cuyas decisiones no sean susceptibles de ulterior recurso judicial de Derecho interno tienen legitimación para plantear cuestiones prejudiciales.","No, puesto que solo el Tribunal Supremo está legitimado para plantear cuestiones prejudiciales ante el Tribunal de Justicia de la Unión Europea.","No, porque solo están legitimados los particulares, personas físicas o jurídicas, que, por haber sufrido un perjuicio, tengan interés legítimo en dicha interposición.",a,COMUN
"47 – Gonzalo ejerce la defensa de Cristina en un proceso penal. El Juez de Instrucción ha dictado un auto, sin motivar, de continuación por los trámites del procedimiento abreviado, por lo que Gonzalo estima que se ha vulnerado el derecho a la tutela judicial efectiva de su cliente. ¿Qué podría hacer Gonzalo ante esta situación?","Interponer incidente de nulidad de actuaciones ante el mismo Juez que ha dictado el auto.","Interponer incidente de nulidad de actuaciones ante la Audiencia Provincial.","Interponer recurso de amparo ante el Tribunal Constitucional.","Interponer recurso de reforma o apelación contra el auto.",d,COMUN
"48 – Lorena, Abogada de Málaga, tiene un cliente con domicilio en dicha ciudad que quiere interponer una demanda sobre marca comunitaria, al amparo de lo previsto en el Reglamento n.º 40/94 del Consejo de la Unión Europea, de 20 de diciembre de 1993, contra una mercantil de Madrid. ¿Ante qué Juzgados deberá interponer dicha demanda?","Ante los Juzgados de lo Mercantil de Madrid.","Ante los Juzgados de lo Mercantil de Málaga.","Ante los Juzgados especializados de lo Mercantil de Alicante, denominados de Marca Comunitaria.","Ante los Juzgados especializados de Primera Instancia de Alicante, denominados de Marca Comunitaria.",c,COMUN
"49 – Marina, Abogada, va a interponer un recurso de suplicación contra una resolución dictada por un Juzgado de lo Social de Cádiz. ¿Ante qué órgano debe interponer este recurso?","Ante la Sala de lo Social del Tribunal Superior de Justicia de Andalucía con sede en Sevilla.","Ante la Sala de lo Social del Tribunal Superior de Justicia de Andalucía con sede en Granada.","Ante la Sala de lo Social del Tribunal Superior de Justicia de Andalucía con sede en Málaga.","Ante la Sala de lo Social de la Audiencia Provincial de Cádiz.",a,COMUN
"50 – Saturnino (promotor) y Yeray (constructor) tienen diferencias a la hora de interpretar una cláusula incorporada a un contrato de ejecución de obra. Ambas partes pactaron en dicho contrato la sumisión a arbitraje de cualquier conflicto, disputa o interpretación de sus cláusulas. ¿Es obligatoria la sumisión a arbitraje para resolver esta disputa?","Sí. Dicha cláusula obliga a las partes e impide a los Tribunales conocer de la controversia, siempre que la parte a quien interese lo invoque mediante declinatoria.","No. Cabe acudir con preferencia a la autoridad judicial a voluntad de cualquiera de las partes.","No, solo si las partes convalidan de mutuo acuerdo esta cláusula de sometimiento a arbitraje una vez que surge el conflicto o disputa.","Podrá ser o no obligatoria, dependiendo de la naturaleza del conflicto.",a,COMUN
