pregunta,a,b,c,d,correcta,bloque
"Caterina es delegada comercial en un laboratorio farmacéutico. La empresa tiene domicilio en Barcelona, pero Caterina trabaja en Málaga y Córdoba. ¿Dónde debe presentarse la demanda para reclamar cantidades del complemento variable?","Obligatoriamente en Barcelona.","Debe presentar dos demandas, una en cada provincia.","Debe presentarla en Madrid, en la Audiencia Nacional, por afectar a varias Comunidades Autónomas.","El trabajador podrá elegir entre el del domicilio propio, el del contrato si allí pudiera citarse al demandado, o el del domicilio del demandado.","d","Derecho Laboral"
"Izan pretende formular demanda por discriminación laboral por origen étnico en un proceso de selección para acceder a un puesto superior. ¿Qué órgano judicial será competente territorialmente?","El Juzgado de lo Social del lugar donde presta sus servicios, con carácter preferente.","La Sala de lo Social del lugar donde la empresa tenga su domicilio social.","El Juzgado de lo Social del lugar donde el trabajador tenga su domicilio fiscal.","El Juzgado de lo Social del lugar de prestación de los servicios o el del domicilio del demandado, a elección del demandante.","d","Derecho Laboral"
"Jorge ha agotado los 365 días de incapacidad temporal y recibe el alta médica de los órganos gestores de la Seguridad Social con la que no está conforme. ¿Puede impugnarla su abogado?","Sí, podrá impugnarla sin necesidad de previo agotamiento de la vía administrativa.","Sí, previo agotamiento de la vía administrativa.","No se puede impugnar dicha alta médica puesto que se ha agotado la duración máxima.","Nunca se puede impugnar el alta médica.","a","Derecho Laboral"
"Presentada demanda conjunta por más de diez actores ante el Juzgado de lo Social, es necesario que designen un representante común. ¿Quién deberá asumir la representación?","Este representante deberá ser necesariamente un Procurador.","Este representante deberá ser necesariamente Abogado, Procurador, Graduado social colegiado, uno de los demandantes o un sindicato.","Solo uno de los demandantes puede asumir la representación común.","Necesariamente los sindicatos cuando se trate de una demanda colectiva que afecte a la libertad sindical.","b","Derecho Laboral"
"Julio, Javier y Sergio han sufrido un accidente de trabajo y pretenden demandar al empresario reclamando el resarcimiento de daños y perjuicios. ¿Pueden ejercitar sus acciones simultáneamente?","Solo se podrán acumular las pretensiones si han recaído en el mismo Juzgado.","Se podrán acumular todas las pretensiones de resarcimiento de daños y perjuicios derivadas de un mismo hecho.","No se podrán acumular las pretensiones de resarcimiento de daños y perjuicios.","Solo se podrán acumular cuando el Juez lo acuerde de oficio.","b","Derecho Laboral"
"Felipe, Abogado de Lucía, ha de presentar un escrito en el plazo de veinte días en el Juzgado de lo Social. ¿Hasta cuándo puede hacerlo?","Hasta las quince horas del día hábil siguiente al del vencimiento del plazo en el servicio común procesal creado a tal efecto o, de no existir este, en la sede del órgano judicial.","Hasta las quince horas del día hábil siguiente al del vencimiento del plazo en el juzgado que preste el servicio de guardia.","Hasta las doce horas del día hábil siguiente al del vencimiento del plazo en la sede del órgano judicial.","Hasta las doce horas del día hábil siguiente al del vencimiento del plazo en el servicio común procesal creado a tal efecto o, de no existir este, en la sede del órgano judicial.","a","Derecho Laboral"
"Roberto, Abogado de la parte demandante, durante el juicio ante el Juzgado de lo Social propone prueba testifical que el Juez inadmite. ¿Qué puede hacer Roberto?","Deberá renunciar a ella, sin perjuicio de que pueda solicitarla de nuevo posteriormente.","Podrá formular recurso contra la inadmisión y el Juez deberá resolver en el acto.","Podrá hacer constar su protesta en el acto contra la inadmisión, a efectos del correspondiente recurso contra la sentencia.","Podrá hacer constar su protesta en el acto, siempre que el Abogado de la otra parte no se oponga.","c","Derecho Laboral"
"Javier compareció al acto de conciliación promovido por Alfonso como requisito previo a la demanda por despido, pero Alfonso no se presenta ni alega justa causa. ¿Cuáles son las consecuencias de la incomparecencia?","Se citará de nuevo a las partes para un nuevo intento de conciliación.","Se tendrá por no presentada la papeleta de conciliación, archivándose todo lo actuado.","Se tendrá la conciliación por intentada sin efecto.","Se entenderá que renuncia a cualquier tipo de acción.","b","Derecho Laboral"
"La entidad gestora ha resuelto otorgar el alta médica de incapacidad temporal por enfermedad profesional a Telmo después del transcurso de ciento ochenta días. Telmo está disconforme. ¿Qué debe hacer para presentar demanda?","Puede presentar demanda directamente sin reclamación administrativa previa, como ocurre en todos los procedimientos de impugnación de resoluciones expresas que acuerdan el alta médica.","Debe interponer reclamación previa ante la Entidad gestora en el plazo de once días desde la notificación de la resolución.","Debe interponer reclamación previa ante la Entidad gestora en el plazo de veinte días desde la notificación de la resolución.","Puede presentar demanda directamente sin reclamación administrativa previa ya que se trata de una resolución expresa que acuerda el alta al agotarse el plazo de ciento ochenta días.","b","Derecho Laboral"
"Lola no ha percibido su salario durante tres meses, acumulando 4.050 €. ¿Puede reclamar en el proceso monitorio?","Sí, ya que se trata de cantidades vencidas, exigibles y de cuantía determinada que no exceden de 6.000 €, derivadas de su relación laboral, siempre que el empresario no esté en situación de concurso.","Sí, ya que se trata de cantidades vencidas, exigibles y de cuantía determinada que no exceden de 6.000 €, si el empresario se encuentra en situación de concurso.","No, ya que se trata de cantidades vencidas, exigibles y de cuantía determinada que no exceden de 6.000 €.","No, ya que no lo ha pactado con el empresario en su contrato de trabajo.","a","Derecho Laboral"
"Vicente ha sido sancionado por su empresa por la comisión de una falta leve con la que no está conforme. ¿Cuál es el plazo para presentar la demanda?","Veinte días naturales siguientes.","Veinte días hábiles siguientes.","Diez días hábiles siguientes.","Diez días naturales siguientes.","b","Derecho Laboral"
"El Juzgado competente dicta sentencia tras la impugnación del trabajador al que le han modificado el horario y convalida la medida tomada por la empresa. ¿Puede el trabajador recurrir la sentencia?","No, ya que contra la misma no cabe recurso.","Sí, cabe recurso de suplicación al tratarse de modificación sustancial de condiciones de trabajo.","Sí, cabe recurso de revisión al tratarse de modificación sustancial de condiciones de trabajo.","Sí, cabe recurso de queja al tratarse de modificación sustancial de condiciones de trabajo.","a","Derecho Laboral"
"El sindicato interpone demanda de conflicto colectivo en defensa de los intereses de un grupo de trabajadores ante el Juzgado de lo Social. Este proceso:","Tendrá carácter urgente y la preferencia en el despacho será absoluta sobre cualquier otro incluidos los de tutela de los derechos fundamentales.","Tendrá carácter urgente y la preferencia será absoluta sobre cualquier otro, si así lo acuerda el Juez de oficio.","Tendrá carácter urgente y la preferencia será absoluta sobre cualquier otro, salvo los de tutela de los derechos fundamentales y libertades públicas.","Tendrá carácter urgente y la preferencia será absoluta sobre cualquier otro, si así se solicita en la demanda.","c","Derecho Laboral"
"Álvaro interpuso demanda por extinción del contrato de trabajo por causas objetivas y el Juzgado de lo Social ha dictado sentencia desfavorable. ¿Puede recurrirla?","Puede interponer recurso de suplicación que conocerá la Sala de lo Social del TSJ, que deberá anunciar dentro de los diez días siguientes a la notificación.","Puede interponer recurso de reposición que conocerá la Sala de lo Social del TSJ, que deberá anunciar dentro de los cinco días siguientes a la notificación.","Puede interponer recurso de suplicación que conocerá la Sala de lo Social del TSJ, que deberá anunciar dentro de los cinco días siguientes a la notificación.","Puede interponer recurso de reposición que conocerá la Sala de lo Social del TSJ, que deberá anunciar dentro de los diez días siguientes a la notificación.","c","Derecho Laboral"
"Ramón ha obtenido sentencia condenatoria al pago de salarios impagados y la empresa sigue sin atender sus obligaciones. ¿Qué plazo tiene para instar la ejecución?","Tiene un plazo de caducidad de veinte días.","La ejecución de sentencias no está sometida a plazo alguno, puede instarse en cualquier momento.","Tiene un plazo de caducidad de un año.","Sea cual sea el plazo aplicable siempre será de prescripción.","d","Derecho Laboral"
