pregunta,a,b,c,d,correcta,materia
"¿Es posible acudir al proceso de derecho colaborativo, como medio adecuado de solución de controversias, asistido de abogado?","Sí. No solo es posible sino que en tal medio adecuado de solución de controversias la intervención de abogado es preceptiva.","Sí. En el proceso de derecho colaborativo no es preceptiva la asistencia letrada a las partes pero éstas podrán acudir asistidas de abogado.","No. Las partes únicamente podrán acudir asistidas de abogado cuando se utilice como medio de solución de controversias la formulación de una oferta vinculante.","No. Las partes únicamente podrán acudir asistidas de abogado cuando se utilice como medio de solución de controversias la opinión de persona experta independiente.",b,Medios Adecuados de Solución de Controversias
"¿Cuál de los siguientes derechos fundamentales podrá ser suspendido cuando se acuerde la declaración del estado de excepción o de sitio?","El derecho a la tutela judicial efectiva.","El derecho a la libre circulación.","El derecho a la vida.","El derecho a la libertad ideológica.",b,Derecho Constitucional
"¿Pueden ser recurridas en amparo las violaciones del derecho fundamental a la integridad moral originadas por disposiciones del Gobierno?","Sí, sin necesidad de agotar la vía judicial procedente.","Sí, una vez que se haya agotado la vía judicial procedente.","No, el derecho a la integridad moral no es un derecho fundamental.","No, únicamente cabría recurso de amparo si la violación tuviera su origen en un acto de un órgano judicial.",b,Derecho Constitucional
"¿En qué ámbito se extiende la jurisdicción del Tribunal Central de Instancia?","En toda España.","En la villa de Madrid.","Tiene jurisdicción limitada a cada Comunidad Autónoma, pues existirá un Tribunal Central de Instancia en cada Comunidad Autónoma.","Tiene jurisdicción limitada a cada provincia, pues existirá un Tribunal Central de Instancia en cada provincia.",a,Organización Judicial
"¿Es posible para el Gobierno modificar el número y composición de los órganos judiciales?","Sí, mediante la creación de Secciones y plazas de juez, jueza, magistrado o magistrada, sin alterar la demarcación judicial, oídos preceptivamente el CGPJ y la Comunidad Autónoma afectada.","Sí, alterando la demarcación judicial, siendo aconsejable la previa audiencia al Consejo General del Poder Judicial.","Sí, mediante la creación de Secciones y plazas de juez, jueza, magistrado o magistrada, sin alterar la demarcación judicial, oído preceptivamente el CGPJ y sin necesidad de oír a la Comunidad Autónoma afectada.","No. La modificación del número y composición de los órganos judiciales no puede ser modificada.",a,Organización Judicial
"¿Cada cuánto tiempo será revisada, al menos, la planta de los tribunales con base en la evolución de las cargas de trabajo, población y otros parámetros que se consideren relevantes?","Cada cinco años.","Cada dos años.","No existe previsión en la ley que establezca un plazo mínimo para proceder a la revisión.","Cada cuatro años, coincidiendo con cada legislatura.",a,Organización Judicial
"¿Cuál de las siguientes afirmaciones se corresponde con el contenido del derecho de defensa?","El derecho de defensa no incluye el derecho a la invariabilidad de las resoluciones firmes y a su ejecución en sus propios términos.","El legislador no podrá condicionar el acceso a los medios de impugnación al cumplimiento de plazos o requisitos de procedibilidad.","El ejercicio del derecho de defensa queda sujeto al procedimiento legalmente establecido.","El derecho de defensa excluye que los jueces y tribunales puedan ampliar motivadamente los plazos señalados.",c,Derecho Constitucional
"¿Qué recurso cabe interponer frente al auto que resuelve el recurso directo de revisión interpuesto frente al decreto del letrado o letrada de la Administración de Justicia aprobando la tasación de costas?","Recurso de reposición.","Recurso de casación.","Recurso de apelación.","No cabe recurso alguno.",d,Costas y Justicia Gratuita
"¿El conocimiento de cuál de las siguientes cuestiones corresponde al orden jurisdiccional contencioso-administrativo?","El recurso contencioso-disciplinario militar.","La responsabilidad patrimonial de las Administraciones públicas, cualquiera que sea la naturaleza de la actividad o el tipo de relación de que derive.","Los conflictos de jurisdicción entre los juzgados y tribunales y la Administración pública.","Los conflictos de atribuciones entre órganos de una misma Administración.",b,Organización Judicial
"Conforme a la LO 1/2025, de medidas en materia de eficiencia del Servicio Público de Justicia, en las controversias jurídicas en las que una de las partes sea una entidad perteneciente al sector público, ¿será exigible acudir a los medios de solución de controversias en vía no jurisdiccional como requisito de procedibilidad?","No. Quedan excluidos de tal requisito los asuntos de cualquier naturaleza en los que una de las partes sea una entidad perteneciente al sector público.","Sí. El requisito de procedibilidad se aplica en todo caso a los asuntos en los que una de las partes sea una entidad perteneciente al sector público.","Sí, pero únicamente cuando se trate de asuntos cuya competencia corresponda al orden jurisdiccional civil en los que una de las partes sea una entidad perteneciente al sector público.","Sí, pero únicamente cuando se trate de asuntos cuya competencia corresponda al orden jurisdiccional laboral en los que una de las partes sea una entidad perteneciente al sector público.",a,Medios Adecuados de Solución de Controversias
"¿Cuál es la composición del Tribunal de Justicia de la Unión Europea?","Al menos, dos jueces por Estado miembro.","Un juez por Estado miembro.","Veintisiete jueces, sin que sea necesario que estén representados todos los Estados miembros.","Únicamente se compone por abogados generales.",b,Derecho de la Unión Europea
"¿En cuál de los siguientes supuestos podrán ser impuestas las costas al Ministerio Fiscal en el orden jurisdiccional contencioso-administrativo?","En ningún caso.","En aquellos supuestos en los que el Ministerio Fiscal haya visto rechazadas todas sus pretensiones, salvo que el órgano jurisdiccional aprecie que el caso presentaba serias dudas de hecho o de derecho.","En aquellos supuestos en los que el órgano jurisdiccional advierta que el Ministerio Fiscal ha actuado con mala fe.","En aquellos supuestos en los que el órgano jurisdiccional advierta que el Ministerio Fiscal ha actuado con temeridad.",a,Costas y Justicia Gratuita
"Conforme al Estatuto General de la Abogacía Española, ¿a qué órgano corresponde amparar al profesional de la abogacía cuando sea inquietado en el ejercicio de su función?","Es competencia exclusiva del Colegio de la Abogacía a que se encuentre adscrito el profesional de la abogacía inquietado.","Es competencia exclusiva del Consejo General de la Abogacía.","A los Colegios de la Abogacía, los Consejos Autonómicos y el Consejo General de la Abogacía Española, en el ámbito de sus respectivas competencias.","Al Consejo Autonómico si existiera y, en su defecto, al Consejo General de la Abogacía Española.",c,Deontología y EGAE
"Conforme al Estatuto General de la Abogacía Española, ¿qué tratamiento corresponde a los Decanos de los Colegios de la Abogacía?","Excelentísimo Señor.","Ilustrísima.","Grande de España.","Muy honorable señor.",a,Deontología y EGAE
"Conforme al Estatuto General de la Abogacía Española, ¿cuál de los siguientes principios es un principio rector del ejercicio de la abogacía?","La igualdad.","El pluralismo político.","La justicia.","La independencia.",d,Deontología y EGAE
"¿Qué límite establece el Estatuto General de la Abogacía Española en relación con el requisito de colegiación relativo a la satisfacción de la cuota de ingreso?","Ninguno. La cuota de colegiación será fijada libremente por cada Colegio sin respeto a límite alguno.","No podrá exceder de una fórmula máxima a calcular considerando el número de colegiados y el ámbito de población.","No podrá superar los costes asociados a la tramitación de la inscripción.","La satisfacción de la cuota de ingreso no es un requisito de colegiación.",c,Deontología y EGAE
"Blanca, profesional de la abogacía, tiene problemas económicos y se ha visto obligada a dejar de pagar la cuota obligatoria del Colegio de la abogacía en el que se encuentra colegiada. ¿Podrá dar lugar tal conducta a la pérdida de condición de colegiada?","No. La condición de colegiada se perderá por sanción de expulsión, pero no únicamente por falta de pago de la cuota obligatoria.","Sí. La falta de pago de doce mensualidades de la cuota obligatoria supondrá la pérdida de la condición de colegiada.","Sí. La falta de pago de dos mensualidades de la cuota obligatoria supondrá la pérdida de la condición de colegiado.","Sí. La falta de pago de cinco mensualidades de la cuota obligatoria supondrá la pérdida de la condición de colegiada.",b,Deontología y EGAE
"¿Qué tiempo debe transcurrir, en todo caso, desde que se produce una catástrofe que ocasiona un elevado número de víctimas hasta que pueden ofrecerse por los profesionales de la abogacía servicios profesionales a las víctimas indirectas de tal catástrofe, cuando tales servicios no han sido solicitados expresamente?","Cuarenta y cinco días.","Un mes.","No es preciso respetar el plazo de treinta días al tratarse de víctimas indirectas y no directas de la catástrofe.","Si la catástrofe no es consecuencia de un delito no es preciso respetar el plazo de cuarenta y cinco días.",a,Deontología y EGAE
"¿A qué plazo se extiende el deber de secreto profesional del profesional de la abogacía?","Durante todo el tiempo que dure la prestación de servicios, cesando el deber una vez que termina la misma.","Cinco años después de la terminación de la prestación de servicios.","Incluso después de haber cesado en la prestación de los servicios al cliente, sin que se encuentre limitado en el tiempo.","Incluso después de haber cesado la prestación de servicios, hasta que transcurran diez años del cese.",c,Deontología y EGAE
"¿Cuál es el número máximo de profesionales de la abogacía que puede integrar el despacho colectivo?","No existe limitación de número.","Un máximo de cinco profesionales de la abogacía.","Un máximo de cien profesionales de la abogacía.","Un máximo de veinte profesionales de la abogacía.",a,Deontología y EGAE
"En relación con los honorarios profesionales del profesional de la abogacía, ¿cuál de las siguientes respuestas es correcta?","El profesional de la abogacía tiene derecho a una contraprestación por sus servicios, pero no al reintegro de los gastos ocasionados.","El profesional de la abogacía tiene derecho a una contraprestación por sus servicios, así como al reintegro de los gastos ocasionados.","La cuantía de los honorarios viene determinada legalmente, excluyendo la libre convención entre el cliente y el profesional de la abogacía.","El profesional de la abogacía está facultado para entregar factura al cliente, pero la obligación de entregarla solo corresponde a la Sociedad profesional y no a la persona física profesional de la abogacía.",b,Deontología y EGAE
"En relación con el ejercicio de la abogacía en régimen de colaboración profesional, ¿cuál de las siguientes respuestas es correcta?","El ejercicio de la abogacía por cuenta propia en régimen de colaboración profesional podrá pactarse verbalmente o por escrito.","No es preciso que el profesional de la abogacía colaborador conozca la identidad del cliente.","El profesional de la abogacía colaborador pierde, en favor del despacho con el que colabora, su independencia y libertad.","El colaborador deberá hacer constar, en su caso, que actúa por sustitución o delegación del despacho con el que colabore.",d,Deontología y EGAE
"¿Puede Carmen, profesional de la abogacía, emitir un informe que contenga valoración profesional sobre el resultado probable de un asunto?","Sí, pero únicamente si la petición procede del cliente afectado quien, en todo caso, deberá ser el exclusivo destinatario, salvo que de manera expresa le autorice a darlo a conocer a un tercero.","Sí. Carmen como profesional de la abogacía es libre y es independiente para la emisión de tal informe, con independencia de quien lo solicite, salvo que el cliente lo haya prohibido expresamente.","No. Ni siquiera cuando lo solicite el cliente estará Carmen facultada para la emisión de un informe de tales características.","Sí. Carmen como profesional de la abogacía es libre y es independiente para la emisión de tal informe, pero únicamente podrá entregarlo a quien sea parte en el proceso en el que intervenga.",a,Deontología y EGAE
"¿Puede el profesional de la abogacía renunciar a la defensa procesal que le haya sido confiada?","En ningún caso.","Sí, en cualquier fase del procedimiento, siempre que no se cause indefensión al cliente, estando obligado a despachar los trámites urgentes.","Sí, en el plazo de cuarenta y cinco días desde que la asumió, transcurrido el mismo no podrá renunciar a la defensa procesal que le haya sido confiada.","Sí, en cualquier fase del procedimiento, sin que resulte obligado a despachar los trámites urgentes.",b,Deontología y EGAE
"Carlos, profesional de la abogacía, concluye que actuar para un nuevo cliente existiría riesgo de vulneración del secreto profesional respecto a informaciones suministradas por un antiguo cliente cuyo asunto cesó hace más de cinco años. ¿Qué debe hacer Carlos?","Puede actuar para el nuevo cliente aun cuando exista riesgo de vulneración del secreto profesional respecto a informaciones suministradas por el antiguo cliente, al haber transcurrido más de cinco años desde que cesó en tal prestación de servicios.","Debe abstenerse de actuar para el nuevo cliente.","Debe informar al nuevo cliente de tal riesgo, siendo el nuevo cliente quien decida.","Debe ponerlo en conocimiento del Ministerio Fiscal.",b,Deontología y EGAE
"¿Cuál es el plazo en el que el profesional de la abogacía debe dar respuesta a las reclamaciones que se presenten por los clientes?","En el periodo más breve posible, sin que exista plazo máximo.","En el periodo más breve posible y, en todo caso, antes de un mes contado desde que se hayan recibido.","En el periodo más breve posible y, en todo caso, antes de dos meses desde que se hayan recibido.","No existe obligación de dar respuesta a tales reclamaciones.",b,Deontología y EGAE
"Paz, profesional de la abogacía, tiene intención de interponer, en nombre de su cliente, una acción de responsabilidad penal contra el profesional de la abogacía de la parte contraria, derivada del ejercicio profesional. ¿Debe comunicar al Colegio tal intención?","Sí.","No, al ser la acción interpuesta en nombre de su cliente y no en nombre propio.","No, al tratarse de una acción de responsabilidad penal y no de una acción de responsabilidad civil.","No, debe comunicarlo al Consejo General de la Abogacía pero en ningún caso al Colegio.",a,Deontología y EGAE
"¿Cuál de las siguientes funciones corresponde a los Colegios de la Abogacía en su ámbito territorial?","Colaborar con el Poder Judicial y los demás poderes públicos mediante la realización de estudios, emisión de informes, elaboración de estadísticas y otras actividades relacionadas con sus fines, cuando les sean solicitadas o lo acuerden por propia iniciativa.","Homologar las escuelas de práctica jurídica que ellos mismos creen.","Ejercer la potestad disciplinaria con respecto los miembros del Consejo General de la Abogacía que actúen en tal condición.","Convocar el Congreso de la Abogacía Española.",a,Deontología y EGAE
"Conforme al Estatuto General de la Abogacía Española, ¿cuál de las siguientes circunstancias impide que los colegiados ejercientes y residentes en el ámbito territorial del Colegio tengan la condición de elegibles como Decano?","No encontrarse al corriente en el pago de las cuotas corporativas.","Haber sido sancionados disciplinariamente por resolución administrativa firme, aun cuando hayan sido rehabilitados.","No ser miembros de los órganos rectores de otro Colegio profesional.","Llevar colegiado menos de cinco años.",a,Deontología y EGAE
"Si los Estatutos del Colegio no disponen otra cosa, en Junta General del Colegio de la Abogacía, ¿computa con igual valor el voto de los ejercientes en relación con el voto de los demás colegiados?","Sí, computan con idéntico valor.","No, únicamente tienen derecho a voto los colegiados ejercientes.","No, el voto de los ejercientes computará con doble valor que el de los demás colegiados.","No, el voto de los ejercientes computará con diez veces más valor que el de los demás colegiados.",c,Deontología y EGAE
"¿Es posible recurrir un acto dictado por un órgano del Consejo General de la Abogacía sujeto a derecho administrativo?","No. Frente a los actos sujetos a derecho administrativo dictados por los órganos del Consejo General de la Abogacía no cabrá recurso alguno.","Sí. Frente a los actos sujetos a derecho administrativo dictados por los órganos del Consejo General de la Abogacía cabrá recurso de alzada, pues los mismos no agotan la vía administrativa.","Sí. Los actos de los órganos del Consejo General de la Abogacía Española sujetos a Derecho Administrativo ponen fin a la vía administrativa y son recurribles directamente ante el orden jurisdiccional contencioso-administrativo.","No. Los órganos del Consejo General de la Abogacía no pueden dictar actos sujetos a derecho administrativo.",c,Deontología y EGAE
"¿Cuál de las siguientes sanciones puede imponerse a un profesional de la abogacía por la responsabilidad disciplinaria en que hubiera incurrido?","Expulsión del colegio.","Localización permanente.","Trabajos en beneficio de la comunidad.","Traslado forzoso.",a,Régimen Disciplinario
"María, profesional de la abogacía, ha incumplido un compromiso que formalizó con un compañero, verbalmente, en el ejercicio de sus funciones profesionales. ¿Su conducta se encuentra tipificada como infracción?","Sí, como infracción muy grave.","Sí, como infracción leve.","Sí, como infracción grave.","No, su conducta no es constitutiva de infracción al haber sido formalizado el compromiso de forma verbal y no por escrito.",c,Régimen Disciplinario
"¿Cuál de las siguientes conductas cometidas por un profesional de la abogacía se encuentra tipificada como infracción leve?","No consignar en el primer escrito la identificación, el Colegio de incorporación y el número de colegiado.","La compensación de honorarios con fondos del cliente que no hayan sido recibidos como provisión, sin su consentimiento.","La relación o comunicación con la parte contraria cuando le conste que está representada o asistida por otro profesional de la abogacía, salvo su autorización expresa.","La falta de respeto debido a otro profesional de la abogacía.",a,Régimen Disciplinario
"Por la comisión de una infracción consistente en la embriaguez que afecta al ejercicio de la profesión de la abogacía, ¿qué sanción podrá imponerse al profesional de la abogacía responsable?","Sanción de suspensión del ejercicio de la abogacía por plazo superior a quince días sin exceder de un año o multa pecuniaria por importe de entre 1.001 y 10.000 euros.","Sanción de expulsión del Colegio o suspensión del ejercicio de la abogacía por plazo superior a un año sin exceder de dos.","Sanción de apercibimiento escrito o suspensión del ejercicio de la abogacía por un plazo no superior a quince días.","Multa pecuniaria por importe de hasta 1.000 euros.",a,Régimen Disciplinario
"¿Puede ser sancionada una sociedad profesional por la realización de una conducta directamente imputable a la misma que se encuentre tipificada como infracción para los profesionales de la abogacía?","Sí.","No. La sociedad profesional no puede ser sancionada en ningún caso.","No. La sociedad profesional solo podrá ser sancionada cuando haya participado en una infracción cometida por un profesional de la abogacía.","No. La sociedad profesional solo podrá ser sancionada cuando haya encubierto una infracción cometida por un profesional de la abogacía.",a,Régimen Disciplinario
"¿En qué plazo, a contar desde que la infracción se hubiera cometido, prescribe la infracción leve cometida por un profesional de la abogacía?","Tres años.","Dos años.","Seis meses.","Un mes.",c,Régimen Disciplinario
"Formulada una oferta vinculante conforme a la LO 1/2025, ¿qué efecto produce el hecho de que la oferta vinculante no sea aceptada por la otra parte en el plazo de un mes si no se hubiera señalado un plazo mayor?","La oferta vinculante se entenderá aceptada si no ha sido rechazada expresamente.","La oferta vinculante decaerá y la parte requirente podrá ejercitar la acción que le corresponda ante el tribunal competente, entendiendo que se ha cumplido el requisito de procedibilidad.","La oferta vinculante decaerá y la parte requirente deberá intentar un proceso de derecho colaborativo.","Se entenderá automáticamente ejercitada la acción judicial correspondiente.",b,Medios Adecuados de Solución de Controversias
"¿En qué unidad se prestará el servicio de asistencia al juez o la jueza de paz del municipio en el ejercicio de las funciones que tenga atribuida legalmente?","En el Tribunal Central de Instancia.","En el Juzgado de Paz.","En los Tribunales de Instancia.","En las Oficinas de Justicia en los municipios.",d,Organización Judicial
"Francisco, profesional de la abogacía, incurre en causa de incompatibilidad y ha optado por cesar en la actividad de la abogacía. ¿En qué plazo máximo debe formalizar su baja como ejerciente?","En el plazo máximo de quince días.","En el plazo máximo de un año.","En el plazo máximo de un mes.","No está obligado a formalizar su baja como ejerciente, basta con que efectúe en el plazo de un mes comunicación a la Junta de Gobierno de su Colegio para que decida sobre la cuestión.",a,Deontología y EGAE
"[RESERVA 1] ¿A qué órgano corresponde conocer de las cuestiones de competencia que se puedan plantear entre los magistrados y magistradas de la Sección de lo Contencioso-Administrativo del Tribunal Central de Instancia?","A la Sala de lo Contencioso-administrativo de la Audiencia Nacional.","A la Sección de lo Contencioso-administrativo del Tribunal Central de Instancia.","A la Sala de conflictos del Tribunal Supremo.","A la Sección de cuestiones de competencia del Tribunal Central de Instancia.",a,Organización Judicial
"[RESERVA 2] ¿La Comisión de Asistencia Jurídica Gratuita puede conceder el reconocimiento del derecho a la asistencia jurídica gratuita a una persona cuyos ingresos brutos excedan del triple del IPREM cuando se trate de una persona integrada en una unidad familiar de cuatro miembros?","Sí, excepcionalmente, en atención a circunstancias objetivamente evaluadas, mediante resolución motivada y siempre y cuando los ingresos no excedan del quíntuplo del IPREM, teniendo en cuenta además la carencia de patrimonio suficiente.","No, en ningún caso.","Sí, en todo caso. Las personas integradas en una unidad familiar de cuatro miembros tendrán derecho a tal reconocimiento siempre que sus ingresos no excedan del quíntuplo del IPREM, teniendo en cuenta además la carencia de patrimonio suficiente.","Sí, en todo caso. Las personas integradas en una unidad familiar de cuatro miembros tendrán derecho a tal reconocimiento siempre que sus ingresos no excedan del cuádruplo del IPREM, teniendo en cuenta además la carencia de patrimonio suficiente.",a,Costas y Justicia Gratuita
"[RESERVA 3] ¿Cómo se inicia el procedimiento sancionador por la presunta comisión de infracción por un profesional de la abogacía?","De oficio, por acuerdo del órgano competente, bien por propia iniciativa o como consecuencia de denuncia.","Mediante la apertura de un periodo de información previa que tiene carácter preceptivo en todo caso.","De oficio o a instancia de parte cuando sea consecuencia de denuncia.","De oficio por acuerdo del órgano competente, nunca por propia iniciativa, siempre como consecuencia de denuncia.",a,Régimen Disciplinario
"[RESERVA 4] Si los tribunales estimaren que alguna de las partes ha actuado conculcando las reglas de la buena fe procesal, ¿podrán imponer a dicha parte una multa?","No. La multa únicamente procederá en el supuesto de estimar que alguna de las partes ha actuado con abuso del servicio público de justicia.","Sí. La estimación de la vulneración de la buena fe procesal implicará, de forma automática, la imposición de multa de ciento ochenta euros.","Sí. Podrán imponer, en pieza separada, mediante acuerdo motivado y respetando el principio de proporcionalidad, una multa que podrá oscilar de ciento ochenta a seis mil euros, sin que en ningún caso pueda superar la tercera parte de la cuantía del litigio.","Sí. Podrán imponer, en pieza separada, mediante acuerdo motivado y respetando el principio de proporcionalidad, una multa que podrá oscilar de ciento ochenta a mil euros, sin que en ningún caso pueda superar la cuarta parte de la cuantía del litigio.",c,Proceso Civil
"[RESERVA 5] ¿Qué deben hacer los tribunales cuando estimaren que se ha producido en un proceso una actuación contraria a las reglas de la buena fe o con abuso del servicio público de justicia imputable al profesional de la abogacía interviniente en el proceso en el que la parte litiga con el beneficio de justicia gratuita?","Darán traslado de tal circunstancia al colegio profesional por si pudiera proceder la imposición de algún tipo de sanción disciplinaria, así como a la Comisión de Asistencia Jurídica Gratuita.","Darán traslado de tal circunstancia al colegio profesional por si pudiera proceder la imposición de algún tipo de sanción disciplinaria, pero no a la Comisión de Asistencia Jurídica Gratuita.","Darán traslado de tal circunstancia al Consejo General de la Abogacía Española.","Darán traslado de esta circunstancia exclusivamente a la Comisión de Asistencia Jurídica Gratuita.",a,Costas y Justicia Gratuita
"[RESERVA 6] ¿Cuánto tiempo quedará excluido el profesional de la abogacía de los servicios del turno de oficio cuando se hubiera impuesto sanción por infracción grave relacionada con actuaciones desarrolladas en la prestación de los servicios del turno de oficio?","Un plazo mínimo de seis meses y, en todo caso, inferior a un año.","Un plazo de entre uno y dos años.","Un plazo de un año.","No se excluirá al profesional de la abogacía de tales servicios por la imposición de sanción por infracción grave.",a,Turno de Oficio
