# 2025.2 laboral
pregunta,a,b,c,d,correcta,materia
"En la ejecución de una sentencia que declara injustificada la medida adoptada por una empresa, consistente en la asignación de funciones inferiores a las que correspondía por su categoría profesional, ¿qué derecho tiene la persona afectada por dicha modificación?","Derecho a extinguir la relación laboral con percepción de la indemnización extintiva del artículo 41 del Estatuto de los Trabajadores.","Derecho del trabajador a ser repuesto en sus anteriores condiciones de trabajo con percepción de una indemnización correspondiente a la diferencia del importe de salario entre ambas categorías, que puede ser sustituida por la extinción de la relación laboral con percepción de la indemnización del artículo 50.1 c) del Estatuto de los Trabajadores en el supuesto de que el empresario no procediere a reintegrar al trabajador en sus anteriores condiciones de trabajo o lo hiciere de modo irregular.","Derecho a extinguir la relación laboral con percepción de la indemnización extintiva del artículo 50.1 c) del Estatuto de los Trabajadores.","Derecho del trabajador a ser repuesto en sus anteriores condiciones de trabajo con percepción de una indemnización correspondiente a la diferencia del importe de salario entre ambas categorías, que puede ser sustituida por la indemnización extintiva del artículo 50.1c) del Estatuto de los Trabajadores, a elección del trabajador.","b","Laboral"
"¿Qué acciones de las siguientes pueden acumularse con la de despido?","La reclamación de las cantidades vencidas, exigibles y de cuantía determinada adeudadas hasta esa fecha.","Las de conciliación de la vida personal, familiar y laboral.","Las relativas a materia electoral.","Las de impugnación de estatutos de los sindicatos o de su modificación.","a","Laboral"
"¿En qué supuestos son recurribles en suplicación las sentencias que dicten las Secciones de lo Social de los Tribunales de Instancia en los procesos de reclamación de cantidades?","Todas son recurribles.","En los supuestos cuya cuantía litigiosa no exceda de 3.000 euros.","En los supuestos cuya cuantía litigiosa exceda de 3.000 euros.","En los supuestos en cuya cuantía litigiosa exceda de 600 euros.","c","Laboral"
"La Sección de lo Social del Tribunal de Instancia de Girona ha dictado sentencia estimatoria reconociéndole a Raquel la categoría profesional de dependienta en lugar de la que tenía reconocida como ayudante de dependienta. ¿Cabe interponer recurso de suplicación contra esta sentencia?","No cabe recurso en las reclamaciones de procesos de clasificación profesional, salvo en el caso que haya acumulado la reclamación de las diferencias salariales con independencia de la cuantía.","Sí cabe recurso siempre que la sentencia sea desestimatoria.","Siempre cabe recurso.","No cabe recurso en las reclamaciones de procesos de clasificación profesional, salvo en el caso que haya acumulado la reclamación de las diferencias salariales correspondientes y exceda de la cuantía mínima requerida para la interposición del recurso de suplicación.","d","Laboral"
"Por contrato de trabajo se entiende el acuerdo entre el empleador o empresario y la persona trabajadora por medio del cual esta se compromete a prestar determinados servicios. ¿Cuáles son sus requisitos?","Voluntariedad, autonomía y libertad en la actuación profesional a cambio de una remuneración.","Obligatoriedad, por cuenta ajena, subordinación y dependencia a cambio de una remuneración.","Obligatoriedad, por cuenta propia y fuera del ámbito de dependencia de otra persona a cambio de una remuneración.","Voluntariedad, por cuenta ajena, subordinación y dependencia a cambio de una remuneración.","d","Laboral"
"En el contrato de trabajo podrá concertarse por escrito un periodo de prueba, ¿qué duración podrá tener?","Su duración será la que determine el contrato de trabajo.","Su duración se halla sujeta a los límites que establezca el convenio colectivo de aplicación, y en su defecto no podrá exceder de seis meses para los técnicos titulados, ni de dos meses para los demás trabajadores.","Su duración mínima es de dos meses prorrogables a instancia de la empleadora.","Su duración no podrá superar dos meses en todo caso.","b","Laboral"
"A Úrsula le gustaría contratar a un estudiante en el mes de agosto al incrementarse las ventas en el periodo de rebajas, ¿a quién de los siguientes candidatos puede contratar?","A José que tiene 17 años, vive de forma independiente y cuenta con el consentimiento de sus padres.","A Lorena que tiene 15 años y cuenta con el consentimiento de sus padres.","A Pablo que tiene 16 años y no cuenta con el consentimiento de sus padres.","A Sonia que tiene 14 años y cuenta con el consentimiento de sus padres.","a","Laboral"
"¿Qué límites operan cuando el Fondo de Garantía Salarial abona a los trabajadores el importe de las indemnizaciones por despido pendientes de pago a causa de insolvencia o concurso del empresario?","La indemnización se calculará sobre la base de veinte días por año de servicio con el límite máximo de una anualidad de acuerdo con el salario diario reconocido sino excede del doble del salario mínimo interprofesional, incluyendo la parte proporcional de las pagas extraordinarias.","La indemnización se calculará sobre la base de treinta días por año de servicio con el límite máximo de nueve mensualidades de acuerdo con el salario diario reconocido.","La indemnización se calculará sobre la base de treinta días por año de servicio con el límite máximo de una anualidad de acuerdo con el salario diario reconocido sino excede del doble del salario mínimo interprofesional, incluyendo la parte proporcional de las pagas extraordinarias.","La indemnización se calculará sobre la base de veinte días por año de servicio con el límite máximo de seis mensualidades de acuerdo con el salario diario reconocido.","c","Laboral"
"¿Qué diferencia principal existe entre un delegado sindical y un miembro de un comité de empresa?","El delegado sindical es elegido por y entre sus afiliados en la empresa mientras que el miembro del comité de empresa por todos los trabajadores de la empresa.","El delegado sindical representa a un sindicato en específico en la empresa, mientras que el miembro del comité de empresa representa a los trabajadores que le han votado.","El delegado sindical tiene más competencias en materia de negociación colectiva que el miembro del comité de empresa.","No hay ninguna diferencia y tienen las mismas atribuciones.","a","Laboral"
"Una sentencia dictada por la Sección Social del Tribunal de Instancia de Toledo declara a Laura en situación de incapacidad permanente absoluta con el derecho a percibir la pensión correspondiente del 100 por ciento de la base de cotización resultante de los años previamente cotizados. El Instituto Nacional de la Seguridad Social interpone recurso de suplicación ante el Tribunal Superior de Justicia de Castilla-La Mancha. ¿Puede Laura percibir la prestación reconocida mientras se tramita el recurso de suplicación hasta dictarse nueva sentencia?","No, se trata de una materia en que la sentencia no es ejecutiva.","No, la sentencia no será ejecutiva hasta que se dicte la sentencia firme.","Sí, puede obtener el 50 por ciento de la prestación mensual.","Sí, puede percibir la prestación mediante la ejecución provisional de la sentencia.","d","Laboral"
"En un supuesto de sucesión de empresa, ¿cuál es la consecuencia para los trabajadores?","La responsabilidad subsidiaria de la empresa cedente y cesionaria de los derechos y obligaciones adquiridos respecto a los trabajadores.","La obligación del cesionario de subrogarse en la relación laboral de los trabajadores.","La extinción del contrato de trabajo.","La responsabilidad solidaria de la empresa cedente de los derechos y obligaciones de los trabajadores nacidos con posterioridad a la sucesión de empresa.","b","Laboral"
"Luis, trabajador autónomo económicamente dependiente contratado por un empleador público, tiene facturas emitidas pendientes de cobro, ¿ante qué orden jurisdiccional debe presentar la demanda reclamándolas?","Ante el orden jurisdiccional social.","Ante el orden jurisdiccional contencioso-administrativo.","Indistintamente en el orden social o contencioso-administrativo a elección de la parte demandante.","Ante el orden jurisdiccional civil.","a","Laboral"
"A Juanjo la empresa para la que trabaja le ha comunicado la modificación del horario que viene realizando y no está conforme, ¿qué procedimiento debe seguir para su impugnación?","El procedimiento ordinario, pues no se trata de una modificación sustancial de las condiciones de trabajo.","El procedimiento específico de las modificaciones sustanciales de las condiciones de trabajo.","Cualquier procedimiento declarativo, a elección del trabajador.","El procedimiento específico de las modificaciones sustanciales de las condiciones de trabajo solamente si también implica establecer turnos de trabajo.","b","Laboral"
"Con la declaración de gran inválido, ¿qué prestaciones se reconocen a la persona beneficiaria de la prestación?","La prestación económica correspondiente a la incapacidad permanente total.","La prestación económica correspondiente a la incapacidad permanente absoluta más un complemento destinado a remunerar a la persona que atiende al declarado gran inválido.","La prestación económica correspondiente a una cantidad a tanto alzado.","Únicamente la prestación económica correspondiente a la incapacidad permanente absoluta.","b","Laboral"
"¿En qué situación de extinción de la relación laboral tiene derecho el trabajador a una indemnización de un mes de salario?","Resolución en el periodo de prueba a instancia del empresario.","Resolución por voluntad del trabajador por incumplimientos graves del empresario.","Por jubilación del empresario persona física si no hay sucesión empresarial.","Extinción por causas objetivas.","c","Laboral"
