# 2025.1 laboral
pregunta,a,b,c,d,correcta,materia
"¿Puede acumular la parte actora en una misma demanda la impugnación de un despido y una reclamación de cantidad?","El trabajador podrá acumular a la acción de despido la reclamación de las cantidades vencidas, exigibles y de cuantía determinada adeudadas hasta esa fecha.","El trabajador no podrá acumular la acción de despido y la reclamación de cantidad.","El trabajador podrá acumular a la acción de despido la reclamación de la liquidación de las cantidades adeudadas hasta esa fecha. No obstante, si por la especial complejidad de los conceptos reclamados se pudiesen derivar demoras excesivas al proceso por despido, el juzgado podrá disponer, acto seguido de la celebración del juicio, que se tramiten en procesos separados las pretensiones de despido y cantidad.","El trabajador no podrá acumular la acción de despido y la reclamación de cantidad en un mismo juicio, salvo cuando tengan la misma causa de pedir.","a","Laboral"
"En una empresa o centro de trabajo con una plantilla de 9 trabajadores, ¿puede haber representación legal de los trabajadores y en qué número?","Sí. Un delegado de personal, en todo caso.","No. Solo la empresa o centro de trabajo que tenga más de 10 trabajadores.","Sí. Un delegado de personal, siempre que lo haya decidido la mayoría de los trabajadores.","Sí. Tres delegados de personal.","c","Laboral"
"Luis ha obtenido sentencia favorable a sus intereses tras la demanda por reclamación de cantidad que interpuso frente a la empresa, la cual ha interpuesto recurso de suplicación ¿puede solicitar la ejecución provisional de esta sentencia y hasta que cantidad?","El trabajador puede solicitar la ejecución provisional de la sentencia, aunque haya sido objeto de recurso de suplicación y obtener un anticipo como máximo hasta el 50 por ciento del importe de la cantidad reconocida.","El trabajador no podrá solicitar la ejecución provisional de la sentencia hasta que sea firme.","El trabajador podrá solicitar la ejecución provisional de la sentencia, aunque haya sido objeto de recurso de suplicación, pero ha de recaer sobre los pronunciamientos que no se hayan impugnado por la empresa en el recurso.","El trabajador puede solicitar la ejecución provisional de la sentencia, aunque haya sido objeto de recurso de suplicación y obtener un anticipo como máximo hasta el 30 por ciento del importe de la cantidad reconocida.","a","Laboral"
"¿En qué supuestos son recurribles en suplicación ante la Sala de lo Social del Tribunal Superior de Justicia las sentencias que condenen al empresario al abono de una cantidad a un trabajador?","Todas las sentencias son recurribles con independencia de su cuantía.","Son recurribles las sentencias en los procesos cuya cuantía sea superior a los 3.000 euros.","Las sentencias que condenen al empresario al abono de una cantidad a un trabajador nunca podrán ser objeto de recurso.","Son recurribles las sentencias en los procesos cuya cuantía sea superior a los 6.000 euros.","b","Laboral"
"Josefina trabajadora de una empresa recibe una notificación de esta comunicándole su traslado a otro centro de trabajo; Josefina tiene responsabilidades familiares y solicita asesoramiento sobre la posibilidad de extinción de su contrato de trabajo.","Podrá solicitar la extinción del contrato de trabajo con derecho a percibir una indemnización de 33 días de salario por año de servicio con un máximo de 12 mensualidades.","Podrá solicitar la extinción del contrato de trabajo con derecho a percibir una indemnización de 45 días de salario por año de servicio con un máximo de 12 mensualidades.","Podrá solicitar la extinción del contrato de trabajo con derecho a percibir una indemnización de 20 días de salario por año de servicio con un máximo de 12 mensualidades.","Podrá solicitar la extinción del contrato de trabajo con derecho a percibir una indemnización de 33 días de salario por año de servicio con un máximo de 9 mensualidades.","c","Laboral"
"¿Qué límites operan cuando el Fondo de Garantía Salarial abona a los trabajadores el importe de los salarios pendientes de pago a causa de insolvencia o concurso del empresario?","El límite será el importe del salario reconocido al trabajado incluyendo la parte proporcional de las pagas extraordinarias, pero su importe no podrá superar el doble del salario mínimo interprofesional, multiplicado por el número de días de salario pendiente de pago, limitado a su vez con un máximo de 120 días.","El límite es un importe tasado anualmente.","El límite máximo de una anualidad de acuerdo con el salario diario reconocido.","El límite será el importe del salario reconocido al trabajado incluyendo la parte proporcional de las pagas extraordinarias, pero su importe no podrá superar el doble del salario mínimo interprofesional, multiplicado por el número de días de salario pendiente de pago, limitado a su vez con un máximo de 150 días.","a","Laboral"
"Marta ha sido despedida de la empresa en la que trabajaba, ¿qué plazo tiene para reclamar contra el despido?","El plazo será de 20 días hábiles de prescripción.","El plazo será de 30 días hábiles de prescripción.","El plazo será de 20 días hábiles de caducidad.","El plazo será de 30 días hábiles de caducidad.","c","Laboral"
"Jorge interpuso una demanda de reclamación de cantidad ante la Sección de lo Social del Tribunal de Instancia de Vigo, en la que solicitó que se requiriera a la empresa para que aportara determinada prueba documental justificativa de sus pretensiones. Inadmitida por la Sección de lo Social la prueba por innecesaria, ¿qué resolución se dictará, y en su caso, qué recurso podrá interponerse contra dicha resolución?","Frente al auto por el que no se admitía la prueba documental propuesta por innecesaria cabe recurso de reposición.","Frente al decreto definitivo por el que no se admitía la prueba documental propuesta por innecesaria cabe recurso de reposición.","Frente a la providencia por la que no se admitía la prueba documental propuesta por innecesaria cabe recurso de suplicación.","Frente a la diligencia de ordenación por la que no se admitía la prueba documental propuesta por innecesaria cabe interponer recurso de queja.","a","Laboral"
"La empresa XX, estaba citada a un juicio señalado en la Sección de lo Social del Tribunal de Instancia de Zamora el día 20 de mayo y no compareció. ¿Qué consecuencias produjo la incomparecencia?","No pudo celebrarse el juicio por dicho motivo y se suspendió la vista.","Se celebró igualmente el juicio, y en sentencia fue condenada la empresa y le fue impuesta una sanción de 550 euros.","Se celebró igualmente el juicio, y en sentencia fue condenada la empresa y le fue impuesta una sanción de 650 euros.","No pudo celebrarse el juicio por dicho motivo y se dictó sentencia condenatoria.","b","Laboral"
"¿Cuál de las siguientes afirmaciones en relación con la asistencia al acto de conciliación o de mediación es correcta?","Si la parte solicitante no asiste se la tiene por desistida.","Si la parte solicitante y la otra parte no asisten, se suspende y son citadas nuevamente otro día.","Si la parte solicitante asiste y la otra parte no comparece, deberá presentar nuevamente la papeleta de conciliación.","Si la parte solicitante no asiste se tiene por no presentada la papeleta de conciliación archivándose todo lo actuado.","d","Laboral"
"Las sentencias en el procedimiento laboral, ¿cómo deben dictarse?","Deben dictarse todas por escrito.","Cabe la posibilidad de ser dictadas oralmente una vez finalizado el juicio cuando han participado las partes sin la asistencia de personas profesionales de la abogacía o de graduados o graduadas sociales, documentada en el soporte audiovisual y posteriormente notificada la redacción de los elementos esenciales.","Cabe la posibilidad de que sean dictadas oralmente una vez finalizado el juicio cuando han participado las partes con la asistencia de personas profesionales de la abogacía o de graduados o graduadas sociales, documentada en el soporte audiovisual y posteriormente notificada la redacción de los elementos esenciales, cuando sean firmes.","Cabe la posibilidad de que sean dictadas oralmente una vez finalizado el juicio cuando han participado las partes con la asistencia de personas profesionales de la abogacía o graduados o graduadas sociales, documentada en el soporte audiovisual y posteriormente notificada la redacción de los elementos esenciales.","d","Laboral"
"Conforme al artículo 2 de la Ley Reguladora de la Jurisdicción Social, ¿cuál de las siguientes cuestiones litigiosas corresponde conocer a los órganos jurisdiccionales del orden social?","De las cuestiones litigiosas en materia de prevención de riesgos laborales que se susciten entre el empresario y los obligados a coordinar con este las actividades preventivas de riesgos laborales y los sujetos o entidades que hayan asumido la responsabilidad de organizar los servicios de prevención.","De las impugnaciones de los actos administrativos en materia de Seguridad Social relativos a inscripción de empresas, formalización de la protección frente a riesgos profesionales, tarifación, afiliación, alta, baja y variaciones de datos de trabajadores.","De las impugnaciones en materia de liquidación de cuotas, actas de liquidación y actas de infracción vinculadas con dicha liquidación de cuotas y con respecto a los actos de gestión recaudatoria, incluidas las resoluciones dictadas en esta materia por su respectiva entidad gestora, en el supuesto de cuotas de recaudación conjunta con las cuotas de Seguridad Social y, en general, los demás actos administrativos conexos a los anteriores dictados por la Tesorería General de la Seguridad Social.","El reconocimiento de la situación de dependencia y prestaciones económicas y servicios derivados de la Ley 39/2006, de 14 de diciembre, de Promoción de la Autonomía Personal y Atención a las personas en situación de dependencia, teniendo a todos los efectos de esta Ley la misma consideración que las relativas a las prestaciones y los beneficiarios de la Seguridad Social.","d","Laboral"
"La prueba documental en el orden jurisdiccional social, ¿cómo debe aportarse al procedimiento?","De forma anticipada, con diez días de antelación al acto del juicio, presentada en formato electrónico, salvo que la parte no venga obligada a relacionarse electrónicamente con la Administración de Justicia, en cuyo caso, se admitirá la presentación en papel o en otros soportes no digitales.","La documental se aportará en el acto del juicio.","Solo podrá trasladarse entre las partes de forma anticipada la prueba documental que, por su volumen o complejidad, sea conveniente posibilitar su examen previo al momento de la práctica de la prueba.","La prueba documental solo podrá aportarse con el escrito de demanda.","a","Laboral"
"¿Cómo pueden comparecer las partes en los procedimientos laborales?","Las partes pueden comparecer mediante representación por medio de abogado, procurador, graduado social colegiado o cualquier persona que se encuentre en el pleno ejercicio de sus derechos civiles.","Es preceptiva la representación de una persona profesional de la procura.","Pueden comparecer por sí mismas o conferir su representación a abogado, procurador, graduado social colegiado o cualquier persona que se encuentre en el pleno ejercicio de sus derechos civiles.","Es preceptiva la representación de una persona profesional de la abogacía.","c","Laboral"
"¿Qué percepción económica percibirá la persona que haya sido reconocida en situación de Incapacidad permanente absoluta por parte del Instituto Nacional de la Seguridad Social?","El 75 % de la base reguladora.","El 55 % de la base reguladora.","El 100 % de la base reguladora.","Una indemnización a tanto alzado de 24 mensualidades de la base reguladora.","c","Laboral"
