# 2022.2 laboral 
pregunta,a,b,c,d,correcta,bloque
"¿A quién corresponde establecer la duración de los convenios colectivos?","En los convenios de empresa y de ámbito inferior, corresponde al comité de empresa, delegados de personal o secciones sindicales si suman la mayoría de los miembros del comité.","Corresponde a las partes negociadoras establecer la duración de los convenios, pudiendo pactarse distintos periodos de vigencia para cada materia o grupo homogéneo de materias dentro del mismo convenio.","Corresponde a las secciones sindicales designadas mayoritariamente por sus representados.","Corresponde a las asociaciones empresariales que cuenten con el diez por ciento de los empresarios y den ocupación a igual porcentaje de los trabajadores afectados.","b","Derecho Laboral"
"Una trabajadora de Maruxía S.A. ha sido elegida senadora. La empresa necesita que la sustituida instruya a quien la va a sustituir. ¿Puede coincidir con el sustituto en el desarrollo de sus funciones?","No es posible la prestación simultánea de servicios por ambas personas trabajadoras.","Si se opta por la prestación simultánea debe ser por un período mínimo de un mes.","La prestación de servicios podrá iniciarse antes de que se produzca la ausencia de la persona sustituida, coincidiendo en el desarrollo de las funciones el tiempo imprescindible para garantizar el desempeño adecuado del puesto y, como máximo, durante quince días.","Solo pueden coincidir en el desarrollo de funciones a la finalización de la sustitución, para favorecer el retorno de la persona sustituida.","c","Derecho Laboral"
"Bartolomé ha prestado servicios en las provincias de Lleida, Tarragona y Girona para una empresa con domicilio en Madrid. Al recibir comunicación de despido decide presentar demanda. ¿Qué Juzgado o Tribunal es competente territorialmente?","La demanda tiene que presentarse necesariamente ante los Juzgados de lo Social de Madrid donde la empresa tiene su domicilio.","La demanda podrá presentarse ante el Juzgado de lo Social de alguna de las distintas circunscripciones en las que ha prestado sus servicios, pudiendo elegir entre el de su domicilio, el del contrato si allí pudiera citarse al demandado, o el del domicilio del demandado.","La demanda deberá presentarse ante la Sala de lo Social de la Audiencia Nacional ya que afecta al territorio de varias Comunidades Autónomas.","Tiene que presentarse ante la Sala de lo Social del TSJ de Cataluña al prestar servicios en distintas provincias de esta Comunidad.","b","Derecho Laboral"
"Francisca Rocha viene prestando servicios en virtud de contrato indefinido para GALUPA S.L. La empresa le comunica unas fechas de vacaciones diferentes y fraccionadas. La empleada entiende que ha sido discriminada por su condición sexual e interpone demanda. ¿Cuál debería ser la tramitación?","Las demandas en reclamación del disfrute de vacaciones en que se invoque lesión de derechos fundamentales se tramitarán inexcusablemente con arreglo a la modalidad procesal de vacaciones, acumulando las pretensiones de tutela de derechos fundamentales con las propias de la modalidad procesal respectiva.","Las demandas en reclamación de disfrute de vacaciones en que se invoque lesión de derechos fundamentales se tramitarán inexcusablemente con arreglo a la modalidad procesal de tutela de derechos fundamentales que no puede acumularse ni tramitarse por otra modalidad procesal.","Las demandas en que se invoque lesión de derechos fundamentales no pueden tramitarse por ninguna modalidad procesal diferente a la establecida para la tutela de derechos fundamentales salvo el despido y la modificación sustancial de condiciones de trabajo.","Las demandas en reclamación de disfrute de vacaciones en que se invoque lesión de derechos fundamentales no pueden ejercitarse conjuntamente en ninguna circunstancia.","a","Derecho Laboral"
"La empresa Medellín S.A.U. con cuatrocientos veinte trabajadores se plantea reducir el importe de ciertos pluses por productividad a los cuarenta y dos empleados que prestan servicios en fábrica. ¿Cómo se calificaría esta decisión empresarial?","Se trata de una modificación de carácter colectivo ya que afecta al menos a treinta trabajadores en una empresa con más de trescientos.","Se trata de una modificación individual de las condiciones de trabajo ya que afecta a menos de cincuenta empleados en una empresa con más de trescientos trabajadores.","Se trata de cuarenta y dos modificaciones individuales de contrato.","No podemos hablar de modificaciones de contrato al venir amparadas en causas económicas.","a","Derecho Laboral"
"A Concha la empresa JJGG le ha notificado la modificación de su jornada de trabajo pasando de turno de mañana a turno rotativo. ¿Puede presentar demanda directamente o es imprescindible el intento previo de conciliación?","Puede hacerlo directamente ya que el proceso de modificación sustancial de condiciones de trabajo no exige conciliación previa.","Debe presentar papeleta de conciliación ante el servicio administrativo correspondiente al ser requisito previo.","Debe presentar reclamación previa en vía administrativa.","Para la presentación de la demanda es necesario que previamente dirija escrito a la empresa manifestando su disconformidad.","a","Derecho Laboral"
"Su cliente ha sufrido un grave accidente de trabajo. La empresa no cumplía las mínimas medidas de seguridad. ¿Puede el trabajador reclamar un recargo de prestaciones?","Nunca tendrá derecho al recargo puesto que toda responsabilidad del accidente queda cubierta por las propias prestaciones de la Seguridad Social.","Podrá solicitar un incremento del 100% de todas las prestaciones económicas que tengan su causa en el accidente.","Podrá solicitar un incremento del 10% de todas las prestaciones económicas que tengan su causa en el accidente.","Podrá solicitar un incremento de todas las prestaciones económicas que tengan su causa en el accidente de un 30 a un 50%.","d","Derecho Laboral"
"Tras la celebración de un juicio por vacaciones ¿puede el órgano judicial dictar sentencia oral?","No. En el proceso laboral no está previsto el dictado de sentencias orales.","Sí. Dado que por razón de la materia no procede recurso de suplicación el Juez podrá dictar sentencia de viva voz al terminar el juicio.","Sí. En el proceso laboral siempre que las partes estén presentes es posible el dictado oral de sentencia, aunque sea susceptible de recurso de suplicación.","Sí. Aunque solamente si ambas partes han comparecido.","b","Derecho Laboral"
"Representando a Construcciones Andamio S.L., ha interpuesto demanda impugnando un recargo de prestaciones. Su cliente ha sido condenado e insiste en recurrir en suplicación. ¿Qué trámite debe seguir?","No tiene más que anunciarlo por escrito.","Tendrá que anunciarlo y consignar como depósito 300 €.","Tendrá que anunciarlo y consignar como depósito 1.000 €.","No puede recurrir en suplicación la sentencia.","b","Derecho Laboral"
"En relación con la intervención de Abogado y Graduado social en el proceso laboral ¿cuál de las siguientes afirmaciones es correcta?","Las partes deben estar asistidas de Abogado o de Graduado social desde la presentación de la papeleta de conciliación o la reclamación previa.","Las partes deben estar asistidas de Abogado o de Graduado social desde la presentación de la demanda.","Si el demandante pretende asistir con Abogado deberá indicarlo en la demanda. En estos casos, el demandado necesariamente deberá intervenir con Abogado o con Graduado social.","La intervención de estos profesionales tendrá carácter facultativo en la instancia. Sin embargo, en el recurso de suplicación los litigantes habrán de estar defendidos por profesional de la Abogacía o representados técnicamente por Graduado social colegiado. En el recurso de casación y ante el TS será preceptiva la defensa de Abogado.","d","Derecho Laboral"
"Itziar, empleada en una fábrica de lámparas, es atropellada por un patinete en las inmediaciones de su casa cuando regresaba tras finalizar su jornada laboral. ¿Las lesiones pueden tener la consideración de accidente de trabajo?","No. Solo se entiende por accidente de trabajo toda lesión corporal que el trabajador sufra con ocasión o por consecuencia del trabajo que ejecute por cuenta ajena.","No. Aunque ha ocurrido al regresar de su lugar de trabajo no se ha producido en las inmediaciones del centro de trabajo.","No. Solo se considera accidente de trabajo si las lesiones se sufren con ocasión o por consecuencia del trabajo, como consecuencia del desempeño de cargos electivos sindicales, o por tareas que ejecute el trabajador en cumplimiento de órdenes del empresario o espontáneamente en interés del buen funcionamiento de la empresa.","Sí, ya que tienen la consideración de accidentes de trabajo los que sufra la persona trabajadora al ir o al volver del lugar de trabajo.","d","Derecho Laboral"
"Mientras desarrolla sus funciones Gilbert sufre un desmayo con pérdida de conciencia iniciando un periodo de incapacidad temporal derivada de accidente de trabajo. ¿Le corresponde percibir subsidio desde el primer día de la baja?","El subsidio se abonará desde el segundo día de baja en el trabajo no percibiendo salario ni prestación hasta entonces.","El subsidio se abonará desde el primer día por el INSS o, en su caso, por la Mutua correspondiente.","En caso de accidente de trabajo, el subsidio se abonará desde el día siguiente al de la baja en el trabajo, estando a cargo del empresario el salario íntegro correspondiente al día de la baja.","En caso de accidente de trabajo, el subsidio se abonará a partir del cuarto día de baja por el INSS o, en su caso, por la Mutua, si bien desde el día cuarto al decimoquinto, ambos inclusive, el subsidio estará a cargo del empresario.","c","Derecho Laboral"
"Durante la celebración de un juicio en que defiende a la empresa tras despedir a un empleado por motivos disciplinarios, la Abogada del trabajador propone como prueba la reproducción de unas conversaciones telefónicas entre el empresario y el trabajador. Usted entiende que se ha vulnerado un derecho fundamental. ¿Cómo debe proceder?","Si se entiende que en la obtención de la prueba se han podido vulnerar derechos fundamentales, esta cuestión deberá suscitarse en el momento de la proposición de prueba, y el Juez, tras oír a las partes y, en su caso, practicar prueba, resolverá en el acto. Contra esta resolución solo cabrá recurso de reposición que se resolverá oralmente.","Si se entiende que en la obtención de la prueba se han podido vulnerar derechos fundamentales, esta cuestión deberá suscitarse en el momento de la proposición de prueba y el Juez, tras oír a las partes y, en su caso, practicar prueba, resolverá en el acto. Contra esta resolución no cabe recurso.","Las cuestiones relativas a vulneración de derechos fundamentales en la obtención de las pruebas en el proceso laboral deberán plantearse en el momento de anunciar recurso de suplicación.","Deberá formular protesta y tras la vista presentar escrito argumentando su oposición a la valoración de dicha prueba.","a","Derecho Laboral"
"Elena es despedida cuando la empresa le adeuda más de dos meses de salario. ¿Cuál sería su consejo profesional?","Le informa que al no ser acciones acumulables deberá presentar dos demandas, una impugnando la decisión extintiva y otra reclamando el salario adeudado.","Le informa de la necesidad de acumular el ejercicio de ambas acciones en una sola demanda puesto que de no hacerlo decaerá el derecho a reclamar el salario adeudado.","Le informa de que puede o no acumular a la acción de despido la reclamación de los salarios que se le adeudan.","Le informa de que ha prescrito la acción de reclamación de salarios no siendo posible reclamar tras la finalización de la relación laboral.","c","Derecho Laboral"
"Al empleado Francisco se le notifica sentencia que desestima su demanda de modificación sustancial de condiciones de trabajo por traslado de centro que implica cambio de residencia, declarando justificada la decisión empresarial. ¿Qué consecuencias tiene para el trabajador?","La sentencia que declare justificada la decisión reconocerá el derecho de Francisco a extinguir el contrato con indemnización de treinta y tres días de salario por año de servicio con un máximo de quince mensualidades, concediéndole el plazo de quince días.","La sentencia que declare justificada la decisión reconocerá el derecho del trabajador a extinguir el contrato con indemnización de veinte días de salario por año de servicio con un máximo de doce mensualidades, concediéndole el plazo de quince días.","La sentencia que declare justificada la decisión determina su obligación de aceptar el traslado de centro de trabajo con cambio de residencia.","El empleado podrá solicitar ser repuesto en sus condiciones anteriores de trabajo.","b","Derecho Laboral"
