# 2025.1 comun (comprobado)
pregunta,a,b,c,d,correcta,materia
"¿De cuál de los siguientes hechos, cometido por un extranjero fuera del territorio nacional, conocerá la jurisdicción española?","De los hechos susceptibles de tipificarse, según la ley penal española, como delito de atentado contra los funcionarios públicos españoles.","En ningún caso la jurisdicción española puede conocer de hechos cometidos por un extranjero fuera del territorial nacional.","De los hechos susceptibles de tipificarse, según la ley española, como delito de asesinato.","De aquellos en los que la víctima del delito tuviera nacionalidad española.","a","Comun"
"Juan ha participado, en su condición de profesional de la abogacía, en un proceso de negociación previo a la vía jurisdiccional como requisito de procedibilidad. Posteriormente, mediante resolución judicial motivada, una jueza del orden jurisdiccional penal le exige la aportación de la documentación derivada del proceso de negociación en el que intervino. ¿Debe Juan aportar tal documentación?","En ningún caso. El proceso de negociación y la documentación utilizada en el mismo son confidenciales y Juan no puede quebrar tal deber de confidencialidad.","Sí, Juan está facultado para aportar tal documentación y ello no porque haya sido solicitado por un juez, sino porque el deber de confidencialidad se extiende al proceso judicial pero no a la negociación previa.","Únicamente cuando la persona a la que asiste le haya dispensado expresamente y por escrito del deber de confidencialidad.","Sí, la prohibición de aportar documentación derivada del proceso de negociación encuentra una excepción cuando, mediante resolución judicial motivada, sea solicitada por los jueces y juezas del orden jurisdiccional penal.","d","Comun"
"Paz tiene intención de formular demanda ante el orden jurisdiccional civil en un proceso declarativo para el que se exige actividad negociadora previa a la vía jurisdiccional. Va a utilizar, como medio adecuado de solución de controversias en vía no jurisdiccional, la formulación de oferta vinculante. ¿Es preceptiva la asistencia letrada?","Sí, salvo que la cuantía del asunto controvertido no supere los 2.000 euros o que una ley sectorial no exija la intervención de letrado o letrada para la realización o aceptación de la oferta.","No, la asistencia letrada únicamente es preceptiva cuando se utilice como medio adecuado de solución de controversias la conciliación privada, excepto cuanto la cuantía del asunto controvertido no supere los 6.000 euros.","Sí, con independencia del medio adecuado utilizado, ya que en todos los medios adecuados de solución de controversias en vía no jurisdiccional es preceptiva la asistencia letrada a las partes.","No, ya que en ninguno de los medios adecuados de solución de controversias en vía no jurisdiccional es preceptiva la asistencia letrada a las partes y ello sin perjuicio de que las partes puedan acudir a cualquiera de los medios adecuados de solución de controversias asistidas de profesional de la abogacía.","a","Comun"
"¿Cuál de las siguientes afirmaciones se corresponde con el contenido del derecho de defensa?","El derecho a la defensa se limita a la prestación de asistencia letrada o asesoramiento en derecho y la defensa de los intereses legítimos de la persona a través de los procedimientos previstos legalmente y no se extiende al asesoramiento previo al eventual inicio de estos procedimientos.","El contenido del derecho a la defensa en las causas penales no se puede hacer extensible, en ningún caso, al procedimiento administrativo sancionador y al procedimiento disciplinario.","El ejercicio del derecho a la defensa no queda sujeto a procedimiento legal.","Cualquier duda sobre la interpretación y alcance del ejercicio del derecho a la defensa se resolverá del modo más favorable al ejercicio del derecho.","d","Comun"
"A Mónica le ha sido reconocido el derecho a la asistencia jurídica gratuita. Se designa, por ello, abogado de oficio. Siendo precisa la representación de profesional de la procura, Mónica va a ser representada por un procurador de libre elección. Este procurador renuncia por escrito a percibir sus honorarios ante Mónica y ante el Colegio en el que se encuentra inscrito. ¿Es posible, en este caso, que actúen simultáneamente un profesional de la abogacía de oficio y un profesional de la procura libremente elegido?","Sí.","No, en ningún caso pueden actuar simultáneamente un abogado de oficio y un procurador libremente elegido.","No, podrían actuar simultáneamente un procurador de oficio y un abogado libremente elegido, pero nunca, al contrario.","Sí, siendo al efecto indiferente la renuncia a percibir honorarios pues, en todo caso, pueden actuar simultáneamente un abogado de oficio y un procurador libremente elegido.","a","Comun"
"¿Cómo se establece la sede de las Secciones de Vigilancia Penitenciaria de los Tribunales de Instancia?","No existen las Secciones de Vigilancia Penitenciaria en los Tribunales de Instancia.","Se establece por el Gobierno, oída previamente la Comunidad Autónoma afectada y el Consejo General del Poder Judicial.","Tendrán necesariamente su sede en la capital del partido que se señale por la ley de la correspondiente Comunidad Autónoma.","Se establece por el Consejo General del Poder Judicial, oído el Ministerio o la Comunidad Autónoma con competencias transferidas en la materia.","b","Comun"
"¿Cuál de los siguientes requisitos es, en todo caso, necesario para que la jurisdicción española conozca de un delito cometido fuera del territorio nacional cuando el criminalmente responsable fuera español y no se trate de alguno de los delitos para cuyo conocimiento la jurisdicción española es siempre competente?","Que el agraviado o el Ministerio Fiscal interpongan querella ante los Tribunales españoles.","Que el hecho no sea punible en el lugar de ejecución, si fuera punible en tal lugar corresponderá, en todo caso, su conocimiento a los Tribunales del Estado de ejecución.","Que el responsable haya sido absuelto en el extranjero.","Que en caso de haber sido condenado el responsable en el extranjero haya cumplido la condena.","a","Comun"
"En relación con la ejecución de sentencias del Tribunal Europeo de Derechos Humanos, ¿cuál de las siguientes afirmaciones es correcta?","Pueden ser ejecutadas por la Sala, la Gran Sala o el Pleno, según quien las haya dictado.","Serán ejecutadas por la Sala de ejecución, con independencia de si fueron dictadas por la Gran Sala o el Pleno.","El Convenio prevé que las Altas Partes contratantes se comprometan a acatar las sentencias definitivas del Tribunal en los litigios que sean parte, careciendo el Tribunal de competencia para su ejecución.","El Convenio únicamente prevé que todos los Estados se comprometan a acatar las sentencias definitivas del tribunal en cualquier tipo de litigio, aunque no fuesen parte en el mismo.","c","Comun"
"En nuestro ordenamiento jurídico interno, ¿cómo es posible recabar la tutela de los derechos fundamentales reconocidos en la Constitución?","Ante los Tribunales ordinarios por un procedimiento basado en los principios de preferencia y sumariedad y, en su caso, a través del recurso de amparo ante el Tribunal Constitucional.","El único cauce para la tutela de los derechos fundamentales es el recurso de amparo ante el Tribunal Constitucional.","Ante el Tribunal Supremo, a través del recurso de casación o, en su caso, a través del recurso de amparo ante el Tribunal Constitucional.","A través de cualquier procedimiento ordinario, sin que existan procedimientos especiales destinados a tal fin de tutela.","a","Comun"
"En el orden contencioso-administrativo, ¿en qué supuesto será competente, en todo caso, la jurisdicción española?","La competencia exclusiva se limita a aquellos supuestos en los que la pretensión que se deduzca se refiera a disposiciones de carácter general de las Administraciones Públicas españolas.","Cuando la pretensión que se deduzca se refiera a actos de las Administraciones Públicas españolas, sin extenderse a aquellos supuestos en los que la pretensión se refiera a disposiciones de carácter general de tales Administraciones.","Cuando la pretensión que se deduzca se refiera a disposiciones de carácter general o a actos de las Administraciones Públicas españolas o sean relativas a actos de los poderes públicos españoles, de acuerdo con lo que dispongan las leyes.","No existe competencia exclusiva de la jurisdicción española en el orden contencioso-administrativo, dependiendo esta del domicilio del recurrente.","c","Comun"
"Interpuesto un recurso de apelación ante la Sala de lo Contencioso-administrativo del Tribunal Superior de Justicia de Madrid, el mismo es desestimado totalmente en sentencia. ¿A qué parte se impondrán las costas?","Al recurrente, salvo que el órgano jurisdiccional, razonándolo debidamente, aprecie la concurrencia de circunstancias que justifiquen su no imposición.","Al recurrente, sin que el órgano jurisdiccional pueda exceptuar esta imposición en ningún caso.","No habrá imposición de costas al tratarse de un recurso de apelación en el orden jurisdiccional contencioso-administrativo.","Al recurrente únicamente si se le hubiera condenado en costas en instancia, vinculando tal pronunciamiento al órgano jurisdiccional que resuelve el recurso de apelación.","a","Comun"
"Tras un proceso de derecho colaborativo, ¿qué deben hacer los profesionales de la abogacía que hayan intervenido en el mismo?","Emitir una certificación acreditativa del proceso intentado.","Redactar un acta final por el que se haga constar las partes, profesionales intervinientes, sesiones llevadas a cabo, así como los acuerdos adoptados y las cuestiones sobre las que no haya sido posible alcanzar un acuerdo entre las partes.","Las obligaciones de los profesionales de la abogacía que hayan intervenido en el proceso de derecho colaborativo se limitan al propio proceso, sin que tengan obligaciones una vez celebrado el mismo.","No es posible que los profesionales de la abogacía intervengan en un proceso de derecho colaborativo.","b","Comun"
"Emilia, residente en Madrid, se encuentra colegiada como profesional de la abogacía ejerciente en el Ilustre Colegio de Abogados de Madrid. Pretende actuar profesionalmente en el ámbito territorial del Ilustre Colegio de Abogados de Huelva. Le exigen para ello habilitarse como colegiada en el ámbito territorial de este último Colegio. ¿Es conforme a Derecho tal exigencia?","No, para actuar profesionalmente en el ámbito territorial de cualquier Colegio distinto al que estuviere incorporado, no podrá exigirse al profesional de la abogacía habilitación alguna.","No, pues existe un convenio entre ambos Colegios de abogados que faculta la posibilidad de que los colegiados en uno o en otro actúen profesionalmente en sus respectivos ámbitos territoriales.","No, cabría exigir pago de contraprestación adicional pero no de habilitación.","Sí, para actuar profesionalmente en el ámbito territorial de cualquier Colegio distinto de aquel al que estuviera incorporado podrá exigirse al profesional de la abogacía una habilitación adicional.","a","Comun"
"¿Puede llevar a cabo un profesional de la abogacía el tratamiento de datos referidos a condenas que tengan por objeto recoger la información facilitada por su cliente para el ejercicio de sus funciones?","No. El tratamiento de datos personales relativos a condenas únicamente podrá llevarse a cabo cuando se encuentre amparado en una norma de Derecho de la Unión, que no recoge entre sus supuestos el tratamiento de datos llevado a cabo por un profesional de la abogacía para el ejercicio de sus funciones.","Sí. El tratamiento de datos referido a condenas será posible cuando sean llevado a cabo por profesionales de la abogacía y tengan por objeto recoger la información facilitada por sus clientes para el ejercicio de sus funciones.","No. El profesional de la abogacía podrá llevar a cabo el tratamiento de datos referido a procedimientos y medidas cautelares y de seguridad conexas, pero no a condenas.","No. La normativa de protección de datos no admite en ningún caso el tratamiento de datos referido a condenas, así como tampoco a procedimientos y medidas cautelares y de seguridad conexas.","b","Comun"
"En relación con el ejercicio de la abogacía por cuenta propia en régimen de colaboración profesional, ¿cuál de las siguientes afirmaciones es correcta?","El ejercicio de la abogacía por cuenta propia en régimen de colaboración profesional deberá pactarse por escrito.","El profesional de la abogacía colaborador, que actuará con plena independencia y libertad, no necesita conocer la identidad del cliente.","Tiene por objeto la prestación de servicios conjuntos, entre los que deberán incluirse necesariamente servicios jurídicos que se complementen con los de las otras profesiones.","Se regirá por lo dispuesto en la legislación reguladora de las sociedades profesionales.","a","Comun"
"Telmo ejerce individualmente la abogacía por cuenta propia como titular de un despacho. Ante su imposibilidad, delega en su compañero Coque las actuaciones profesionales requeridas por un cliente del despacho. El cliente no abona los honorarios debidos. Coque solicita a Telmo que le abone tales honorarios por las actuaciones profesionales que le delegó, pero Telmo le responde que, no habiendo pactado nada al respecto, no le corresponde responder personalmente de tales honorarios debidos. ¿Tiene razón Telmo?","Sí. El titular del despacho únicamente responderá de los honorarios debidos al profesional de la abogacía en el que delegue actuaciones si así lo hubieran pactado por escrito.","No. El titular del despacho responderá personalmente de los honorarios debidos al profesional de la abogacía en el que delegue actuaciones, aun el caso de que el cliente dejase de abonárselos, salvo pacto escrito en contrario.","Sí. El titular del despacho responderá de los honorarios debidos al profesional de la abogacía en el que delegue actuaciones, pero esta obligación no se extiende a aquellos supuestos en los que el cliente haya dejado de abonárselos.","No. Telmo tiene razón en que no debe responder de tales honorarios debidos, pero se equivoca al referir que ello se debe a la falta de pacto pues no es posible convenir acerca del abono de honorarios que siempre se ajustará a la ley.","b","Comun"
"¿En cuál de los siguientes supuestos se presumirá que existe ejercicio colectivo de la profesión de abogacía?","Cuando el ejercicio de la actividad se desarrolle públicamente, sin constituirse en sociedad profesional, bajo una denominación común.","Cuando el profesional de la abogacía titular de un despacho comparta local con otro profesional de la abogacía, aun cuando mantengan la independencia de sus despachos y no se identifiquen conjuntamente ante los clientes.","Cuando el profesional de la abogacía titular de un despacho concierte un acuerdo de colaboración para un determinado asunto con otro profesional de la abogacía.","En ningún caso se presume el ejercicio colectivo de la profesión de abogacía.","a","Comun"
"Catalina, profesional de la abogacía, actúa en un procedimiento judicial asistiendo a un cliente, como demandante. La parte contraria, demandada, cuenta igualmente con asistencia letrada. ¿Puede Catalina telefonear directamente a la persona demandada para hablar de una cuestión referente al pleito en curso en lugar de al profesional de la abogacía que le asiste?","Sí. Catalina puede dirigirse, indistintamente, a la parte contraria o al profesional de la abogacía que asiste a esta.","No. Catalina no podrá entrar en contacto directo con la parte contraria y solo se podrá relacionar con ella a través de su profesional de la abogacía, salvo que este lo autorice expresamente.","Sí. Catalina debe dirigirse a la parte contraria directamente, pues las relaciones con su profesional de la abogacía deben limitarse a las actuaciones que se lleven a cabo ante el órgano judicial.","No. Catalina no podrá entrar en contacto directo con la parte contraria, debiendo únicamente relacionarse con ella a través de su abogado, sin que este puede autorizar el contacto directo con su cliente.","b","Comun"
"El Consejo General de la Abogacía va a adoptar un acuerdo del que pueden derivarse repercusiones económicas extrapresupuestarias para los Colegios de la Abogacía. ¿Puede el acuerdo ser aprobado por mayoría simple entre los Consejeros presentes o representados?","Sí. No encontrándonos ante la aprobación de una modificación del Estatuto General de la Abogacía ni del Reglamento de régimen interior del Consejo General de la Abogacía, bastará la mayoría simple.","Sí. Podrá ser aprobado por mayoría simple salvo que cualquier Consejero Decano solicitara, previamente al inicio de la votación, que se aplique el régimen de la mayoría reforzada.","No. Todos los acuerdos del Consejo General de la Abogacía deben ser aprobados por mayoría reforzada, con independencia de la materia sobre la que se adopten.","No. Nos encontramos ante un asunto al que se aplicará necesariamente el régimen de la mayoría reforzada.","d","Comun"
"Cayetana, profesional de la abogacía, es sancionada por haber cometido una infracción consistente en el encubrimiento del intrusismo profesional. Se le impone como sanción la suspensión del ejercicio de la abogacía por plazo de quince meses. ¿Cuándo prescribirá la sanción?","A los tres años a contar desde el día siguiente a aquel en que pueda ser ejecutada.","A los dos años a contar desde el día siguiente a aquel en que pueda ser ejecutada.","Al año a contar desde el día siguiente a aquel en que pueda ser ejecutada.","A los seis meses a contar desde el día siguiente a aquel en que pueda ser ejecutada.","a","Comun"
"Pablo ha incurrido en falta de pago de doce mensualidades de la cuota obligatoria del Colegio de Abogados en el que se encuentra colegiado como ejerciente, estando obligado al pago. ¿A qué órgano corresponde acordar la pérdida de condición de colegiado de Pablo?","A la Junta de Gobierno del Colegio mediante resolución motivada.","Al Consejo General de la Abogacía.","Al Consejo Autonómico y, en su defecto, al Consejo General de la Abogacía.","La falta de pago de doce mensualidades de la cuota obligatoria no puede dar lugar a la pérdida de condición de colegiado que únicamente se producirá por sanción de expulsión del colegio acordada por resolución firme en expediente disciplinario.","a","Comun"
"Una Sociedad profesional para el ejercicio de la abogacía ha sido sancionada con multa pecuniaria de 1.000 euros. ¿Cuándo podrá cancelarse, a petición de la sociedad sancionada, la anotación de la sanción en su expediente particular?","La anotación de la sanción en su expediente particular no se cancelará con independencia del plazo transcurrido, permaneciendo en el mismo hasta su disolución.","Transcurridos seis meses desde el día siguiente al cumplimiento de la sanción.","Transcurrido un año desde el día siguiente al cumplimiento de la sanción.","La cancelación de la anotación se producirá transcurrido un año desde el día siguiente al cumplimiento de la sanción, pero siempre de oficio nunca a petición de parte.","b","Comun"
"Eugenia ha sido sancionada disciplinariamente con la expulsión del Colegio de la Abogacía en el que se encontraba colegiada. Transcurridos cinco años desde que la sanción de expulsión fue ejecutada solicita a la Junta de Gobierno del Colegio que impuso la sanción de expulsión la rehabilitación para el ejercicio de la profesión. ¿Qué circunstancia debe valorar la Junta de Gobierno para resolver sobre dicha solicitud?","Los antecedentes penales anteriores a la sanción de expulsión.","Los antecedentes penales posteriores a la sanción de expulsión.","Su historial de éxito en el ejercicio de la profesión con carácter previo a la expulsión.","Las denuncias o quejas recibidas con posterioridad a la expulsión, aun cuando estuvieran prescritos los hechos a los que se refieran.","b","Comun"
"Aurora, profesional de la abogacía, lleva colegiada un año y decide publicitar sus servicios utilizando el siguiente eslogan: ¿Tienes problemas con tu jefe? Denúncialo ya y consigue una gran indemnización. ¿Es adecuada esta publicidad a los principios que rigen la profesión de la abogacía?","No, por incurrir en incitación al pleito.","No, por mencionar actividades incompatibles con el ejercicio de la abogacía.","Sí, siempre que no utilice emblemas o símbolos institucionales o colegiales.","Sí, existe plena libertad en la publicidad, pero Aurora no puede publicitar sus servicios hasta que lleve dos años colegiada.","a","Comun"
"¿Pueden los Decanos de los Colegios de la Abogacía asistir a la práctica del registro que se realice en el despacho profesional de un profesional de la abogacía para velar por la salvaguarda del secreto profesional y porque el registro se limite exclusivamente a la investigación del ilícito por el que fueron acordados?","Sí, asistirán en todo caso sin necesidad de que lo solicite el profesional de la abogacía interesado.","No, no es función de los Decanos de los Colegios de la Abogacía asistir a tal práctica.","No, es el Presidente del Consejo General de la Abogacía Española a quien corresponde tal asistencia.","Sí, cuando lo solicite el interesado asistirán los Decanos de los Colegios, quienes estatutariamente les sustituyan o quienes para tal fin fueron designados por el Decano.","d","Comun"
"Elías, profesional de la abogacía que asiste a un cliente en un proceso civil, es informado por este de que el testigo clave en el pleito va a trasladar su residencia al extranjero próximamente. Elías considera que este traslado puede suponer que el testigo no pueda comparecer en el periodo ordinario de prueba. ¿Qué estrategia procesal debe seguir para asegurar la declaración del testigo clave?","Solicitar la práctica de prueba anticipada.","Formular reconvención frente al testigo, garantizando así su declaración.","Plantear un incidente de nulidad de actuaciones que proceda a paralizar el proceso.","Acumular varias acciones garantizando así que se adelante la vista.","a","Comun"
"¿Cuál de las siguientes infracciones cometidas por un profesional de la abogacía constituye una infracción muy grave?","La renuncia o el abandono de la defensa que le haya sido confiada cuando se cause indefensión al cliente.","El incumplimiento de los compromisos formalizados entre compañeros en el ejercicio de sus funciones profesionales.","La inducción injustificada al cliente a no abonar los honorarios devengados por un compañero en caso de cambio de profesional de la abogacía.","La falsa atribución de un encargo profesional.","a","Comun"
"En el ejercicio colectivo de la abogacía en forma no societaria, ¿cómo responderán civilmente los profesionales de la abogacía que hayan intervenido en un asunto frente al cliente?","Responderán personalmente con carácter mancomunado, repartiéndose entre todos ellos, de manera proporcional a su intervención, la responsabilidad.","Únicamente responderá el despacho colectivo, sin responsabilidad personal de los profesionales de la abogacía que hayan intervenido en el asunto.","Todos los profesionales de la abogacía que hayan intervenido responderán frente al cliente con carácter personal, solidario e ilimitado.","Responderán mancomunada o solidariamente según la naturaleza de la responsabilidad.","c","Comun"
"Gaspar, profesional de la abogacía, se encuentra interviniendo en un procedimiento administrativo y su cliente le requiere copia de los escritos que ha presentado. ¿Debe Gaspar facilitar tal documentación?","Sí, siempre que así lo hayan pactado por escrito.","No, la obligación de proporcionar copia existe en el procedimiento judicial pero no en el procedimiento administrativo.","No, el profesional de la abogacía está obligado a proporcionar copia de las resoluciones que le sean notificadas y de los escritos recibidos, pero no de los presentados.","Sí.","d","Comun"
