# 2024.1 laboral (comprobado)
pregunta,a,b,c,d,correcta,materia
"La empresa OOO S.L. ha confeccionado el calendario de vacaciones de la plantilla para los tres meses de verano de modo que cada mes disfrutará de vacaciones un tercio de la plantilla. Dado que la producción será la misma, la mercantil le consulta si es posible sustituir a los trabajadores durante sus vacaciones y, caso afirmativo, qué tipo de contrato podrá utilizar.","Sí puede sustituir a los empleados durante sus vacaciones. Para ello deberá utilizar el contrato de sustitución.","Sí puede sustituir a los empleados durante sus vacaciones. Para ello deberá utilizar el contrato por circunstancias de la producción.","Sí puede sustituir a los empleados durante sus vacaciones. Deberá utilizar el contrato de obra o servicio determinado por cuanto, al tratarse de la actividad normal de la empresa, el periodo de vacaciones tiene sustantividad propia.","No se pueden cubrir los periodos de vacaciones de la plantilla con contratos temporales en ningún caso.","b","Laboral"
"Mireia ha prestado servicios en las provincias de Huelva, Almería y Granada por cuenta de la mercantil HHH S.L., con domicilio en Barcelona. Al recibir notificación de despido decide presentar demanda. ¿Qué Juzgado o Tribunal es competente territorialmente para conocer de la demanda?","La demanda tiene que presentarse necesariamente ante los Juzgados de lo Social de Barcelona donde la empresa demandada tiene su domicilio.","La demanda podrá presentarse ante el Juzgado de lo Social de alguna de las distintas circunscripciones territoriales en las que ha prestado sus servicios, pudiendo elegir entre aquél en el que tenga su domicilio, el del contrato, si hallándose en él el demandado pudiera ser citado, o el del domicilio del demandado.","La demanda deberá presentarse ante la Sala de lo Social de la Audiencia Nacional ya que afecta al territorio de varias Comunidades Autónomas.","La demanda podrá presentarse ante el Juzgado de lo Social de alguna de las distintas circunscripciones territoriales en las que ha prestado sus servicios, pudiendo elegir entre aquél en el que tenga su domicilio, el del contrato, si hallándose en él el demandante pudiera ser citado, o el del domicilio del demandante.","b","Laboral"
"La empresa XXX S.L. cuenta con una plantilla de doscientas noventa y cinco personas trabajadoras. Ante las graves dificultades económicas que atraviesa, decide reducir el importe de ciertos pluses por productividad que venía abonando mensualmente a los veintidós empleados que prestan sus servicios en fábrica. ¿Cómo se calificaría esta decisión empresarial?","Se trata de una modificación de condiciones de trabajo de carácter colectivo.","Se trata de una modificación individual de las condiciones de trabajo ya que afecta a menos de cincuenta empleados en una empresa con menos de trescientos trabajadores.","Se trata de veintidós modificaciones individuales de condiciones de trabajo.","No podemos hablar de modificaciones de contrato al venir amparadas en causas económicas.","c","Laboral"
"Representando a la mercantil CCC S.L., usted ha interpuesto demanda impugnando la imposición de un recargo de prestaciones de la Seguridad Social por falta de medidas de seguridad. Su cliente ha sido condenado a abonar una importante cantidad por el accidente laboral sufrido por una de las personas trabajadoras de su plantilla e insiste en recurrir en suplicación la sentencia. ¿Qué trámite debe seguir?","No tiene más que anunciarlo por escrito.","Tendrá que anunciarlo y consignar como depósito 300€.","Tendrá que anunciarlo y consignar como depósito 1.000€.","Esta sentencia por razón de la materia no es susceptible de recurso de suplicación.","b","Laboral"
"Wenceslao sufre un accidente laboral durante el desempeño de su trabajo iniciando un periodo de incapacidad temporal que se prolonga durante setenta y ocho días. Indique la respuesta correcta.","El subsidio se abonará desde el segundo día de baja en el trabajo no percibiendo salario ni prestación alguna hasta entonces.","El subsidio se abonará desde el primer día por el Instituto Nacional de la Seguridad Social o, en su caso, por la Mutua correspondiente.","El subsidio se abonará desde el día siguiente al de la baja en el trabajo, estando a cargo del empresario el salario íntegro correspondiente al día de la baja.","El subsidio se abonará a partir del cuarto día de baja en el trabajo por el Instituto Nacional de la Seguridad Social o, en su caso, por la Mutua correspondiente, si bien desde el día cuarto al decimoquinto de baja, ambos inclusive, el subsidio estará a cargo del empresario.","c","Laboral"
"A Xacobe se le notifica sentencia desestimatoria de su demanda de modificación sustancial de condiciones de trabajo por traslado de centro que implica cambio de residencia, declarando dicha decisión empresarial justificada por razones objetivas. ¿Qué consecuencias tiene este pronunciamiento judicial para el trabajador?","La sentencia que declare justificada la decisión empresarial reconocerá el derecho de Xacobe a extinguir el contrato de trabajo con derecho a percibir una indemnización de treinta y tres días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades, concediéndole al efecto el plazo de quince días.","La sentencia que declare justificada la decisión empresarial reconocerá el derecho del trabajador a extinguir el contrato de trabajo con derecho a percibir una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades, concediéndole al efecto el plazo de quince días.","La sentencia que declare justificada la decisión empresarial determina su obligación de aceptar el traslado de centro de trabajo con cambio de residencia.","El empleado podrá solicitar ser repuesto en sus condiciones anteriores de trabajo.","b","Laboral"
"Joan ha obtenido una sentencia favorable frente al Ayuntamiento para el que viene prestando servicios laborales desde hace veinte años. Pese a que han transcurrido varias semanas desde su firmeza, la Entidad Local no procede a cumplir lo resuelto. ¿Puede Joan acudir al Juzgado a solicitar la ejecución forzosa?","Sí. Desde la firmeza de la sentencia Joan puede solicitar la ejecución forzosa al Juzgado.","Joan podrá solicitar la ejecución forzosa de la sentencia en todo caso si han transcurrido dos meses desde su firmeza.","Es el órgano judicial quien en sentencia indicará, en todo caso, el plazo con el que cuenta la Administración o Entidad pública demandada para ejecutarla y, por tanto, transcurrido el mismo, si no se cumpliere voluntariamente, podrá solicitarse su ejecución por la parte.","Salvo que en sentencia se hubiese fijado otro plazo diferente, Joan podrá solicitar la ejecución forzosa si han transcurrido ya dos meses desde su firmeza.","d","Laboral"
"En materia de recursos en el proceso laboral sobre impugnación de sanción, ¿cuál de las siguientes respuestas es la correcta?","No procederá recurso de suplicación, entre otros, en los procesos relativos a impugnación de sanción por falta que no sea muy grave, así como por falta muy grave no confirmada judicialmente.","En los procesos de sanción no cabe recurso de suplicación.","Solo procede recurso de suplicación en los procesos de sanción cuando se trata de falta calificada como muy grave.","En los procesos relativos a impugnación de sanción siempre cabe recurso de suplicación.","a","Laboral"
"Ricardo obtuvo el reconocimiento a su favor de una incapacidad permanente total por lo que ha venido percibiendo la prestación oportuna por parte de la Seguridad Social durante la tramitación del recurso de suplicación que se presentó frente a la sentencia. Finalmente, el Tribunal Superior de Justicia ha revocado esa decisión. Indique la respuesta correcta.","Ricardo deberá reintegrar las cantidades percibidas durante la tramitación del recurso.","Ricardo no está obligado a reintegrar las cantidades que ya hubiera efectivamente recibido durante el periodo de ejecución provisional pero, no tendrá derecho a percibir más.","Ricardo no solo hará suyas las cantidades que ya hubiera percibido durante el período de ejecución provisional sino que también tendrá derecho a que se le abonen las prestaciones devengadas durante la tramitación del recurso y que no hubiere aún percibido en la fecha de firmeza de la sentencia.","Ricardo deberá reintegrar lo percibido durante la tramitación del recurso y además hacer frente a las costas del proceso.","c","Laboral"
"Tras la tramitación de un pleito de despido, la trabajadora Elena ha obtenido una sentencia firme favorable frente a la empresa que ya había optado por la readmisión. Como no recibe comunicación alguna de aquella sobre su fecha efectiva de reincorporación, Elena acude a su despacho preguntando cuál es el plazo para solicitar la ejecución del fallo ante el Juzgado de lo Social. ¿Cuál sería su respuesta?","El empresario debió comunicar a Elena por escrito, dentro de los diez días siguientes a aquel en que se le notificara la sentencia, la fecha de su reincorporación al trabajo. Si el empresario no comunicó a Elena su fecha de reincorporación, podrá solicitar esta la ejecución del fallo ante el Juzgado de lo Social dentro de los veinte días siguientes a aquel en el que expire el indicado plazo de los diez días.","El empresario dispone del plazo de un mes desde la notificación para contactar con el trabajador y fijar fecha de reincorporación. Transcurrido este plazo, si el empleado no hubiera recibido comunicación podrá solicitar la ejecución del fallo ante el Juzgado de lo Social dentro de los diez días siguientes a la expiración del plazo anterior.","Salvo que en sentencia se fije otro plazo diferente, en estos casos, el empresario dispone de dos meses a partir de la firmeza de la sentencia para la ejecución voluntaria. Solo transcurrido este plazo la parte interesada podrá solicitar la ejecución.","El trabajador en estos casos podrá pedir la ejecución del fallo ante el Juzgado de lo Social una vez que la sentencia haya adquirido firmeza sin sujeción a plazo alguno.","a","Laboral"
"Su cliente ha sufrido un grave accidente de trabajo. La empresa no cumplía las mínimas medidas de seguridad como constatan todos los informes del accidente. Se plantea si podrá reclamar un recargo de prestaciones derivadas del accidente de trabajo.","Nunca tendrá derecho al recargo puesto que toda la responsabilidad del accidente queda cubierta por las propias prestaciones de la Seguridad Social.","Podrá solicitar un incremento del 100% de todas las prestaciones económicas que tengan su causa en el accidente.","Podrá solicitar un incremento del 10% de todas las prestaciones económicas que tengan su causa en el accidente.","Podrá solicitar un incremento de todas las prestaciones económicas que tengan su causa en el accidente de un 30 a un 50 por ciento.","d","Laboral"
"Mientras presta servicios como conductor de camiones para la empresa MMM S.L., Joaquín sufre un accidente de tráfico con resultado de lesiones graves que determinan su incapacidad permanente total. El conductor del vehículo contrario es condenado por sentencia firme como autor de un delito de lesiones por imprudencia. Indique la respuesta correcta.","Joaquín deberá reclamar el abono de las prestaciones de incapacidad directamente al tercero responsable o, en su caso, al subrogado legal o contractualmente en sus obligaciones.","Las prestaciones se harán efectivas por la entidad gestora, servicio común o mutua colaboradora que corresponda, sin perjuicio de que tengan derecho a reclamar al tercero responsable o, en su caso, al subrogado legal o contractualmente en sus obligaciones, el coste de las prestaciones que hubieran satisfecho.","El tercero responsable o, en su caso, el subrogado legal o contractualmente en sus obligaciones, solo será responsable de otras indemnizaciones que se puedan declarar en el procedimiento penal o civil, pero no de las prestaciones sanitarias.","Para reclamar las prestaciones tanto la entidad gestora como el trabajador deberán personarse en el procedimiento civil o penal seguido para hacer efectiva la indemnización.","b","Laboral"
"En el proceso monitorio nº000 seguido ante el Juzgado de lo Social nº 1 de Guadalajara la empresa ha sido requerida de pago y ha transcurrido el plazo concedido sin abonar el importe reclamado y sin formular oposición. ¿Qué tramite ha de seguirse tras la reforma llevada a cabo por el Real Decreto-ley 6/2023, de 19 de diciembre, por el que se aprueban medidas urgentes para la ejecución del Plan de Recuperación, Transformación y Resiliencia en materia de servicio público de justicia, función pública, régimen local y mecenazgo?","Se dará traslado a la parte demandante para que manifieste en el plazo de tres días lo que a su derecho convenga. Si solicita vista, se convocará a la misma siguiendo la tramitación del procedimiento ordinario.","Se archivará el proceso.","Se dará por terminado el proceso con traslado a la parte demandante para que inste el despacho de ejecución.","Se dará traslado a la parte demandante por plazo de tres días para que, en su caso, solicite el archivo y terminación del proceso monitorio.","c","Laboral"
"En relación con la intervención en el proceso laboral del Fondo de Garantía Salarial, indique cuál de las siguientes respuestas es correcta.","El Fondo de Garantía Salarial dispondrá de plenas facultades de actuación en el proceso como parte, pudiendo oponer toda clase de excepciones y medios de defensa, aun los personales del demandado, y cuantos hechos obstativos, impeditivos o modificativos puedan dar lugar a la desestimación total o parcial de la demanda. Además, podrá proponer y practicar prueba e interponer toda clase de recursos contra las resoluciones interlocutorias o definitivas que se dicten.","El Fondo de Garantía Salarial dispondrá de plenas facultades de actuación en el proceso como parte, pudiendo oponer toda clase de excepciones y medios de defensa, excepto los personales del demandado, y cuantos hechos obstativos, impeditivos o modificativos puedan dar lugar a la desestimación total o parcial de la demanda. Además, podrá proponer y practicar prueba e interponer toda clase de recursos contra las resoluciones interlocutorias o definitivas que se dicten.","El Fondo de Garantía Salarial dispondrá de plenas facultades de actuación en el proceso como parte solo cuando haya sido traído al mismo por alguna de las restantes partes procesales.","El Fondo de Garantía Salarial podrá comparecer como parte en cualquier fase o momento de la tramitación del proceso, cuando resulte necesario en defensa de los intereses públicos que gestiona y dispondrá de plenas facultades de actuación, excepto la de interponer recurso contra la sentencia.","a","Laboral"
"Ainhoa, empleada de la mercantil YYY S.L, obtiene sentencia favorable a su reclamación de complementos salariales. La empresa, disconforme con el fallo, interpone recurso de suplicación por lo que pregunta a su abogada si puede ejecutarse provisionalmente esta sentencia. Indique la respuesta correcta.","Sí. Tendrá derecho a obtener anticipos a cuenta de aquélla, garantizando el Estado su reintegro y realizando, en su caso, su abono, en los términos establecidos en la ley. El anticipo alcanzará, como máximo total, hasta el 50 por ciento del importe de la cantidad reconocida en la sentencia, que se abonará siempre de una sola vez.","Sí. Tendrá derecho a obtener anticipos a cuenta de aquélla, garantizando el Estado su reintegro y realizando, en su caso, su abono, en los términos establecidos en la ley. El anticipo alcanzará, como máximo total, hasta el 30 por ciento del importe de la cantidad reconocida en la sentencia, que se abonará de una sola vez.","Sí. Tendrá derecho a obtener anticipos a cuenta de aquélla, garantizando el Estado su reintegro y realizando, en su caso, su abono, en los términos establecidos en la ley. El anticipo alcanzará, como máximo total, hasta el 50 por ciento del importe de la cantidad reconocida en la sentencia, pudiendo abonarse en períodos temporales durante la tramitación del recurso.","Sí. Tendrá derecho a obtener anticipos a cuenta de aquélla, garantizando el Estado su reintegro y realizando, en su caso, su abono, en los términos establecidos en la ley. El anticipo alcanzará, como máximo total, hasta el 30 por ciento del importe de la cantidad reconocida en la sentencia, pudiendo abonarse en períodos temporales durante la tramitación del recurso.","c","Laboral"
