# 2024.2 laboral (comprobado)
pregunta,a,b,c,d,correcta,materia
"La empresa BBB S.L., ante las graves pérdidas económicas de los dos últimos ejercicios, ha anunciado a su plantilla la necesidad de extinguir los contratos de trabajo de 30 empleados de los 120 que la componen. Indique la respuesta correcta.","La empresa no está obligada a seguir los trámites propios de un despido colectivo teniendo en cuenta el número de extinciones y el periodo de cómputo.","La empresa debe abrir un período de consultas con los representantes de los trabajadores no superior a treinta días naturales.","La empresa debe informar a los trabajadores afectados con quince días de antelación, pero no está obligada a abrir consultas.","La empresa debe compensar a los trabajadores afectados con una indemnización equivalente a treinta y tres días de salario por año trabajado.","b","Laboral"
"Unai trabaja en una empresa de 78 trabajadores y ha sido elegido representante de los mismos. Quiere comenzar conociendo los distintos centros de trabajo con que cuenta la empresa para el mejor ejercicio de sus funciones. Indique la respuesta correcta.","Dispone de quince horas mensuales retribuidas para el ejercicio de sus funciones de representación.","Dispone de quince días al año para el ejercicio de funciones de representación.","Dispone de quince horas mensuales para el ejercicio de funciones de representación, pero no son retribuibles por la empresa.","El crédito horario de que dispone no incluye las visitas a los centros de trabajo de la empresa.","a","Laboral"
"La empresa CCC S.L. comunica a los 18 empleados del departamento de comunicación y publicidad que, por razones organizativas, prestarán servicios en un horario diferente al que vienen realizando de manera habitual. La mercantil cuenta con una plantilla total de 450 personas trabajadoras. Indique la respuesta correcta.","Se trata de una modificación de condiciones de trabajo de carácter colectivo.","Se trata de una modificación individual de condiciones de trabajo ya que afecta a menos de 50 empleados en una empresa con más de 300 trabajadores.","Se trata de 18 modificaciones individuales de condiciones de trabajo.","No podemos hablar de modificaciones de contrato al venir amparadas en causas económicas.","c","Laboral"
"Una empresa con forma de sociedad de responsabilidad limitada y con una plantilla de 52 personas trabajadoras quiere extinguir la personalidad jurídica de la sociedad y liquidarla dejando la actividad. Consulta a su despacho de profesionales de la Abogacía qué deberá hacer con los contratos de trabajo.","En los casos de extinción de la personalidad jurídica de la empresa se aplica lo relativo a la muerte, jubilación o invalidez del empresario persona física y los trabajadores tendrán derecho al abono de una cantidad equivalente a un mes de salario.","En este caso, al tratarse de una sociedad mercantil deberá obligatoriamente solicitar la declaración de concurso de acreedores y una vez finalizado el concurso proceder a la extinción de los contratos por causas objetivas de carácter individual regulado en el artículo 52 del Estatuto de los Trabajadores.","En este caso, deberán seguirse los trámites de la modificación sustancial de condiciones de carácter colectivo regulado en el artículo 41 del Estatuto de los Trabajadores.","En este caso, deberán seguirse los trámites del despido colectivo.","d","Laboral"
"A la trabajadora Meritxell le han modificado su horario de trabajo por lo que ha interpuesto demanda contra la empresa. La sentencia ha sido favorable declarando la modificación de condiciones de trabajo injustificada. Pese a ello, la empresa no ha procedido a reintegrarla en su horario laboral anterior. ¿Qué puede hacer la trabajadora?","La trabajadora podrá solicitar la ejecución del fallo ante el juzgado de lo social y la extinción del contrato conforme a lo establecido para las sentencias firmes de despido en la Ley reguladora de la jurisdicción Social.","La trabajadora no podrá solicitar la ejecución del fallo ante el juzgado de lo social hasta pasados dos meses de la firmeza de la sentencia.","La trabajadora podrá solicitar la ejecución del fallo ante el juzgado de lo social solicitando la extinción del contrato con el pago en todo caso de la indemnización prevista para la extinción por causas objetivas.","La trabajadora podrá solicitar la ejecución del fallo ante el juzgado de lo social y continuar percibiendo su salario con la misma periodicidad y cuantía que la declarada en la sentencia durante tres meses.","a","Laboral"
"Joan ha obtenido una sentencia favorable frente al Ayuntamiento para el que viene prestando servicios laborales desde hace veinte años. Pese a que han trascurrido varias semanas desde su firmeza, la Entidad Local no procede a cumplir lo resuelto. ¿Puede Joan acudir al juzgado a solicitar la ejecución forzosa?","Una vez alcance firmeza la sentencia, la parte interesada puede en cualquier momento solicitar la ejecución forzosa al juzgado.","Habrá que estar al plazo que, en todo caso, el órgano jurisdiccional debe fijar en sentencia.","Salvo que se hubiera fijado otro plazo diferente, con carácter general las sentencias dictadas frente a entes públicos deberán llevarse a efecto por la Administración o Entidad dentro del plazo de tres meses a partir de su firmeza. Solo transcurrido este plazo podrá la parte interesada solicitar la ejecución.","La parte interesada podrá solicitar la ejecución trascurridos dos meses desde la firmeza, salvo que la sentencia hubiera fijado un plazo inferior.","d","Laboral"
"Daliana ha sido despedida por su empresa adeudándole a la fecha de finalización de su relación laboral más de dos meses de salario. Acude a su despacho profesional pidiendo asesoramiento. Indique la respuesta correcta.","Usted le informa que al no ser acciones acumulables deberá presentar dos demandas, una impugnando la decisión extintiva empresarial y otra reclamando el salario adeudado.","Usted le informa de la obligatoriedad de acumular el ejercicio de ambas acciones en una sola demanda puesto que de no hacerlo así decaerá su derecho a reclamar en el futuro el salario adecuado.","Usted le informa de que puede acumular a la acción de despido la reclamación de los salarios que se le adeudan.","Usted le informa de que ha prescrito la acción de reclamación de salarios tras la finalización de la relación laboral.","c","Laboral"
"Mientras se encuentra desarrollando las funciones propias para las que ha sido contratada, Celima sufre un desmayo con pérdida de conciencia por lo que es trasladada a un centro hospitalario iniciando un periodo de incapacidad temporal derivada de accidente de trabajo. Indique la respuesta correcta.","El subsidio se abonará desde el cuarto día de baja en el trabajo no percibiendo salario ni prestación hasta entonces.","El subsidio se abonará desde el primer día por el Instituto Nacional de la Seguridad Social o, en su caso, por la Mutua correspondiente.","El subsidio se abonará desde el día siguiente al de la baja, siendo a cargo del empresario el salario correspondiente al mismo día de la baja.","El subsidio se abonará a partir del cuarto día de baja en el trabajo por el Instituto Nacional de la Seguridad Social o, en su caso, por la Mutua correspondiente, si bien desde el día cuarto al decimoquinto de baja, ambos inclusive, el subsidio estará a cargo del empresario.","c","Laboral"
"¿Cuál de las siguientes afirmaciones es correcta en relación con la excedencia voluntaria por cuidado de familiares hasta el segundo grado de consanguinidad o afinidad que, por razón de edad, enfermedad, accidente o discapacidad, no puedan valerse por sí mismos, y no desempeñen una actividad retribuida?","Se considerarán efectivamente cotizados los periodos de hasta tres años de excedencia solo a los efectos de las prestaciones de incapacidad permanente, jubilación, muerte y supervivencia, maternidad y paternidad.","Se considerarán efectivamente cotizados los periodos de hasta tres años de excedencia solo a los efectos de las prestaciones de incapacidad permanente, jubilación, incapacidad temporal, muerte y supervivencia, maternidad y paternidad.","Se considerará efectivamente cotizado el periodo de duración no superior a los dos años de esta excedencia solo a los efectos de las prestaciones de incapacidad permanente, jubilación, muerte y supervivencia, maternidad y paternidad.","Se considerarán efectivamente cotizados los periodos de hasta tres años de excedencia solo a los efectos de las prestaciones de incapacidad permanente y jubilación.","a","Laboral"
"¿Con qué frecuencia tiene derecho el comité de empresa a ser informado sobre los accidentes de trabajo que ocurran en la empresa?","La empresa debe comunicar al comité de empresa los accidentes de trabajo y enfermedades profesionales tan pronto se produzcan.","Trimestralmente.","Mensualmente.","El empresario no tiene obligación de ofrecer esta información.","b","Laboral"
"¿En cuál de los siguientes supuestos la legislación laboral admite la suspensión del contrato de trabajo con recíproca exoneración de las obligaciones de trabajar y remunerar?","Durante las vacaciones.","Mutuo acuerdo de las partes.","Cuando exista sentencia condenatoria que prive de libertad a la persona trabajadora.","Durante el descanso de fin de semana.","b","Laboral"
"Erea recibe notificación del Instituto Nacional de la Seguridad Social reclamando el reintegro como indebidas de las prestaciones por incapacidad temporal que percibió años atrás. ¿Qué periodo abarca la obligación de reintegro?","La obligación de reintegro de las prestaciones indebidamente percibidas prescribe a los cuatro años.","La obligación de reintegro de las prestaciones indebidamente percibidas prescribe a los cinco años.","La obligación de reintegro de las prestaciones indebidamente percibidas prescribe al año.","La obligación de reintegro de las prestaciones indebidamente percibidas caduca a los cuatro años.","a","Laboral"
"La empresa DDD S.L. decide sancionar a un empleado por la comisión de una falta de desobediencia tipificada como falta grave. ¿Cuándo prescribe esta falta?","A los veinte días a partir de la fecha de la comunicación escrita al trabajador y, en todo caso, a los seis meses de haberse cometido.","A los sesenta días a partir de la fecha de la comunicación escrita al trabajador y, en todo caso, a los seis meses de haberse cometido.","A los veinte días a partir de la fecha en que la empresa tuvo conocimiento de su comisión, y, en todo caso, a los seis meses de haberse cometido.","A los sesenta días a partir de la fecha en que la empresa tuvo conocimiento de su comisión y, en todo caso, a los seis meses de haberse cometido.","c","Laboral"
"Tras la tramitación del recurso de suplicación frente a la sentencia que declaró la nulidad del despido de Flor, el Tribunal Superior de Justicia revoca tal pronunciamiento desestimando la demanda y absolviendo a la empresa. Esta le pregunta como profesional de la Abogacía si puede reclamar a la trabajadora los salarios que le ha abonado durante la tramitación del recurso. Indique la respuesta correcta.","Si la trabajadora durante la tramitación del recurso estuvo percibiendo la misma retribución que percibía con anterioridad a su despido, pero estuvo dispensada de la prestación de servicios, la empresa podrá reclamar los salarios abonados.","La empresa no puede reclamar los salarios que haya abonado a la trabajadora durante la tramitación del recurso y deberá abonar además los devengados hasta la firmeza de la sentencia de suplicación.","La trabajadora no estará obligada a reintegrar los salarios que hubiera percibido hasta la fecha del dictado de la sentencia de suplicación.","Si la sentencia que declaró la nulidad fuera revocada totalmente, la trabajadora está obligada a reintegrar los salarios percibidos hasta la firmeza de la sentencia de suplicación.","b","Laboral"
"En un procedimiento seguido frente a la empresa FFF S.L., incursa en un procedimiento concursal, se ha dictado sentencia condenatoria al abono de ciertas cantidades, pero decide no recurrir. ¿Puede el Fondo de Garantía Salarial, que ha intervenido como parte en el pleito, recurrir esta sentencia?","No, porque solo podría recurrir la sentencia si la mercantil decidiera hacerlo.","No, porque nunca podría hacerlo, aunque sea parte en el pleito.","Sí, porque el Fondo de Garantía Salarial dispone de plenas facultades de actuación en el proceso como parte.","Sí, pero precisará de autorización del Administrador Concursal.","c","Laboral"
"Valentín, empleado de la mercantil MMM S.L. sufre un accidente de tráfico mientras regresaba a su domicilio después del trabajo, siendo declarado en situación de incapacidad permanente total para su profesión habitual de cristalero. El conductor del vehículo contrario es condenado por sentencia firme como autor de un delito de lesiones por imprudencia. Indique la respuesta correcta.","Valentín deberá reclamar el abono de las prestaciones de incapacidad directamente al tercero responsable o, en su caso, al subrogado legal o contractualmente en sus obligaciones.","Las prestaciones se harán efectivas por la entidad gestora, servicio común o mutua colaboradora que corresponda, sin perjuicio de que tengan derecho a reclamar al tercero responsable o, en su caso, al subrogado legal o contractualmente en sus obligaciones, el coste de las prestaciones que hubieran satisfecho.","El tercero responsable o, en su caso, el subrogado legal o contractualmente en sus obligaciones, solo será responsable de otras indemnizaciones que se puedan declarar en el procedimiento penal o civil, pero no de las prestaciones sanitarias.","Para reclamar las prestaciones tanto la entidad gestora como el trabajador deberán personarse en el procedimiento civil o penal seguido para hacer efectiva la indemnización.","b","Laboral"
"A Gloria la empresa le notifica el cambio de su turno de trabajo por necesidades organizativas. Acude a su despacho solicitando asesoramiento profesional sobre cómo proceder.","Si quiere impugnar la decisión empresarial debe presentar papeleta de conciliación frente a la empresa con carácter previo a la demanda.","Si decide impugnar la decisión empresarial puede presentar directamente demanda.","En primer lugar debe dirigir escrito a la empresa manifestando su disconformidad.","Debe presentar reclamación previa en vía administrativa.","b","Laboral"
