pregunta,a,b,c,d,correcta,tipo
"11 – ¿Pueden los profesionales de la Abogacía asociarse en régimen de colaboración multiprofesional?","Sí, con otros profesionales liberales no incompatibles, siempre que constituyan para ello sociedad mercantil.","Sí, con otros profesionales liberales o no liberales no incompatibles utilizando cualquier forma lícita en Derecho.","Sí, con otros profesionales liberales no incompatibles utilizando cualquier forma lícita en Derecho.","Sí, con otros profesionales liberales o no liberales no incompatibles, siempre que constituyan para ello sociedad mercantil.",c,COMUN
"12 – Teresa, Abogada por cuenta propia como titular de un despacho, se pone en contacto con un antiguo compañero de facultad, que también es Abogado, para que colabore con ella en su despacho. ¿Cómo deberá formalizarse dicha colaboración?","En forma verbal o escrita, fijándose las condiciones, duración, alcance y régimen económico de la colaboración.","En forma escrita, fijándose las condiciones, duración, alcance y régimen económico de la colaboración.","En forma verbal o escrita, fijándose, exclusivamente, la duración y el régimen económico de la colaboración.","En forma escrita, fijándose, exclusivamente, la duración y el régimen económico de la colaboración.",b,COMUN
"13 – Ana, Javier y Carlos se han colegiado como Abogados y creado un despacho colectivo mediante una sociedad profesional. Con ocasión de la llevanza de un pleito a un cliente de la sociedad profesional, Carlos ha cometido una infracción deontológica que ha sido encubierta por Ana y Javier. ¿Puede la sociedad profesional ser sancionada?","No, las sociedades profesionales no pueden ser sancionadas en ningún caso.","Sólo puede ser sancionado el profesional de la Abogacía que administre la sociedad.","Sí, las sociedades profesionales podrán ser sancionadas por las infracciones cometidas por sus integrantes cuando resulte acreditada su responsabilidad concurrente, como partícipes o encubridores, en la comisión de dichas infracciones.","No, pues conforme al nuevo Estatuto General de la Abogacía, únicamente pueden ser sancionadas las sociedades profesionales, sin que exista responsabilidad personal del profesional de la Abogacía integrado en un despacho colectivo.",c,COMUN
"14 – ¿Cómo deberá resolverse el empate en las elecciones entre dos candidaturas a Decano de un Colegio de la Abogacía?","Se entenderá elegido el de mayor tiempo de ejercicio en el propio Colegio; y si aún se mantuviera el empate, el de mayor edad.","Se entenderá elegido el que más votos hubiere obtenido de entre los ejercientes; de persistir este, se repetirá la votación y así sucesivamente hasta obtener la mayoría de los votos.","Se repetirá la votación y en caso de persistir el empate, será elegido el de mayor tiempo de ejercicio en el propio Colegio.","Se entenderá elegido el que más votos hubiere obtenido de entre los ejercientes; de persistir este, el de mayor tiempo de ejercicio en el propio Colegio; y si aún se mantuviera el empate, el de mayor edad.",d,COMUN
"15 – ¿Cuáles son los órganos rectores del Consejo General de la Abogacía?","El Pleno, la Diputación Permanente, la Comisión ética y el presidente.","El Pleno, la Junta de Gobierno y el presidente.","El Pleno, la Comisión Permanente y el presidente.","La Asamblea General, la Junta de Gobierno y el presidente.",c,COMUN
"16 – Constituyen recursos económicos de los Colegios de la Abogacía:","El importe de las cuotas especiales por baja en el Colegio de la Abogacía.","Las consignaciones específicas que tuvieran asignadas en los Presupuestos Generales del Estado.","Las transferencias corrientes o de capital que procedan de las Administraciones o entidades públicas.","Las multas pecuniarias abonadas en virtud de resolución disciplinaria firme, que se destinarán preferentemente a fines asistenciales.",d,COMUN
"17 – Tomás, Abogado, se encuentra actualmente incapacitado para el ejercicio de la Abogacía al haber sido sancionado disciplinariamente por el Colegio de la Abogacía de Burgos, a tres meses de suspensión del ejercicio profesional. ¿Qué eficacia territorial tiene la sanción impuesta a Tomás?","Únicamente en el ámbito provincial del Colegio de la Abogacía que la haya acordado.","En todo el territorio nacional.","Solamente en el ámbito local del Colegio de la Abogacía que la haya acordado.","En el ámbito autonómico o provincial del Colegio de la Abogacía que la haya acordado, según lo que estipule el Estatuto de Autonomía de la Comunidad Autónoma en la que se encuentre situado dicho Colegio de la Abogacía.",b,COMUN
"18 – ¿Cuál de las siguientes sanciones va aparejada al hecho de que una sociedad profesional constituida para el ejercicio común de la Abogacía no cuente con un seguro en vigor o garantía equivalente que cubra la responsabilidad en la que pueda incurrir en el ejercicio de sus actividades, cuando la obligación de contar con dicho régimen de garantía esté así prevista por ley?","Multa pecuniaria por importe de 300 € hasta 1.500 €.","Baja de la sociedad en el registro del Colegio correspondiente.","Suspensión de su actividad por un periodo de hasta cinco años.","Multa pecuniaria por importe de entre 1.501 y 15.000 €.",b,COMUN
"19 – Lluís, Abogado, recibió una autorización de su cliente para poder gestionar los fondos de una cuenta bancaria para el pago de los suplidos necesarios para la defensa. Finalizado el asunto, la minuta de Lluís supera el importe restante de los fondos de la cuenta. El cliente considera, a la vista del mal resultado del asunto, que no debe nada. ¿Cuál de las siguientes afirmaciones es correcta según el Código Deontológico de la Abogacía?","Lluís puede negarse a devolver los fondos hasta que se resuelva la discrepancia sobre los honorarios.","Lluís solo puede retener la parte de los fondos que no exceda del importe de sus honorarios.","Lluís puede, al ser créditos vencidos, líquidos y exigibles, aplicar el mecanismo legal de compensación de pagos y debe devolver el sobrante.","Lluís no puede retener los fondos, aunque lleve razón en que se le adeuden honorarios profesionales.",d,COMUN
"20 – ¿De cuántos consejeros electivos se compone el Consejo General de la Abogacía?","Doce consejeros elegidos por el Pleno del Consejo entre profesionales de la Abogacía de reconocido prestigio con más de quince años de ejercicio profesional.","Quince consejeros elegidos por el Pleno del Consejo entre profesionales de la Abogacía de reconocido prestigio con más de diez años de ejercicio profesional.","Doce consejeros elegidos por el Pleno del Consejo entre profesionales de la Abogacía de reconocido prestigio con más de diez años de ejercicio profesional.","Quince consejeros elegidos por el Pleno del Consejo entre profesionales de la Abogacía de reconocido prestigio con más de quince años de ejercicio profesional.",a,COMUN
"21 – Isabel, Abogada, ha percibido solo la mitad de la provisión de fondos que solicitó a su cliente. Tras una sentencia parcialmente estimatoria de las pretensiones de su cliente, éste le pide toda la documentación porque quiere recurrir la sentencia, para encargárselo a otra Abogada. ¿Cuál de las siguientes conductas es deontológicamente correcta?","Entregar la documentación a algún compañero que le pida la venia, sin poder hacerlo antes directamente al cliente.","Poner toda la documentación recibida del cliente a su disposición.","Poner la documentación únicamente a disposición del Juzgado.","Requerir fehacientemente el pago de los honorarios pendientes, comunicándole que le facilitará la documentación recibida en cuanto justifique el pago.",b,COMUN
"22 – Son atribuciones de la Junta de Gobierno, salvo que estén atribuidas a otro órgano por ley o por los Estatutos del Colegio de que se trate:","Emitir consultas y dictámenes, administrar arbitrajes y dictar laudos arbitrales.","Crear, regular y otorgar distinciones para premiar los méritos contraídos al servicio de la Abogacía o en su ejercicio; así como revocarlas por causas de indignidad.","Informar preceptivamente todo proyecto de ley o de disposición de carácter general, o de modificación de la regulación existente, cualquiera que sea su rango, que afecte al ejercicio de la Abogacía o a los Colegios de la Abogacía.","Contribuir a la formación de los profesionales de la Abogacía y homologar la escuela de práctica jurídica.",a,COMUN
"23 – Gerard, Abogado, defiende los intereses de varios acreedores de un mismo deudor. Antes de presentar la demanda, Gerard advierte que dos de sus clientes pueden entrar en disputa sobre cuál de sus respectivos créditos puede considerarse preferente respecto del otro. ¿Cuál de las siguientes conductas es la correcta en términos deontológicos?","Renunciar al asesoramiento del último cliente que haya contratado sus servicios.","Renunciar al asesoramiento de ambos clientes.","Continuar asesorando a ambos y dejar que se dilucide judicialmente cuál de sus créditos es preferente.","Promover una previa tercería de mejor derecho entre ambos clientes para determinar la preferencia de cobro antes de demandar al deudor.",b,COMUN
"24 – Íñigo, Abogado, ha sido sancionado por el Colegio de la Abogacía de Madrid por una actuación profesional que llevó a cabo el día 23 de diciembre de 2021 en las dependencias del Juzgado de Instrucción nº 7 de Madrid. El día 10 de enero de 2022 se le notifica el inicio del procedimiento administrativo frente a su persona y el día 15 de enero de 2022 se da de baja en el Colegio de la Abogacía de Madrid. Señale la respuesta correcta:","La baja en el Colegio extingue cualquier tipo de responsabilidad disciplinaria que pudiera haber contraído hasta ese momento el colegiado.","La baja en el Colegio extingue la responsabilidad disciplinaria contraída durante el período de alta sin que concluya el procedimiento disciplinario y sin que se acuerde sanción alguna.","La baja en el Colegio no extingue la responsabilidad disciplinaria contraída durante el período de alta, sino que se concluirá el procedimiento disciplinario y se acordará la sanción que corresponda. En el supuesto en que la sanción no pueda hacerse efectiva en ese momento se tendrá por extinguida la responsabilidad del colegiado sin que la sanción tenga que ser cumplida si el sancionado causase nuevamente alta en el Colegio.","La baja en el Colegio no extingue la responsabilidad disciplinaria contraída durante el período de alta, sino que se concluirá el procedimiento disciplinario y se acordará la sanción que corresponda. En el supuesto en que la sanción no pueda hacerse efectiva, quedará en suspenso para ser cumplida si el sancionado causase nuevamente alta en el Colegio.",d,COMUN
"25 – Pau se quiere colegiar como Abogado ejerciente por cuenta propia, y sabe que tiene que darse de alta en la Seguridad Social o en una Mutualidad de previsión social. ¿Cuál de las siguientes normas establece dicha obligación?","El Estatuto del trabajo autónomo y el Estatuto General de la Abogacía Española.","La Ley de Colegios profesionales y la Ley de la Seguridad Social.","El artículo 13.2 d) del Estatuto General de la Abogacía y el Código Deontológico.","La Ley 30/1995, de 8 noviembre, de Ordenación y supervisión de los seguros privados y el Estatuto de los trabajadores.",a,COMUN
"26 – En relación con los datos sobre procedimientos y medidas cautelares y de seguridad conexas a condenas e infracciones penales:","Solo pueden ser tratados con el consentimiento explícito de las personas afectadas.","Solo pueden ser tratados por los Juzgados y Tribunales competentes.","Pueden ser tratados por profesionales de la Abogacía y de la Procura con el objeto de recoger la información facilitada por sus clientes para el ejercicio de sus funciones.","En ningún caso pueden ser objeto de tratamiento.",c,COMUN
"27 – Un despacho de profesionales de la Abogacía especializado en derecho penal cuenta con 175 personas en su organización y trata datos personales relativos a condenas e infracciones penales. ¿Cuál de las siguientes obligaciones debe cumplir el despacho en materia de protección de datos?","Ninguna, pues al tener menos de 250 personas, no tiene obligación de llevar un Registro de Actividades de Tratamiento.","Deberá notificar sus ficheros a la Agencia Española de Protección de Datos según lo dispuesto en la Ley Orgánica de Protección de Datos.","Tiene que llevar un Registro de Actividades de Tratamiento, pues su llevanza constituye una obligación aplicable a toda empresa con independencia de su tamaño y especialidad.","Tiene que llevar un Registro de Actividades de Tratamiento porque trata datos personales relativos a condenas e infracciones penales.",d,COMUN
"28 – La anotación de las sanciones en el expediente personal del colegiado se cancelará cuando haya transcurrido:","Un año en caso de sanción de suspensión superior a diez días sin exceder de un año.","Un año en caso de multa pecuniaria entre 1.001 y 10.000 €.","Seis meses en caso de sanción de multa pecuniaria de 300 hasta 1.500 €.","Un año en caso de sanción de multa pecuniaria de 300 hasta 10.000 €.",b,COMUN
"29 – ¿Qué dispone el Código Deontológico de la Abogacía Española en materia de cobertura de la responsabilidad civil derivada del ejercicio de la profesión?","Para cubrirla, todo profesional de la Abogacía ha de suscribir obligatoriamente un seguro de responsabilidad civil con un capital asegurado mínimo de 100.000 €.","Se deberá tener cubierta la responsabilidad profesional en cuantía adecuada a los riesgos que implique.","El Código Deontológico de la Abogacía Española no se pronuncia sobre la cobertura de responsabilidad civil.","Para las sociedades profesionales la contratación de un seguro que cubra la responsabilidad civil es meramente opcional, no siendo obligatoria su contratación en el caso de que intenten cubrir su responsabilidad civil por otros mecanismos.",b,COMUN
"30 – La mercantil española TTTRRRXX S.A. considera que un acto de la Comisión Europea le ha ocasionado un perjuicio indemnizable y desea, por tanto, interponer recurso ante el Tribunal de Justicia de la Unión Europea. ¿Qué denominación recibe este recurso?","Recurso por incumplimiento.","Recurso de responsabilidad extracontractual.","Recurso de anulación.","Recurso de legalidad.",b,COMUN
"31 – De entre las siguientes personas e instituciones, ¿quién no está legitimado para instar el procedimiento de 'Habeas Corpus'?","El Defensor del Pueblo.","El Ministerio Fiscal.","El Juez competente, de oficio.","El primo de la persona privada de libertad.",d,COMUN
"32 – Pedro tiene su domicilio en Plasencia y quiere presentar una demanda frente a sus hermanos Lucía y Juan que viven en Cáceres y Jerez, respectivamente, para dividir el patrimonio hereditario del padre de los tres hermanos, que tuvo su último domicilio en Salamanca, pero falleció en un accidente de tráfico en Mérida. ¿Qué Tribunal será competente para conocer del juicio?","El del lugar del último domicilio del finado.","El del lugar del domicilio de la parte demandante.","El del lugar del domicilio de cualquiera de las partes demandadas.","El del lugar del accidente.",a,COMUN
"33 – Federico, residente en Alcalá de Henares, quiere interponer una demanda en materia de derecho al honor contra Tristán, con domicilio en L'Hospitalet de Llobregat, por unas expresiones que éste vertió en un programa de televisión emitido desde un plató ubicado en la ciudad de Sabadell. ¿Qué Tribunal será competente para conocer de este pleito?","Los Juzgados de Primera Instancia de L'Hospitalet de Llobregat.","Los Juzgados de Primera Instancia de Sabadell.","Los Juzgados de Primera Instancia de Alcalá de Henares.","Los juzgados de Primera Instancia de Sabadell o L'Hospitalet de Llobregat, a elección de Federico.",c,COMUN
"34 – Un grupo de trabajadores quiere interponer una demanda sobre tutela de su derecho de libertad sindical. Este pleito tendrá efectos en varias provincias de Andalucía. ¿Cuál es el Tribunal competente para conocer de este procedimiento?","La Sala de lo Social del Tribunal Superior de Justicia de Andalucía.","El Juzgado de lo Social del domicilio del demandado.","La Sala de lo Social de la Audiencia Nacional.","La Sala de lo Social del Tribunal Supremo.",a,COMUN
"35 – ¿Cuál de los siguientes derechos y libertades reconocidos en la Constitución no es susceptible de amparo constitucional?","La objeción de conciencia.","El derecho a la propia imagen.","La libertad de cátedra.","El derecho a la propiedad privada.",d,COMUN
"36 – Xurde ha sido condenado, en primera instancia, por el Juzgado de lo Penal de Oviedo a una pena privativa de libertad. Xurde considera que durante el pleito se han producido diversas violaciones de su derecho a la tutela judicial efectiva. ¿Puede interponer directamente contra dicha sentencia recurso de amparo ante el Tribunal Constitucional?","Sí, en el plazo de 30 días desde su firmeza.","No, puesto que previamente debe agotar los medios de impugnación previstos por las normas procesales para el caso concreto dentro de la vía judicial.","Sí, en el plazo de 20 días desde su firmeza.","Sí, pero siempre que su defensa hubiera formulado protesta cuando se produjo la vulneración del derecho constitucional.",b,COMUN
"37 – ¿Tienen derecho a la asistencia jurídica gratuita las personas extranjeras que se encuentren en España en el caso en el que acrediten insuficiencia de recursos para litigar?","Sí, pero solo si son nacionales de otro Estado de la Unión Europea.","Sí, siempre que sean víctimas de violencia de género, terrorismo o trata de seres humanos.","Sí, pero únicamente en los procedimientos que puedan llevar a la denegación de su entrada en España, a su devolución o expulsión del territorio español, y en todos los procedimientos en materia de asilo.","Sí, con el alcance fijado en la Ley de Asistencia Jurídica Gratuita y en los tratados y convenios internacionales sobre esta materia en los que España sea parte.",d,COMUN
"38 – Aurelio ha sido designado por el turno de oficio para asistir y defender los intereses de Cynthia, la cual quiere interponer una querella contra Ricardo. Examinado el asunto, Aurelio considera que las pretensiones de Cynthia son insostenibles. ¿Qué podrá hacer Aurelio?","Tendrá necesariamente que continuar con la asistencia, puesto que en el orden penal no cabe excusarse de la defensa.","Deberá comunicarlo a la Comisión de Asistencia Jurídica Gratuita, dentro de los 15 días siguientes a su designación, exponiendo los motivos jurídicos en los que fundamenta su decisión.","Podrá renunciar directamente a interponer la querella sin necesidad de realizar ningún tipo de comunicación, al tratarse de una pretensión insostenible.","Deberá comunicarlo a la Comisión de Asistencia Jurídica Gratuita, dentro de los 20 días siguientes a su designación, exponiendo los motivos jurídicos en los que fundamenta su decisión.",b,COMUN
"39 – Adriana es la curadora, con facultades de representación, de su abuela Carmela. ¿Puede transigir Adriana sobre cuestiones relativas a los intereses de Carmela?","Sí, sin necesidad de autorización judicial, pero solo en el caso en el que pleito no se hubiera iniciado.","Sí, pero necesitará autorización judicial, salvo que se trate de asuntos de escasa relevancia económica.","No, nunca, al tratarse de una materia excluida de la transacción por afectar a una persona necesitada de especial protección.","Sí, pero únicamente en el caso en el que su abuela le hubiera otorgado previamente un poder especial para ello.",b,COMUN
"40 – En un proceso penal, la Audiencia Provincial de Madrid ha dictado sentencia, en la que a juicio del Abogado Marcos se ha omitido manifiestamente un pronunciamiento sobre una pretensión sustanciada en el proceso. Indique la respuesta correcta.","En este caso, el Tribunal podrá aclarar la resolución de oficio dentro de los dos días hábiles siguientes al de la publicación de la resolución, o a petición de parte o del Ministerio Fiscal formulada dentro del mismo plazo.","En este caso, el Tribunal, a solicitud escrita de parte en el plazo de cinco días a contar desde la notificación de la resolución previo traslado de dicha solicitud a las demás partes, para alegaciones escritas por otros cinco días, dictará auto por el que resolverá completar la resolución con el pronunciamiento omitido o no haber lugar a completarla.","En este caso, si el Tribunal advirtiese esta omisión, podrá aclarar su resolución en cualquier momento.","En un caso como este, no es posible la aclaración de la resolución ni de oficio ni a petición de parte.",b,COMUN
"41 – ¿Cuál de los siguientes supuestos no constituye una exención objetiva de tasas judiciales?","La solicitud de concurso voluntario por el deudor.","La interposición de recursos contencioso-administrativos cuando se recurra en casos de silencio administrativo negativo o inactividad de la Administración.","Las acciones que, en interés de la masa del concurso y previa autorización del Juez de lo Mercantil, se interpongan por los administradores concursales.","Los procedimientos de división judicial de patrimonios, en los supuestos en que se formule oposición o se suscite controversia sobre la inclusión o exclusión de bienes.",d,COMUN
"42 – De acuerdo con la Ley de Enjuiciamiento Civil, ¿cuál de los siguientes gastos no se incluirá en las costas?","La inserción de anuncios o edictos que de forma obligada deban publicarse en el curso del proceso.","Los derechos arancelarios que deban abonarse como consecuencia de actuaciones necesarias para el desarrollo del proceso.","Copias, certificaciones, notas, testimonios y documentos análogos que hayan de solicitarse conforme a la Ley.","El importe de la tasa abonada en los procesos de ejecución de las hipotecas constituidas para la adquisición de vivienda habitual.",d,COMUN
"43 – ¿Tiene el inicio de una mediación sobre un asunto civil algún efecto sobre los plazos de prescripción de la acción civil?","No, no tiene efectos sobre la prescripción en ningún caso. No obstante, la solicitud de inicio de la mediación suspenderá la caducidad de acciones desde la fecha en la que conste la recepción de dicha solicitud por el mediador.","Sí. La solicitud suspenderá la prescripción de la acción, aunque si en el plazo de quince días naturales a contar desde la recepción de la solicitud de inicio de la mediación no se firmara el acta de la sesión constitutiva, se reanudará el cómputo de los plazos.","No, la mera solicitud de inicio de la mediación no suspenderá la prescripción de la acción. Solo cuando se firme el acta de la sesión constitutiva podrá suspenderse el plazo de prescripción.","No. La mediación no produce ningún efecto sobre la prescripción o caducidad de la acción civil.",b,COMUN
"44 – Marina intervino como mediadora en un asunto civil que concluyó sin acuerdo. Una de las partes que intervino en la mediación la ha citado a juicio como testigo. ¿Está Marina obligada a declarar sobre la información que obtuvo en la mediación?","No, en ningún caso. El procedimiento de mediación y la documentación utilizada en el mismo es siempre confidencial y la información obtenida por el mediador no puede ser revelada bajo ningún concepto.","Sí, siempre que las partes de manera expresa y por escrito le dispensen del deber de confidencialidad.","No, en ningún caso. Solo en el orden jurisdiccional penal, mediante resolución judicial motivada, puede ser Marina dispensada del deber de confidencialidad.","Sí, los mediadores pueden intervenir como testigos en un pleito civil y están obligados a declarar sobre la información de la que hubieran tenido conocimiento por razón de sus cargos.",b,COMUN
"45 – Jonás debe a Noelia la cantidad de 12.000 €, por lo que esta le realiza un requerimiento fehaciente y justificado de pago. Sin embargo, Jonás no paga a Noelia, por lo que esta interpone la correspondiente demanda para reclamarle dicha cantidad. Antes de contestar a la demanda, Jonás se allana a la misma. ¿Puede ser condenado en costas?","No, puesto que Jonás se ha allanado antes de la contestación a la demanda.","No, en un caso como este nunca se impondrán costas a ninguno de los litigantes.","Sí, en un caso como este se entenderá que Jonás actuó de mala fe.","No, en este caso, solo cabría la condena en costas a Jonás, si Noelia hubiera iniciado procedimiento de mediación o dirigido contra él solicitud de conciliación antes de la interposición de la demanda.",c,COMUN
"46 – ¿Qué Tribunal es competente para conocer de la acción de anulación de un laudo?","El Juzgado de Primera Instancia del lugar del arbitraje.","El Juzgado de Primera Instancia del lugar donde las medidas deban producir su eficacia.","La Sala de lo Civil y de lo Penal del Tribunal Superior de Justicia de la Comunidad Autónoma donde aquel se hubiere dictado.","El Juzgado de Primera Instancia del domicilio o lugar de residencia de la persona a quien se refieren los efectos del laudo.",c,COMUN
"47 – Rosa y Jaume han firmado un contrato de transacción civil con el fin de evitar un pleito sobre un asunto de lindes. Con posterioridad a la firma de dicho contrato, Rosa descubre nuevos documentos que le hubieran beneficiado a la hora de resolver esta controversia. ¿Qué podrá hacer Rosa?","Rosa podrá en todo caso anular o rescindir la transacción en cualquier momento.","Rosa no podrá anular ni rescindir la transacción por este motivo, salvo en el caso en el que hubiera habido mala fe.","Rosa podrá anular la transacción dentro de los quince días siguientes al descubrimiento del documento, aunque no hubiera habido mala fe.","Rosa solo podrá anular la transacción en los casos de error, violencia, dolo o falsedad de documentos.",b,COMUN
"48 – Los profesionales de la Abogacía designados de oficio para la asistencia, defensa y representación gratuita, ¿hasta cuándo deben desempeñar sus funciones?","Hasta la terminación del proceso en la instancia judicial de que se trate y, en su caso, la ejecución de las sentencias, si las actuaciones procesales en ésta se produjeran dentro de los cinco años siguientes a la resolución judicial dictada en la instancia.","Hasta la terminación del proceso en la instancia judicial de que se trate y, en su caso, la ejecución de las sentencias, si las actuaciones procesales en ésta se produjeran dentro de los tres años siguientes a la resolución judicial dictada en la instancia.","Hasta la terminación del proceso en la instancia judicial de que se trate y, en su caso, la ejecución de las sentencias, si las actuaciones procesales en ésta se produjeran dentro de los cuatro años siguientes a la resolución judicial dictada en la instancia.","Hasta la terminación del proceso en la instancia judicial de que se trate y, en su caso, la ejecución de las sentencias, si las actuaciones procesales en ésta se produjeran dentro de los dos años siguientes a la resolución judicial dictada en la instancia.",d,COMUN
"49 – El Secretario de Estado de Justicia ha dictado una resolución desestimatoria en materia de responsabilidad patrimonial de la Administración de Justicia, en la que un administrado reclamaba al Estado una indemnización por importe de 25.000 €. ¿Qué Tribunal es competente para conocer del recurso contra esta resolución?","Los Juzgados Centrales de lo Contencioso-administrativo.","La Sala de lo Contencioso-administrativo del Tribunal Superior de Justicia de Madrid.","La Sala de lo Contencioso-administrativo del Tribunal Supremo.","Los Juzgados de lo Contencioso-administrativo de Madrid.",a,COMUN
"50 – Faustino considera que ha sido detenido ilegalmente por lo que presenta un escrito de solicitud de 'habeas corpus' al Juzgado de Instrucción en funciones de guardia. ¿Cuál de los siguientes datos no es preceptivo que conste en dicha solicitud?","El nombre y circunstancias personales de Faustino.","La autoridad bajo cuya custodia se encuentra, si fuera conocida.","El motivo concreto por el que se solicita el 'habeas corpus'.","El profesional de la Abogacía que necesariamente ha de designar para su defensa.",d,COMUN
"R1 – ¿Quién no está legitimado para interponer recurso de inconstitucionalidad contra un Estatuto de Autonomía?","El Defensor del Pueblo.","El Fiscal General del Estado.","El Presidente del Gobierno.","Cincuenta Senadores.",b,COMUN
