pregunta,a,b,c,d,correcta,materia
"Señale la respuesta correcta en relación con la competencia de los Tribunales españoles.","Los Tribunales españoles podrán declinar su competencia cuando el supuesto litigioso presente vinculación con España, siempre que los Tribunales de los distintos Estados conectados con el supuesto hayan declinado su competencia.","En defecto de sumisión expresa o tácita y aunque el demandado no tuviera su domicilio en España, los Tribunales españoles serán competentes en materia de obligaciones extracontractuales, cuando el hecho dañoso se haya producido en territorio español.","Los Tribunales españoles serán siempre competentes en materia de sucesiones cuando el causahabiente tenga su residencia en España, con independencia del lugar de la última residencia habitual del causante y el lugar donde se encuentren los bienes.","Serán siempre competentes los Tribunales españoles, aunque su competencia no resulte de otras disposiciones, cuando comparezca ante ellos el demandado en aquellos supuestos en que la comparecencia tenga por objeto impugnar la competencia.",b,Organización Judicial
"Se impugna un Decreto de la Alcaldía del Ayuntamiento de Huelva sobre procesos selectivos de consolidación de empleo. Planteado el conflicto de competencia negativo entre el Juzgado de lo Contencioso-administrativo y el Juzgado de lo Social nº 1 de Huelva, ¿a quién corresponde su resolución?","A una Sala especial del Tribunal Supremo, presidida por el Presidente y compuesta por dos Magistrados, uno por cada orden jurisdiccional en conflicto, que serán designados anualmente por la Sala de Gobierno.","A la Sala Primera del Tribunal Supremo, al ser la que no se encuentra afectada por los órdenes jurisdiccionales en conflicto.","Al órgano inmediato superior común, esto es, la Audiencia Provincial de Huelva.","Al órgano inmediato superior común, esto es, el Tribunal Superior de Justicia de Andalucía.",a,Organización Judicial
"Un cliente se dirige a un profesional de la abogacía manifestando su interés en contratar sus servicios para una ejecución derivada de un laudo arbitral dictado a su favor. ¿Se requerirá la intervención de abogado?","En ningún caso, al derivar la ejecución de un mecanismo extrajudicial de conflictos.","En todo caso, con independencia de la cantidad por la que se despache ejecución.","Únicamente en aquellos supuestos en los que la cantidad por la que se despache ejecución sea superior a 500.000 euros, no requiriéndose la intervención cuando la cantidad sea inferior.","Siempre que la cantidad por la que se despache ejecución sea superior a 2.000 euros.",d,Proceso Civil
"Los actos realizados al amparo del texto de una norma que persigan un resultado prohibido por el ordenamiento jurídico:","Se consideran plenamente válidos y no podrán ser atacados, pues lo relevante no es el fin, sino el amparo del acto en el texto de una norma.","Se consideran ejecutados en fraude de ley, si bien nunca podrá aplicarse la norma que se hubiere tratado de eludir.","Se consideran ejecutados en abuso de derecho.","Se consideran ejecutados en fraude de ley y no impedirán la debida aplicación de la norma que se hubiere tratado de eludir.",d,Derecho Civil
"Jorge formula, como diligencia preliminar, solicitud de diligencias de obtención de datos sobre el origen y redes de distribución de obras que, entiende, infringen su derecho de propiedad intelectual. ¿Quién deberá hacerse cargo de los gastos que se ocasionen a las personas que hubieren de intervenir en las diligencias?","Serán a cargo de las personas que deban intervenir en las diligencias.","Serán a cargo de Jorge, como solicitante de las diligencias preliminares, debiendo ofrecer caución al pedir las diligencias.","Serán a cargo del órgano judicial que acuerde la práctica de las diligencias preliminares.","Procede advertir a Jorge de la imposibilidad, tras la reforma operada en la normativa procesal en el año 2024, de solicitar diligencias preliminares.",b,Proceso Civil
"La resolución de una cuestión incidental de especial pronunciamiento planteada en el proceso se realizará:","Con la debida separación, en la sentencia definitiva.","Mediante providencia.","Mediante auto.","Mediante diligencia de ordenación.",a,Proceso Civil
"A Laura, profesional de la abogacía, se le notifica una sentencia que estima la demanda interpuesta en nombre y representación de su cliente. No obstante, el fallo es confuso. ¿Es posible solicitar aclaración de la sentencia?","No, los tribunales no podrán aclarar los conceptos oscuros de las sentencias, consecuencia de la invariabilidad de las mismas.","No, pues únicamente procede solicitar aclaración en relación con los autos.","Sí, sin límite temporal para presentar la solicitud de aclaración.","Sí, en el plazo de los dos días hábiles siguientes.",d,Proceso Civil
"¿Qué recurso cabrá interponer frente al auto que acuerde la suspensión de un asunto civil por prejudicialidad penal?","No cabrá recurso alguno.","Recurso de apelación.","Recurso de reposición.","Recurso directo de revisión.",b,Proceso Civil
"A los efectos de comprobar la insuficiencia de recursos para litigar de quien pudiera ser beneficiario de asistencia jurídica gratuita, se considerará:","Únicamente las rentas del posible beneficiario.","Únicamente los bienes patrimoniales del solicitante.","Las rentas y otros bienes patrimoniales del solicitante, sin que proceda considerar ninguna otra circunstancia adicional.","Las rentas y otros bienes patrimoniales o circunstancias del solicitante y además los signos externos que manifiesten su real capacidad económica.",d,Costas y Justicia Gratuita
"Martín, quien ha obtenido el reconocimiento del derecho a la asistencia jurídica gratuita, ha sido condenado en costas en la resolución que pone fin al proceso. ¿Queda obligado a pagarlas?","Sí, debe proceder al pago inmediato pues el reconocimiento del derecho a la asistencia jurídica gratuita no comprende, en ningún caso, la obligación de pagar las costas.","No, en ningún caso, al gozar de tal beneficio al tiempo del dictado de la resolución, con independencia de cual sea su situación futura.","Sí, pero únicamente las causadas en su defensa.","Quedará obligado a pagar las causadas en su defensa y las de la parte contraria, si dentro de los tres años siguientes a la terminación del proceso viniere a mejor fortuna.",d,Costas y Justicia Gratuita
"Jordi, profesional de la abogacía, es sancionado por una infracción grave relacionada con una actuación desarrollada en la prestación de los servicios en el Turno de Oficio. ¿Tendrá tal sanción alguna incidencia en la continuidad de Jordi en la prestación de los servicios del Turno de Oficio?","No, pues el expediente disciplinario resulta ajeno a la prestación de tales servicios.","Sí, pues la sanción impuesta lleva aparejada, en todo caso, la exclusión del profesional de la abogacía de dichos servicios por un plazo mínimo de seis meses e inferior a un año.","No, pues la sanción únicamente llevaría aparejada la exclusión si hubiese sido impuesta por una infracción muy grave.","Sí, pues la sanción impuesta lleva aparejada, en todo caso, la exclusión del profesional de la abogacía de dichos servicios de manera definitiva.",b,Turno de Oficio
"En los procesos declarativos, conforme a la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil, las costas de la primera instancia se impondrán:","A la parte que haya visto rechazadas todas sus pretensiones, salvo que el tribunal aprecie, y así lo razone, que el caso presentaba serias dudas de hecho o de derecho.","En los procesos declarativos no es posible imponer las costas a ninguna de las partes.","A la parte que haya visto rechazadas sus pretensiones, sin que el Tribunal pueda excepcionar esta regla por apreciar y razonar que el caso presenta serias dudas de hecho o de derecho.","En todo caso, al tratarse de un proceso declarativo, cada parte abonará las costas causadas a su instancia y las comunes por mitad.",a,Costas y Justicia Gratuita
"En un proceso seguido ante el orden jurisdiccional contencioso-administrativo, ¿pueden ser impuestas las costas al Ministerio Fiscal?","En ningún caso.","Sí, en el orden jurisdiccional contencioso-administrativo es en el único en el que se permite la imposición de costas al Ministerio Fiscal.","Sí, pero solo en el caso de que la sentencia resulte contraria a la posición del Ministerio Fiscal en el proceso.","Sí, pero únicamente deberá abonar una cantidad total que no exceda de la tercera parte de la cuantía del proceso.",a,Costas y Justicia Gratuita
"La tasación de costas:","No podrá ser impugnada.","Podrá ser impugnada por excesivas o indebidas.","Únicamente podrá ser impugnada por incluir gastos indebidos.","Únicamente podrá ser impugnada por incluir un importe de honorarios excesivo.",b,Costas y Justicia Gratuita
"Juana y Fernando son abogados y han creado un despacho colectivo. Juana va a emitir su primera minuta a un cliente que ha atendido ella sin ayuda de Fernando. ¿Debe dejar constancia en la minuta de que es integrante de un despacho colectivo?","No es necesario, pues basta con que figure su nombre completo.","Sí. En la minuta deberá dejar constancia de su condición de profesional de la abogacía agrupada en un despacho colectivo. Los honorarios corresponderán al colectivo sin perjuicio del régimen interno de distribución que hayan convenido.","En ningún caso puede hacer constar en la minuta que es integrante de un despacho colectivo, al ser personal la intervención de Juana.","Juana podrá decidir si hace o no mención al despacho colectivo en su minuta, no siendo obligatoria al haber intervenido sin su compañero en el asunto.",b,Deontología y EGAE
"La cuantía de los honorarios de un profesional de la abogacía:","Viene detallada específicamente por norma con rango de ley que determina el importe de la contraprestación a que el profesional de la abogacía tiene derecho por cada uno de los servicios prestados.","Será impuesta por el profesional de la abogacía sin necesidad de respetar norma alguna.","Será libremente convenida entre el cliente y el profesional de la abogacía con respeto a las normas deontológicas y sobre defensa de la competencia y competencia desleal.","Será libremente determinada por el cliente.",c,Deontología y EGAE
"Señale la condición necesaria para que los profesionales de la abogacía puedan asociarse en régimen de colaboración multiprofesional con otros profesionales liberales no incompatibles.","Que la agrupación tenga por objeto la prestación de servicios conjuntos, entre los que deberá incluirse necesariamente servicios jurídicos que se complementen con los de otras profesiones.","Que la agrupación tenga como objeto exclusivo el ejercicio profesional de la abogacía y que esté integrada solo por profesionales de la abogacía, sin limitación de número.","Que la agrupación tenga por objeto la prestación de servicios conjuntos, aun cuando no incluyan servicios jurídicos.","No es posible que los profesionales de la abogacía se asocien en régimen de colaboración multiprofesional con otros profesionales liberales no incompatibles.",a,Deontología y EGAE
"En caso de conflicto entre las normas deontológicas aprobadas por el Consejo General de la Abogacía y las contenidas en los Estatutos colegiales, prevalecerán:","Las normas deontológicas aprobadas por el Consejo General de la Abogacía Española.","Las normas deontológicas contenidas en los Estatutos colegiales.","Prevalecerán, conforme al principio prior in tempore, las normas que hayan sido primeramente aprobadas.","Las normas deontológicas que determine el Tribunal Supremo para cada caso concreto, al que habrá que acudir en cada supuesto de conflicto.",a,Deontología y EGAE
"Lola, profesional de la abogacía, ha emitido, a petición de su cliente, un informe que contiene valoraciones profesionales sobre el resultado de un asunto. ¿Puede Lola dar a conocer a un tercero el contenido de dicho informe?","Sí, sin necesidad de comunicarlo a su cliente, al tratarse de un informe emitido por Lola en el ejercicio de su actividad profesional y sobre el que ostenta todos los derechos.","Sí, pero únicamente cuando el cliente lo autorice de manera expresa.","Sí, pero únicamente cuando el cliente no lo haya prohibido expresamente al formular la petición.","No, en ningún caso, ni aunque el cliente de manera expresa lo autorice.",b,Deontología y EGAE
"Un cliente de Andrea, profesional de la abogacía, le propone que, en un proceso judicial en el que interviene como demandante, solicite la declaración testifical del profesional de la abogacía de la parte contraria. ¿Debe acceder a su petición?","Sí, pero solo en el supuesto de que considere que la proposición de la prueba puede favorecer a su cliente.","No, pues está obligada como profesional de la abogacía a abstenerse de tal actuación.","Sí, pues debe seguir las indicaciones de su cliente en cualquier caso.","Puede o no solicitarlo según estime conveniente atendiendo a las circunstancias concretas del asunto.",b,Deontología y EGAE
"Señale cuál de las siguientes obligaciones corresponde a todo colegiado.","Aprobar o proponer a la Junta General el establecimiento de criterios orientativos de honorarios profesionales a efectos de tasación de costas y jura de cuentas y emitir informes periciales al respecto cuando proceda.","Establecer la necesaria coordinación con los Consejos Autonómicos de Colegios de la Abogacía.","Convocar elecciones para proveer los cargos de Decano.","Denunciar ante el Colegio todo acto de intrusismo o ejercicio ilegal que llegue a su conocimiento.",d,Deontología y EGAE
"Señale cuál de las siguientes sanciones podrá imponerse a un profesional de la abogacía por la comisión de una infracción disciplinaria.","Multa pecuniaria.","Privación de libertad.","Demérito.","Traslado forzoso.",a,Régimen Disciplinario
"La anotación de una sanción de apercibimiento en el expediente personal del colegiado se cancelará:","Cuando hayan transcurrido seis meses a contar desde el día siguiente al cumplimiento de la sanción, sin que el colegiado hubiera incurrido en nueva responsabilidad disciplinaria.","Cuando el colegiado se jubile, hasta entonces no podrá ser cancelada la anotación de la sanción en el expediente personal.","Cuando hayan transcurrido cinco años sin que hubiera incurrido en nueva responsabilidad disciplinaria, al ser el apercibimiento la sanción más grave.","La sanción de apercibimiento no se anotará en el expediente personal del colegiado, por lo que no está sujeta a plazo para su cancelación.",a,Régimen Disciplinario
"La competencia para conocer del recurso de amparo corresponde:","Al Tribunal Supremo.","Al Tribunal Constitucional.","A la Sala de lo contencioso-administrativo de la Audiencia Nacional.","Al Tribunal de Justicia de la Unión Europea.",b,Derecho Constitucional
"¿Qué consecuencia se atribuye a todo acto que por la intención de su autor sobrepase manifiestamente los límites normales del ejercicio de un derecho, con daño para tercero?","Se considerará ejecutado en fraude de ley.","Se considerará ejecutado conforme a las exigencias de la buena fe.","Dará lugar a la correspondiente indemnización y a la adopción de las medidas judiciales o administrativas que impidan la persistencia en el abuso.","Se considerará necesariamente como error de derecho.",c,Derecho Civil
"¿Qué efectos tendrá la decisión de un tribunal civil, a los solos efectos prejudiciales, de conocer de un asunto que esté atribuido a los tribunales del orden contencioso-administrativo?","Producirá plenos efectos fuera del proceso en que se produzca.","No surtirá efecto fuera del proceso en que se produzca.","Un tribunal civil no podrá conocer a efectos prejudiciales de un asunto que esté atribuido a los tribunales del orden contencioso-administrativo.","Un tribunal civil únicamente podrá conocer a efectos prejudiciales de un asunto que esté atribuido a los tribunales del orden penal.",b,Proceso Civil
"Cuando un tribunal estime que para poder emitir su fallo resulta necesaria una decisión sobre la interpretación del derecho de la Unión, ¿qué deberá hacer?","Planteará cuestión prejudicial ante el Tribunal de Justicia de la Unión Europea.","Planteará cuestión de constitucionalidad ante el Tribunal Constitucional.","No podrá hacer otra cosa que decidir el propio Tribunal sobre la interpretación del derecho de la Unión.","Dará traslado de las actuaciones al Tribunal Supremo, para que resuelva sobre la cuestión.",a,Derecho de la Unión Europea
"¿Qué consecuencia procesal producirá la existencia de una cuestión incidental que suponga, por su naturaleza, un obstáculo a la continuación del juicio por sus trámites ordinarios?","Deberá continuar el procedimiento, obviando el planteamiento de la cuestión incidental.","Se rechazarán de plano.","Se suspenderá el curso de las actuaciones hasta que sean resueltas.","Se resolverá de forma automática mediante decreto.",c,Proceso Civil
"Un cliente plantea a un profesional de la abogacía su intención de impugnar la resolución que le deniega el derecho a la asistencia jurídica gratuita. ¿Es posible su impugnación y será necesaria la intervención de abogado?","No podrá impugnarla, pues las resoluciones de la Comisión de Asistencia Jurídica Gratuita nunca son impugnables.","No podrá impugnarla, pues únicamente podrá impugnarse la resolución que revoque el derecho a la asistencia jurídica gratuita.","Sí podrá impugnarla y para la impugnación es preceptiva la intervención de abogado.","Sí podrá impugnarla y para la impugnación no es preceptiva la intervención de abogado.",d,Costas y Justicia Gratuita
"Señale la consecuencia del hecho de que, en un colegiado, concurra un impedimento que no permita el cumplimiento de la misión de defensa y asesoramiento que al profesional de la abogacía se le encomienda, determinando su incapacidad para el ejercicio de la abogacía.","Será expulsado del Colegio.","Supondrá el pase automático del colegiado a la condición de no ejerciente.","Supondrá su necesaria jubilación.","No producirá consecuencias a efectos de la colegiación.",b,Deontología y EGAE
"Señale, en relación con los conflictos de competencia, cuál de las siguientes manifestaciones es correcta.","El orden jurisdiccional civil es siempre preferente. Ningún Juez o Tribunal podrá plantear conflicto de competencia a los órganos de dicho orden jurisdiccional.","Los conflictos de competencia positivos solo podrán ser planteados por el Ministerio Fiscal.","El orden jurisdiccional penal es siempre preferente. Ningún Juez o Tribunal podrá plantear conflicto de competencia a los órganos de dicho orden jurisdiccional.","Los conflictos de competencia solo pueden ser negativos. No existen los conflictos de competencia positivos.",c,Organización Judicial
"Las cuestiones de competencia entre Juzgados y Tribunales de un mismo orden jurisdiccional, se resolverán:","Por el Tribunal Constitucional.","Por el órgano inmediato inferior común.","Por el órgano inmediato superior común.","Por el Ministerio de la Presidencia, Justicia y Relaciones con las Cortes.",c,Organización Judicial
"Cuando surja un conflicto de intereses entre dos clientes, el profesional de la abogacía:","Deberá elegir para qué cliente actuar.","Podrá continuar actuando para ambos, sin perjuicio de la necesidad de tomar las precauciones precisas.","Deberá dejar de actuar para ambos, salvo autorización expresa por escrito de los dos para intervenir en defensa de uno de ellos.","Deberá dejar de actuar para ambos, salvo petición expresa por escrito de uno de los clientes solicitando continuar en su defensa.",c,Deontología y EGAE
"Un cliente solicita la prestación de servicios a un profesional de la abogacía en relación con un asunto concreto. Terminada la entrevista, el profesional advierte que posee conocimiento por razón de otros asuntos de un antiguo cliente que pudieran favorecer a este nuevo cliente en perjuicio del antiguo. ¿Qué debe hacer?","Abstenerse de actuar para el nuevo cliente.","Poner en conocimiento del nuevo cliente la existencia de estos conocimientos, a efectos de influir en su decisión de elección de asistencia letrada.","Puede continuar la asistencia letrada al nuevo cliente, pues la información solo sería relevante si pudiera afectar a un cliente actual, no a un antiguo cliente.","Debe poner en conocimiento del Colegio de Abogados la información de que disponga y continuar con la asistencia letrada al nuevo cliente.",a,Deontología y EGAE
"Iñigo decide publicitar sus servicios como profesional de la abogacía utilizando el eslogan 'garantizo al 100% una resolución judicial favorable a los intereses de mi cliente'. ¿Puede realizar tal publicidad?","Sí, siempre que cumpla con la promesa de obtener tal resultado.","Sí, con independencia del resultado que obtenga, pues está facultado para publicitar como mejor le convenga los servicios que presta.","No, pues será necesario que lleve colegiado cinco años para realizar publicidad de sus servicios.","No, pues la publicidad no podrá suponer la promesa de obtener resultados que no dependan exclusivamente de la actividad del profesional de la Abogacía.",d,Deontología y EGAE
"La potestad disciplinaria sobre los profesionales de la abogacía se ejercerá:","Por el Juez de Instrucción del lugar donde se haya cometido la infracción.","Por los Colegios de la Abogacía en cuyo ámbito territorial se haya cometido la infracción, con arreglo a las previsiones de sus propios Estatutos.","Por todos los Colegios de la Abogacía, actuando de manera conjunta en cada expediente disciplinario.","Por el Consejo General de la Abogacía Española, aun cuando el infractor no sea miembro de tal Consejo ni de las Juntas de Gobierno de los Colegios y de los Consejos Autonómicos.",b,Régimen Disciplinario
"Gabriela, profesional de la abogacía, cambia de domicilio profesional y se olvida de comunicar tal cambio al Colegio. ¿Tiene relevancia tal falta de comunicación?","No, pues únicamente es preciso comunicar al Colegio el cambio de domicilio personal.","No, pues no existe ninguna obligación de comunicación al Colegio de las circunstancias relativas al domicilio.","Sí, la no comunicación del cambio de domicilio profesional al Colegio constituye una infracción leve.","Sí, la no comunicación del cambio de domicilio profesional al Colegio constituye una infracción muy grave.",c,Régimen Disciplinario
"¿A qué orden jurisdiccional corresponde conocer, además de las materias que le son propias, de todas aquellas que no estén atribuidas a otro orden jurisdiccional?","Orden jurisdiccional civil.","Orden jurisdiccional contencioso-administrativo.","Orden jurisdiccional social.","Orden jurisdiccional penal.",a,Organización Judicial
"Señale cuál de los siguientes principios y valores se constituye como principio rector y valor superior del ejercicio de la Abogacía.","Integridad.","Pluralismo político.","Justicia.","Igualdad.",a,Deontología y EGAE
"[RESERVA 1] La colegiación como ejerciente habilita para ejercer:","Únicamente el ámbito territorial del Colegio.","En todo el mundo.","En todo el territorio del Estado.","Únicamente en el ámbito de la Comunidad Autónoma del lugar donde tenga su sede el Colegio.",c,Deontología y EGAE
"[RESERVA 2] La rehabilitación del profesional de la abogacía expulsado exigirá:","El transcurso de un plazo de cinco años desde que la sanción de expulsión hubiese sido ejecutada y la acreditación de haber superado las actividades formativas en materia de deontología profesional que establezca cada Colegio con carácter general, así como no haber incurrido en causa de indignidad o desprecio de los valores y obligaciones profesionales y deontológicas.","Únicamente el transcurso de un plazo de cinco años, transcurrido el cual se producirá automáticamente la rehabilitación.","No es posible la rehabilitación del profesional de la abogacía expulsado.","No es posible la expulsión de un profesional de la abogacía.",a,Régimen Disciplinario
"[RESERVA 3] El deber de secreto profesional del profesional de la abogacía:","Se extingue automáticamente al cesar la prestación de los servicios al cliente.","Permanece incluso después de haber cesado en la prestación de los servicios al cliente, sin que se encuentre limitado en el tiempo.","Permanece incluso después de haber cesado en la prestación de los servicios al cliente, por un periodo de un año desde el cese de los servicios.","Se extingue cuando transcurran dos años desde el cese de la prestación de los servicios al cliente.",b,Deontología y EGAE
"[RESERVA 4] Un cliente que ha sido demandado plantea al profesional de la abogacía que le asiste la posibilidad de allanarse a la demanda antes de evacuar el trámite de contestación. Le consulta si, en tal caso, se le impondrán las costas. Señale la respuesta correcta.","No procederá la imposición de costas salvo que el tribunal, razonándolo debidamente, aprecie mala fe en el demandado.","Se impondrán las costas en todo caso al demandado, al haber sido ya iniciado el proceso.","No se impondrán las costas al haberse producido el allanamiento antes de contestar a la demanda, sin que el tribunal pueda imponerlas en ningún caso.","Las costas se impondrán a la parte demandante necesariamente, al haberse producido el allanamiento por el demandado.",a,Costas y Justicia Gratuita
"[RESERVA 5] Usted ha presentado solicitud de aclaración frente a una sentencia. ¿Qué ocurre con el plazo del recurso contra la sentencia frente a la que solicitó la aclaración?","Se interrumpe desde que se solicite su aclaración, comenzando a computarse desde el día siguiente a la notificación del auto o decreto que reconociera o negase la omisión del pronunciamiento y acordase o denegara remediarla.","No se interrumpe y sigue corriendo pese a la solicitud de aclaración.","Se interrumpe desde que se solicite su aclaración, comenzando a computarse desde que transcurran cinco días desde que se formula la solicitud.","No es posible solicitar la aclaración de una sentencia frente a la que cabe recurso, la discrepancia deberá hacerse valer por medio del recurso que proceda.",a,Proceso Civil
"[RESERVA 6] Señale qué precepto constitucional consagra el derecho a la tutela judicial efectiva.","Ninguno. El derecho a la tutela judicial efectiva es un derecho de configuración legal que no aparece recogido en la Constitución Española.","El artículo 14 de la Constitución Española.","El artículo 24 de la Constitución Española.","El artículo 155 de la Constitución Española.",c,Derecho Constitucional
