# 2018.1 comun (comprobado)
pregunta,a,b,c,d,correcta,materia
"María, abogada en ejercicio y colegiada en el Colegio de Abogados de Vigo, tiene que actuar en un juzgado de Madrid y así lo hace, sin haber comunicado tal intervención ni a su Colegio ni al Colegio de Abogados de Madrid.","María ha actuado correctamente.","María, con anterioridad a su primera intervención, debe comunicar al Colegio de Abogados de su residencia su actuación en el ámbito de otro colegio profesional.","María debe participar su intervención al Colegio de Abogados en cuyo ámbito se encuentra la sede judicial en la que va a actuar.","María debe comunicar en todo caso su intervención a ambos Colegios.","a","Comun"
"El abogado Cristino informa en su página web, que entre sus clientes se encuentran la Duquesa Rosa, la Baronesa Linda y el cantante Buenamente, sin el consentimiento de estos. ¿Es correcta la actuación de Cristino?","Sí, pues los clientes que indica le dan prestigio a cualquier abogado.","Sí, pues no es publicidad desleal mencionar personas que han sido clientes de abogado siempre que lo sigan siendo.","No, pues han dejado de ser clientes del despacho.","No, pues está incumpliendo el Código Deontológico.","d","Comun"
"El abogado Constantino presencia un choque entre dos vehículos, se acerca al lugar del siniestro en el que están gestionando los afectados los documentos relativos a los partes del seguro, y ofrece sus servicios jurídicos a uno de ellos (el que considera el agraviado) entregándole una tarjeta de visita con el fin de que se ponga en contacto con él para tramitar su asunto frente a la entidad aseguradora ¿Puede Constantino actuar así?","Sí, hay libertad de publicidad y ofrecimiento de servicios sin ningún tipo de limitación.","No, porque tenía que haber ofrecido los servicios a ambas partes, al no tener los suficientes datos del accidente.","No, porque no podrá dirigirse por sí o mediante terceros a víctimas de accidentes o desgracias para hacer publicidad y ofrecimiento de servicios.","Sí, porque le legitima el hecho de ser testigo presencial del accidente.","c","Comun"
"En un periódico de la localidad el despacho de letrados, denominado La buena justicia, inserta un anuncio en el que se dice: La buena justicia abogados. Cláusula suelo, consulta gratuita. 100% éxito en asuntos judiciales. La Junta de Gobierno del Colegio de Abogados recibe una queja de otro compañero por tal anuncio.","La Junta de Gobierno debe archivar la denuncia, toda vez que tal publicidad se ajusta a la legislación de la publicidad, sobre defensa de la competencia y competencia desleal.","La Junta de Gobierno incoa un expediente disciplinario a los que integran el despacho La buena justicia, porque se promete la obtención de resultados favorables que no dependen exclusivamente de la actividad del abogado.","La Junta de Gobierno únicamente dará traslado de la denuncia a la comisión Nacional de los Mercados y la Competencia (CNMC), órgano competente para resolver sobre estas cuestiones.","La Junta de Gobierno solo podrá dirigirse al medio que publicó el anuncio solicitando su retirada.","b","Comun"
"Amparo, letrada en ejercicio, también desempeña la profesión de agente de seguros que desarrolla en el mismo despacho de abogados, anunciando ambas actividades en el portal dónde tiene su oficina.","El ejercicio de ambas profesiones resulta incompatible.","Sólo se le podrá impedir el ejercicio de ambas profesiones si se desarrolla en el mismo despacho.","El ejercicio de la abogacía es incompatible con el ejercicio de cualquier otra profesión.","Solamente se podría limitar el ejercicio conjunto de dos o más profesiones si así se establece por Ley.","d","Comun"
"Los abogados Carlos y Oscar están negociando una solución extrajudicial, antes de la presentación de la reclamación judicial. Carlos habla con su cliente Sur S. A. y ésta le informa que no accede a la propuesta extrajudicial planteada. ¿Qué debe hacer Carlos con respecto a Oscar?","No tiene que comunicar a su compañero que han concluido las gestiones extrajudiciales.","Debe comunicar a su compañero que han concluido las gestiones extrajudiciales.","Puede, o no, según le convenga, comunicar a su compañero que han concluido las gestiones extrajudiciales.","La comunicación de la finalización de las negociaciones solo será necesaria si el asunto hacía preceptiva la intervención de abogado.","b","Comun"
"Laura, abogada que presta servicios para un despacho colectivo de abogados bajo el régimen de una relación laboral de carácter especial desconoce si le es de aplicación la normativa deontológica y estatutaria que afecta a la actividad profesional de los abogados. ¿Cómo debe actuar Laura respecto de las normas que rigen la profesión?","Debe actuar en todo momento atendiendo las órdenes o instrucciones de su empleador, sin valorar su adecuación a normas éticas de la profesión de abogado.","Tiene derecho a actuar, en todo momento, de acuerdo con los principios, valores, obligaciones y responsabilidades que imponen a los mismos las normas que rigen la profesión de abogado, incluidas las éticas y deontológicas.","Tiene derecho, si fuera socio del despacho, a actuar, en todo momento, de acuerdo con los principios, valores, obligaciones y responsabilidades que imponen a los mismos las normas que rigen la profesión de abogado, incluidas las éticas y deontológicas.","Tiene derecho a no seguir las órdenes o instrucciones cuando éstas vulneren los principios, valores, obligaciones y responsabilidades que imponen a los mismos las normas que rigen la profesión de abogado, incluidas las éticas y deontológicas, salvo que se le haya comunicado por escrito.","b","Comun"
"Pepe no tiene confianza en su abogado Ramón, quien le asesora en materia mercantil, y rescinde por ello su contrato de iguala mensual solicitándole la devolución de todos los expedientes, pese a no haberle satisfecho las igualas correspondientes a los últimos seis meses. ¿Qué debe hacer Ramón con la documentación obrante en su poder?","Puede negarse a devolver la documentación en tanto en cuanto no se le abone la deuda.","Puede negarse a devolverle solamente aquella documentación relativa a los seis últimos meses adeudados.","Debe devolverle toda la documentación, pudiéndose quedar en su despacho con copia de la misma.","Debe devolverle toda la documentación sin conservar copia de la misma, ya que no es su cliente, e iniciar acciones legales para cobrar la deuda.","c","Comun"
"Diego es abogado de Martín, que le adeuda una provisión de fondos muy importante. A la vista de su falta de pago, Diego decide cesar en las tareas profesionales encomendadas.","Diego no puede cesar en dichas tareas, sino que ha de finalizar el mandato de Martín, y luego ejercitar las acciones que correspondan para el cobro de las mismas.","Diego puede cesar en las tareas encomendadas siempre que no cause indefensión a Martín.","Para cesar en dichas tareas, Diego habrá de solicitar la autorización expresa de Martín.","Para cesar en tales tareas, además de solicitar la autorización expresa de Martín deberá obtenerla también del Decano del Colegio de Abogados del lugar en el que tiene abierto el despacho profesional.","b","Comun"
"Jokin, abogado de Joanna, comparece en un programa de televisión, habiendo sido autorizado expresamente por su cliente para revelar que Joanna junto con Cholo, Stefano y Alain han coaccionado al alcalde de Parla para la concesión de licencias urbanísticas.","Jokin ha actuado correctamente ya que su cliente le ha liberado expresamente de su secreto profesional.","Jokin no ha actuado correctamente, ya que para revelar tales hechos debieran haber dado su consentimiento expreso no solamente Joanna, sino también Stefano y Alain, afectados por el secreto profesional.","Jokin no queda relevado del deber de secreto profesional por la autorización de Joanna.","Jokin puede revelar el secreto, ya que ha sido autorizado para ello, pero ocultando las identidades de Cholo, Stefano y Alain.","c","Comun"
"Juan es abogado de Mario y de Pedro en un procedimiento penal en el que ambos son acusados de un delito de estafa cometida de común acuerdo frente a la compañía aseguradora LA LUNA. En este proceso, Mario se ha apropiado de 100.000€, pero la compañía aseguradora les acusa a ambos de haberse apropiado de dicha suma en iguales partes. ¿Es correcta la actuación de Juan al ejercer la defensa de Mario y de Pedro en dicho procedimiento?","Sí, aunque la defensa de ambos implique un conflicto de intereses.","No, en ningún caso.","Solamente si Pedro le autoriza expresamente para ello.","Solamente en el caso de que ambos, Mario y Pedro, le autoricen expresamente.","d","Comun"
"Juan, abogado, es contratado por Eva para ejercitar una acción penal contra Luís, otro compañero abogado porque no le entregó la cantidad correspondiente a una consignación judicial que recogió en nombre de su cliente Eva. ¿Qué actuaciones tiene que llevar a cabo Juan con relación a las normas que rigen la profesión?","Comunicarlo al otro Abogado para que quede enterado antes de iniciar el proceso penal contra él.","Comunicarlo previamente al Decano por si éste considera oportuno realizar una labor de mediación.","No debe comunicarlo al Decano para ver si considera oportuno realizar una labor de mediación, toda vez que ello sólo es necesario cuando la acción penal se ejerce por el abogado en nombre propio y no en nombre de un cliente.","No debe hacer nada puesto que la comunicación al Decano sólo es obligatoria antes del ejercicio de acciones civiles, pero no penales.","b","Comun"
"El Abogado Olivier colabora con la abogada Patricia, habiendo pactado el reparto de honorarios en un porcentaje del 80%-20%. ¿Es correcto este acuerdo?","Dicha actuación no es correcta, toda vez que perjudica a uno de los Abogados.","Dicha actuación no es correcta, toda vez que el Abogado no puede pagar ninguna compensación a otra persona por haberle enviado un cliente.","La actuación es correcta, puesto que hay una colaboración profesional.","La actuación solo sería correcta si el reparto de honorarios fuera al 50% para cada abogado.","c","Comun"
"El Abogado que recibe cartas o comunicaciones del Abogado de la otra parte podrá entregarlas a su propio cliente:","Sin autorización de ninguna clase.","Previa autorización expresa del abogado de la otra parte.","Previa autorización del Decano.","En ningún caso se pueden entregar tales comunicaciones al cliente.","b","Comun"
"Sandra es abogada de Laura en un procedimiento de reclamación de cantidad. Laura quiere que se aporte en el procedimiento una serie de documentación que Sandra considera que no es importante ya que lo que hará será confundir sobre el fondo del asunto. Ante la negativa de Sandra, comienzan a surgir fricciones con Laura por lo que Sandra se platea renunciar a la defensa del asunto.","Sandra puede dejar la defensa en cualquier momento, absteniéndose por completo de cualquier actuación a partir de dicho momento.","Sandra no puede renunciar al asunto una vez aceptado.","Sandra solo puede renunciar al asunto si falta el pago de la provisión de fondos solicitada.","Sandra puede renunciar al asunto cuando surjan discrepancias con el cliente, debiendo realizar cuantos actos sean necesarios para evitar la indefensión del mismo.","d","Comun"
"María solicita a Carlos una provisión de fondos para aceptar el encargo profesional de presentación de una demanda, acordando que dicho pago se efectuaría en el plazo de 20 días. Carlos no hace el pago y María no presenta la demanda. ¿Ha actuado María correctamente?","No, porque ante todo debe presentar la demanda y luego, en su caso, exigir el pago de los honorarios por la vía que corresponda, incluso reclamándolos judicialmente.","No, porque está prohibido solicitar provisiones de fondos.","Sí.","No, porque el plazo para el pago de las provisiones de fondos es de un mes.","c","Comun"
"La Junta de gobierno del Colegio de Abogados de Huesca ha impuesto a María una sanción al considerar que ha incumplido sus deberes profesionales. María quiere recurrir la sanción impuesta por lo que se plantea los pasos a seguir.","María no puede recurrir la sanción ya que es obligado para los abogados el respeto a los acuerdos de la Junta de Gobierno y su consiguiente cumplimiento.","María puede recurrir la sanción ante el Consejo General de la Abogacía Española o el Consejo Autonómico correspondiente, en su caso, y posteriormente ante la jurisdicción contencioso-administrativa.","María puede recurrir la sanción ante el Consejo General o Consejo Autonómico, pero éstos agotan las vías de recurso por tratarse de acuerdos internos de la abogacía.","María puede recurrir la sanción ante la jurisdicción civil, en caso de que la sanción sea indebida y cause perjuicios económicos y morales al abogado sancionado.","b","Comun"
"Juan recibe el encargo de llevar un asunto de un cliente que antes estaba defendiendo Pedro, otro abogado. Juan pide la venia a Pedro, el cual se la niega porque todavía no ha cobrado sus honorarios.","No se puede dar la venia si no te han pagado los honorarios.","La venia no se puede denegar.","Ante una situación así, Juan debe pedir amparo al Juzgado decano del lugar.","Juan debe hacer todas las gestiones que sean posibles sin poder sustituir al abogado anterior hasta que cobre los honorarios debidos.","b","Comun"
"Luis quiere incorporarse como abogado en el Colegio de Abogados de León para ejercer por cuenta propia y desconoce que obligaciones debe cumplir para cubrir su previsión social.","Luis debe de darse de alta obligatoriamente en la Mutualidad de la Abogacía.","Luis debe darse de alta en la correspondiente Mutua o en el régimen especial de autónomos de la Seguridad Social.","Luis debe de darse de alta únicamente en el régimen especial de trabajadores autónomos.","Luis sólo debe de cumplir con sus obligaciones fiscales, y darse de alta previamente en un Colegio Profesional.","b","Comun"
"Ante sus desavenencias conyugales, Miguel y Patricia deciden de mutuo acuerdo poner fin a su matrimonio contratando los servicios profesionales de Carmen, abogada matrimonialista. Sin embargo, una vez elaborado el Convenio Regulador, Miguel le comunica a Carmen que se ha buscado otro abogado. ¿Cómo debería actuar Carmen?","Debería renunciar a la defensa de ambos cónyuges por existir conflicto de intereses entre ellos, salvo que ambos le autorizaran expresamente para que continuara con la defensa de Patricia.","Podría continuar con la defensa exclusivamente de Patricia desde el momento en que el otro abogado le solicitara la venia para defender a Miguel.","Deberá comunicar a Miguel que renuncia a su defensa por falta de confianza.","Continuaría con la defensa de Patricia siempre que se comprometa formalmente a no violar el secreto de las informaciones obtenidas por su anterior relación con Miguel.","a","Comun"
"Con fecha 10 de febrero de 2016, Sandra, abogada inscrita en el Colegio de abogados de Cáceres, interpone en defensa de los intereses de su cliente, Andrés, una demanda de reclamación de cantidad por impago de los arrendamientos de unos inmuebles por importe de 1.000 €, sin la intervención de procurador. ¿Está Sandra obligada a presentar la demanda vía lexnet?","Sí, es obligatoria desde el 1 de enero de 2016.","Sí, porque no está permitida la representación de procurador en procedimientos civiles de cuantía inferior a 2.000 €.","No, se pueden seguir presentando escritos en papel hasta el 1 de enero de 2018.","No, es potestativa al tratarse de un procedimiento iniciado con posterioridad al 1 de enero de 2016.","a","Comun"
"Carlos, abogado, es el defensor de los intereses de Clara en un procedimiento laboral ¿Tiene Carlos la obligación de presentar la demanda vía Lexnet?","Sí, es obligatorio en todos los procedimientos laborales.","No, el abogado en ningún caso tiene obligación de presentar la demanda vía lexnet.","No, sólo si el Letrado de la Administración de Justicia así se lo exige.","No, solo tiene obligación en los procedimientos judiciales en los que intervenga el procurador.","a","Comun"
"Ignacio, abogado, va a salir de vacaciones y quiere presentar un recurso contencioso administrativo con anterioridad. ¿Cuándo puede presentar válidamente el escrito vía lexnet?","Puede presentar el recurso únicamente en días y horas hábiles. Todo escrito presentado en día u hora inhábil se tendrá a todos los efectos por no presentado.","Puede presentar el recurso todos los días, las 24 horas, pero en caso de presentación en días u horas inhábiles, se entenderá presentado el primer día hábil siguiente.","Únicamente puede presentar el recurso via lexnet en días inhábiles.","Puede presentar válidamente escritos en días inhábiles solo en las jurisdicciones penal y laboral.","b","Comun"
"Laura tiene previsto irse al extranjero en el mes de agosto y tiene pendiente que el juzgado le notifique una resolución en un procedimiento laboral que se tramita vía lexnet. ¿Puede el juzgado notificar a Laura durante el mes de agosto?","No, no se realizarán comunicaciones en el mes de agosto, excepto en aquellos casos en que, dependiendo de la jurisdicción y procedimiento de que se trate, dicho mes sea hábil o por decisión judicial se habilitase algún día del mes de agosto.","No, si avisa al juzgado que se marcha al extranjero.","Sí, el mes de agosto siempre es mes hábil.","No se realizarán comunicaciones en el mes de agosto.","a","Comun"
"Juan ha de presentar un recurso contencioso-administrativo pero tiene varios vencimientos pendientes y se pregunta si al entrar en vigor la obligatoriedad de la presentación electrónica de escritos, se mantiene el día de gracia que existía en la actualidad.","No, al entrar en vigor la obligatoriedad de presentación electrónica de escritos, desaparece el día de gracia.","Sí, pero se mantiene la hora límite de presentación de escritos hasta las 15:00h.","Sí, hasta las 12 de la noche del día de gracia.","El plazo de gracia solo se mantiene para los procedimientos laborales.","b","Comun"
"Luis, abogado, va a interponer una demanda en abril de 2018 contra la empresa Servicios S. A, por el despido de uno de sus trabajadores. ¿Cómo ha de presentar el escrito iniciador y la documentación?","El escrito iniciador y los documentos que lo acompañan se presentan por vía electrónica, debiendo además presentarse en soporte papel, en los 3 días siguientes, tantas copias literales cuantas sean las otras partes.","El escrito iniciador y los documentos que lo acompañan se presentan exclusivamente por vía electrónica sin posibilidad de presentar la documentación en soporte papel y el Juzgado se encarga de notificar a las partes.","El escrito iniciador y la documentación ha de presentarse en papel en el registro general de los juzgados competentes.","El escrito iniciador debe presentarse en soporte papel y los documentos que lo acompañan deben presentarse exclusivamente por vía electrónica.","a","Comun"
"Sara, abogada, necesita presentar un recurso de casación y desconoce el procedimiento a seguir para la presentación del recurso.","Se presenta por vía electrónica, debiendo además presentarse en soporte papel, en los 3 días siguientes, tantas copias literales cuantas sean las otras partes.","Al tratarse de un recurso de casación se presenta exclusivamente por vía electrónica y la Sala se encarga de notificar a las partes.","Los recursos han de presentarse en formato papel en el Juzgado Decano correspondiente quien se encarga de notificar a las partes.","No es posible la presentación de recursos vía lexnet.","b","Comun"
"Pablo, Adrián y Jose ponen en marcha un gabinete jurídico bajo la fórmula de Sociedad Limitada Profesional. ¿Quién es el responsable de los ficheros de datos que se traten?","El responsable será el administrador de la SLP.","Las personas jurídicas no tienen responsabilidad desde el punto de vista de la Protección de Datos.","La responsable será la SLP.","El responsable sera el socio capitalista mayoritario de la SLP.","c","Comun"
"Elena tiene un despacho profesional y quiere lanzar una campaña publicitaria entre sus potenciales clientes a través de un correo electrónico. ¿Qué actuaciones ha de llevar a cabo Elena en este sentido?","Elena puede enviar publicidad siempre que exista consentimiento previo. El consentimiento facilitado por el interesado es irrevocable.","Elena puede enviar publicidad sin necesidad de consentimiento.","Elena puede enviar publicidad sin necesidad de consentimiento, siempre que facilite un correo electrónico a través del cual los interesados puedan ejercer su derecho de cancelación u oposición.","Elena no puede enviar publicidad por medio de comunicación electrónica sin consentimiento previo del destinatario.","d","Comun"
"Pascual es abogado. Decide asociarse con Carlos, creando el Gabinete Jurídico Lex. Ambos deciden compartir desde ese momento sus clientes. ¿Qué actuaciones deben llevar a cabo en relación con los clientes con los que previamente contaba cada uno de ellos?","Ambos deberán solicitar su consentimiento para la cesión de sus datos a fin de que el Gabinete Jurídico Lex pueda proceder al tratamiento de los mismos.","Los clientes deberán consentir la cesión de datos forzosamente.","Los clientes no tienen nada que decir al respecto, pues se trata de una relación entre responsable del fichero y encargado de tratamiento.","Basta con que uno de los dos abogados solicite el consentimiento a sus clientes.","a","Comun"
"Profesionalmente se le encarga iniciar actuaciones para llevar a efecto un arbitraje en el cual se proceda a solicitar el reconocimiento de filiación de un menor de edad.","No es posible realizar un arbitraje en este supuesto.","Tendría que llevarse a efecto como un arbitraje de equidad.","Tendría que llevarse a cabo como un arbitraje institucional.","Tendría que llevarse a efecto como un arbitraje de derecho.","a","Comun"
"A Fernando, abogado en ejercicio, se le encarga realizar una reclamación en materia de consumo frente a una compañía de servicios de telecomunicaciones; ¿A qué vías extrajudiciales de resolución del citado conflicto puede acudir?","Sólo a un arbitraje.","Sólo a una mediación.","Un arbitraje y una mediación, indistintamente.","No es posible someter la cuestión ni a arbitraje ni a mediación.","a","Comun"
"Joaquín, abogado en ejercicio, no está conforme con un acuerdo de mediación, ¿puede impugnarlo?","No, en ningún caso.","Sí, ante el juzgado de primera instancia del lugar en que se haya firmado y mediante recurso de apelación.","Sí, pero de forma indirecta, instando la nulidad del acuerdo por las causas que invalidan los contratos.","Sí, ante el propio mediador mediante un recurso de revisión.","c","Comun"
"Juan ganó con costas un juicio ordinario y solicitó la tasación de las costas aportando una minuta en la que se invocan los criterios de honorarios para costas de su Colegio. ¿Es correcta la actuación de Juan?","Sí, porque los criterios de honorarios solo existen para tasación de costas y jura de cuentas.","No porque Juan puede fijar los honorarios que estime oportuno.","No porque al ser las costas un crédito del cliente, Juan solo puede tasar las costas por la misma cantidad que haya cobrado a su cliente.","Si, porque Juan ya ha cobrado de su cliente.","a","Comun"
"Ana, letrada de la parte condenada en costas en un procedimiento ordinario recibe la tasación de costas solicitada por la parte adversa ganadora del litigio, de la que discrepa por considerar mal aplicado los criterios de honorarios para las tasaciones de costas, que se contienen en la minuta del letrado.","Ana impugna los honorarios por indebidos, ya que considera que no se aplicaron bien los criterios de honorarios para las tasaciones de costas del Colegio.","Ana impugna los honorarios por indebidos y excesivos ya que considera que no se aplicaron bien los criterios de honorarios para las tasaciones de costas del Colegio.","Ana impugna los honorarios del letrado solamente por excesivos.","Ana solicita del juzgado que se requiera al letrado minutante, para que confeccione una nueva minuta adaptada a los honorarios del Colegio.","c","Comun"
"Manuel perdió un juicio ordinario, con condena en costas. La parte contraria solicita la tasación de costas y aporta la minuta de un letrado diferente al que llevó el procedimiento, por haber éste causado baja en el ejercicio profesional.","Manuel impugna los honorarios por indebidos al no corresponder la minuta al letrado que llevó el procedimiento.","Manuel impugna los honorarios por excesivos al no corresponder la minuta al letrado que llevo el procedimiento.","Manuel decide no impugnar la minuta ya que el crédito de costas pertenece al cliente, con independencia del letrado que solicite la tasación.","Manuel solicita del juzgado requiera al cliente para que aporte la minuta del anterior letrado.","c","Comun"
"A María, letrada adscrita al Turno de Oficio Penal Especial de su colegio, le han designado la defensa de un investigado por un supuesto delito de abusos sexuales a menores. Dado que María está muy sensibilizada en este tipo de asuntos, presenta un escrito en el Juzgado para que la aparten del procedimiento. ¿Ha actuado correctamente la letrada?","Sí, ya que siempre es posible la renuncia en el Juzgado en los casos de delitos sexuales.","No, ya que no cabe renuncia a la designación en ningún caso.","No, deberá ponerlo en conocimiento del Decano del colegio de abogados, quién apreciará si concurre o no motivo personal y justo.","Sí, y el Juzgado a la vista del escrito solicitará otro abogado para el procedimiento.","c","Comun"
"Antonio, soltero y sin cargas familiares, y con unos ingresos fijos de 6.000€ anuales, es demandante en un procedimiento ordinario, en el que actúa con procurador y letrado de su libre elección, obtiene una sentencia desestimatoria. Para interponer Recurso de Apelación solicita justicia gratuita y designación de oficio de profesionales y alega insuficiencia económica sobrevenida.","Se le concederá pues no excede de los ingresos fijados para su unidad familiar.","Se le denegará por exceder de los ingresos.","Se le denegará por no ser familia numerosa.","Se le deniega porque sus circunstancias económicas no han sobrevenido con posterioridad a la interposición de la demanda.","d","Comun"
"En un procedimiento penal y tras sentencia condenatoria, Juan, el condenado, acude a solicitar justicia gratuita para interponer Recurso de Apelación. Lourdes, la letrada designada, tras el examen de la sentencia le informa que es prácticamente imposible que pueda estimarse el recurso. ¿Qué tiene que hacer Lourdes?","Debe comunicar a su colegio que la defensa es insostenible.","Debe presentar escrito al juzgado comunicando la insostenibilidad de la pretensión.","Al tratarse de un procedimiento penal, Lourdes tiene la obligación de interponer el recurso.","Puede renunciar a la designación si posteriormente se da de baja en el turno.","c","Comun"
"Aurora es una mujer víctima de violencia de género. Para la defensa de sus derechos e intereses en relación con esa condición ¿Tiene derecho al beneficio de justicia gratuita con independencia de sus ingresos?","Sí, en todo caso.","No, salvo que cumpla los requisitos de carencia de recursos económicos.","No, ya que debe esperar a que se dicte sentencia.","Sí, si bien el derecho se limita al de asistencia letrada.","a","Comun"
"Usted ha sido sancionado por una infracción leve. Sin embargo, cree que ya ha transcurrido el tiempo de prescripción de la misma, pero tiene dudas acerca del mismo. ¿Cuál sería el tiempo de prescripción de las infracciones leves?","El tiempo de prescripción de las infracciones leves será de tres meses.","El tiempo de prescripción de las infracciones leves será de seis meses.","El tiempo de prescripción de las infracciones leves será de un año.","El tiempo de prescripción de las infracciones leves será de dos años.","c","Comun"
