# 2021.2 laboral 
pregunta,a,b,c,d,correcta,bloque
"Rodrigo ha sufrido lesiones como consecuencia de un accidente laboral por carecer de los medios de protección adecuados. Habiéndose reconocido su derecho a las prestaciones económicas, ¿tiene derecho al recargo?","Sí, las prestaciones se aumentarán, pero solo si la Inspección del Trabajo ha sancionado a la empresa por infracción muy grave.","Sí, las prestaciones se aumentarán, pero solo si se aprecia un delito contra el derecho de los trabajadores.","Sí, las prestaciones económicas se aumentarán, según la gravedad de la falta, de un 30 a un 50 por ciento.","Sí, las prestaciones económicas se aumentarán, según la gravedad de la falta, de un 10 a un 30 por ciento.","c","Derecho Laboral"
"Rosario prestaba servicios en Burgos y León, con empresa domiciliada en Madrid, y quiere impugnar su despido. ¿Dónde ha de presentar la demanda?","La demanda tiene que presentarse necesariamente ante el Juzgado de lo Social donde la empresa tiene su domicilio.","La demanda podrá presentarse ante el Juzgado de lo Social de alguna de las circunscripciones territoriales en que presta servicios, pudiendo elegir entre el de su domicilio, el del contrato si allí pudiera citarse al demandado, o el del domicilio del demandado.","Tiene que presentarse ante la Sala de lo Social de la Audiencia Nacional ya que afecta al territorio de varias Comunidades Autónomas.","Tiene que presentarse ante la Sala de lo Social del TSJ de Castilla y León al prestar servicios en dos provincias de esa Comunidad.","b","Derecho Laboral"
"Albert no está de acuerdo con la modificación sustancial del sistema de remuneración y cuantía salarial. Consulta si el sindicato puede intervenir en el proceso judicial en su representación. Señale la respuesta correcta.","Los sindicatos podrán actuar en nombre e interés de los trabajadores afiliados para la defensa de sus derechos individuales, debiendo acreditar la condición de afiliado y la comunicación al afiliado de su voluntad de iniciar el proceso, presumiéndose concedida la autorización salvo declaración en contrario del afiliado.","Los sindicatos podrán actuar en nombre e interés de los trabajadores afiliados, siempre que se trate de modificaciones sustanciales del contrato de trabajo de carácter colectivo.","Los sindicatos podrán actuar en nombre e interés de los trabajadores afiliados para la defensa de sus derechos individuales, debiendo acreditar la condición de afiliado y su autorización.","Los sindicatos podrán actuar en nombre e interés de los trabajadores afiliados, siempre que el trabajador sea delegado sindical o miembro del comité de empresa.","a","Derecho Laboral"
"Juan y Pedro, trabajadores de la misma empresa, han presentado sendas demandas por despido improcedente, turnando al Juzgado nº 3 y al nº 1 respectivamente, ambos de Lugo. ¿Pueden acumularse sus procedimientos?","Los procedimientos no pueden acumularse nunca.","Los procedimientos pueden acumularse y conocerá el Juzgado de lo Social nº 3.","Los procedimientos pueden acumularse y conocerá el Juzgado de lo Social nº 1.","Los procedimientos no pueden acumularse por estar en distintas circunscripciones.","b","Derecho Laboral"
"La empresa X ha sido condenada por despido improcedente en sentencia firme dictada a los 120 días hábiles desde la presentación de la demanda. ¿Quién tiene que abonar los salarios de tramitación?","Los salarios de tramitación deben ser abonados íntegramente por la empresa.","La empresa debe abonar los salarios de tramitación de los primeros 90 días hábiles y luego el Estado los restantes.","Los salarios de tramitación deben ser abonados íntegramente por el Estado.","La empresa debe abonar los salarios de tramitación de los primeros 60 días hábiles y el Estado los restantes.","b","Derecho Laboral"
"La empresa XX ha sido demandada por despido improcedente y pregunta qué plazo tienen para contestar a la demanda.","20 días hábiles.","20 días naturales.","No hay plazo para contestar a la demanda.","10 días hábiles.","c","Derecho Laboral"
"Juan, trabajador de una empresa de transportes, tiene derecho a una vivienda donde reside pero ha sido despedido. Ha recurrido la sentencia que confirmó la extinción. ¿Tendrá que abandonar la vivienda y cuándo?","No tendrá que abandonarla porque es un derecho reconocido en el artículo 47 de la Constitución.","Tendrá que abandonarla en el plazo de un mes sin esperar a la firmeza de la sentencia.","Tendrá que abandonarla en el plazo de un mes desde que la sentencia sea firme.","No tendrá que abandonarla porque para ello hay que iniciar un nuevo procedimiento.","c","Derecho Laboral"
"Juan trabaja en una empresa con comité de empresa y desea demandar porque considera que ejerce funciones de categoría superior. ¿Qué documentación debe aportar con la demanda?","No es preciso que acompañe ninguna documental ya que el Juzgado requerirá al comité de empresa que emita informe.","Es preciso que acompañe en todo caso informe del comité de empresa sobre las funciones superiores alegadas.","Es preciso que acompañe informe del comité de empresa sobre las funciones superiores alegadas, salvo que acredite haberlo solicitado y no haber recibido contestación en el plazo de 15 días.","No es preciso que aporte ninguna documental, sin perjuicio de la prueba que quiera aportar.","c","Derecho Laboral"
"Bernat ha presentado a su empresa una propuesta para teletrabajar que ha sido rechazada. ¿Qué plazo tiene para demandar?","Podrá hacerlo en cualquier momento desde la negativa de la empresa.","Podrá hacerlo en un plazo de 20 días naturales desde la negativa de la empresa.","Podrá hacerlo en un plazo de 20 días hábiles desde la negativa de la empresa.","Podrá hacerlo en un plazo de 10 días naturales desde la negativa de la empresa.","c","Derecho Laboral"
"Joana se reincorporó tras su baja de maternidad y ha solicitado una reducción de jornada que le ha sido denegada. ¿Debe realizar algún trámite previo a interponer la demanda?","Deberá realizar un intento de conciliación previa o mediación ante el servicio administrativo correspondiente.","Deberá agotar con carácter previo la vía administrativa previa.","Deberá interponer la demanda en el plazo de 20 días desde la negativa.","Deberá agotar la vía administrativa previa e intentar la conciliación previa.","c","Derecho Laboral"
"El procedimiento para la fijación individual o plural de las vacaciones es preferente y urgente. Por ello el Letrado de la Administración de Justicia debe señalar la vista:","Dentro de los cinco días siguientes al de la admisión de la demanda.","Dentro de los cinco días siguientes al de la presentación de la demanda.","Dentro de los tres días siguientes al de la admisión de la demanda.","Dentro de los tres días siguientes al de la presentación de la demanda.","a","Derecho Laboral"
"Josué ha interpuesto demanda impugnando un despido disciplinario. El Abogado quiere que se cite a una testigo, para lo que requiere el auxilio judicial. ¿Cuándo puede solicitarlo?","Al menos con diez días de antelación a la fecha del juicio, salvo cuando el señalamiento se deba efectuar con antelación menor, en cuyo caso el plazo será de cinco días.","En cualquier momento, debiéndose suspender el acto de juicio oral si se hiciese en el acto de juicio.","Al menos con cinco días de antelación a la fecha del juicio, salvo cuando el señalamiento se deba efectuar con antelación menor, en cuyo caso el plazo será de tres días.","En cualquier caso al menos con tres días de antelación a la fecha del juicio.","c","Derecho Laboral"
"Gabriela ha sido sancionada por su empresa por la comisión de una falta grave. No estando conforme, planea demandar. ¿Qué plazo tiene?","Tiene un plazo de prescripción de 20 días hábiles.","Tiene un plazo de caducidad de 20 días hábiles.","Tiene un plazo de prescripción de 20 días naturales.","Tiene un plazo de caducidad de 20 días naturales.","b","Derecho Laboral"
"La presentación de un escrito sujeto a plazo en el procedimiento laboral:","Podrá efectuarse hasta las quince horas del día hábil siguiente al del vencimiento del plazo en el servicio común procesal creado a tal efecto o, de no existir este, en la sede del órgano judicial.","Podrá efectuarse hasta las veintitrés horas del día hábil siguiente al del vencimiento del plazo en el servicio común procesal o, de no existir este, en la sede del órgano judicial.","Podrá efectuarse hasta las doce horas del día hábil siguiente al del vencimiento del plazo en el servicio común procesal o, de no existir este, en la sede del órgano judicial.","Podrá efectuarse hasta las dieciséis horas del día hábil siguiente al del vencimiento del plazo en el servicio común procesal o, de no existir este, en la sede del órgano judicial.","a","Derecho Laboral"
"Indique cuál es la afirmación correcta en relación con la audiencia al rebelde en el proceso laboral.","La petición de audiencia al rebelde se formulará ante el órgano judicial que hubiere dictado la sentencia firme que se pretende rescindir y se sustanciará ante el órgano que conoció del litigio en instancia.","La petición de audiencia al rebelde se formulará ante el órgano judicial que hubiere conocido del asunto en instancia y se sustanciará ante el órgano que haya dictado la sentencia firme que se pretende rescindir.","La petición de audiencia al rebelde se formulará y se sustanciará ante el órgano judicial que hubiere dictado la sentencia firme que se pretende rescindir.","La petición de audiencia al rebelde se formulará y se sustanciará ante el órgano judicial que conoció del litigio en instancia.","a","Derecho Laboral"
