pregunta,a,b,c,d,correcta,materia
"Indique la respuesta correcta en relación con la tasación de costas.","En las tasaciones de costas, los honorarios de abogado y derechos de procurador no incluirán el Impuesto sobre el Valor Añadido.","Serán incluidos en la tasación de costas los derechos de los procuradores devengados por la realización de los actos procesales de comunicación, cooperación y auxilio a la Administración de Justicia.","Practicada la tasación de costas por el letrado de la Administración de Justicia se dará traslado de ella a las partes por plazo común de diez días.","La parte favorecida por la condena en costas no podrá impugnar la tasación.",c,Costas y Justicia Gratuita
"¿El conocimiento de cuál de las siguientes materias corresponde a los tribunales y juzgados del orden civil?","De las pretensiones que se deduzcan en relación con la responsabilidad patrimonial de las Administraciones Públicas, cuando a la producción del daño hubieran concurrido sujetos privados.","De cualquier materia no atribuida a otro orden jurisdiccional.","De las reclamaciones en materia de Seguridad Social.","De los conflictos individuales que se promuevan dentro de la rama social del derecho.",b,Organización Judicial
"¿Qué consecuencia se deriva del planteamiento de un conflicto de competencia por un juzgado de lo social a un juzgado de lo penal, por considerar el primero que es competente para el conocimiento de la causa criminal?","Al tratarse de un conflicto de competencia entre juzgados de distinto orden jurisdiccional, el mismo se resolverá por una Sala especial del Tribunal Supremo.","No es posible que se plantee tal conflicto. Ningún juez o tribunal podrá plantear conflicto de competencia a los órganos del orden jurisdiccional penal.","Se resolverá por la Sala de Conflictos de la Jurisdicción, al tratarse de un conflicto de competencia entre juzgados de distinto orden jurisdiccional.","Se resolverá por la Audiencia Provincial como órgano inmediato superior común a los juzgados entre los que se plantea el conflicto de competencia.",b,Organización Judicial
"El TEDH ha declarado que una resolución judicial firme dictada por un tribunal español ha sido dictada en violación del derecho a la libertad reconocido en el CEDH, siendo la violación tan grave que entraña efectos persistentes. ¿Qué actuación cabe llevar a cabo frente a tal resolución judicial firme?","Cabe interponer recurso de revisión ante el Tribunal Supremo, con arreglo a las normas procesales del orden jurisdiccional en el que se hubiera dictado la resolución.","No cabe actuación alguna al tratarse de una resolución judicial firme, y ser el pronunciamiento del TEDH meramente declarativo.","Cabe interponer recurso de casación ante el Tribunal Supremo, con arreglo a las normas procesales del orden jurisdiccional en el que se hubiera dictado la resolución.","Cabe interponer recurso de revisión frente a tal resolución judicial firme ante el Tribunal Europeo de Derechos Humanos.",a,Organización Judicial
"Dos profesionales de la Abogacía conocen que se ha producido en España un accidente de tráfico ferroviario con más de un centenar de víctimas. Transcurridos quince días desde que se produjo el accidente, se trasladan a la localidad en la que residen la mayor parte de los familiares de las víctimas, ofreciendo sus servicios profesionales. ¿Es correcta la actuación de los profesionales de la Abogacía?","Sí, pues los profesionales de la Abogacía están facultados para ofrecer sus servicios profesionales a potenciales clientes máxime cuando han realizado un previo estudio de la prosperabilidad de las acciones a ejercitar.","No, pues los profesionales de la Abogacía no pueden, bajo ninguna circunstancia, ofrecer sus servicios a potenciales clientes, debiendo aguardar a que estos lo soliciten con pleno respeto a su libertad de elección.","Sí, pues ha transcurrido un tiempo prudencial de quince días desde que se produjeron los hechos.","No, pues los profesionales de la Abogacía no podrán dirigirse a las víctimas de sucesos que hayan producido un número elevado de víctimas y que puedan constituir delito para ofrecerles sus servicios profesionales, hasta transcurridos cuarenta y cinco días del hecho.",d,Deontología y EGAE
"Detenida una persona que no ha designado abogado, se le presta asistencia de abogado en el marco del derecho a la asistencia jurídica gratuita. Posteriormente, comprobados sus recursos, no se le reconoce el derecho a tal asistencia. ¿Tiene derecho el profesional de la Abogacía que le asistió a solicitar al detenido los honorarios devengados por su intervención?","Sí, el detenido debe abonar al profesional de la Abogacía los honorarios devengados por su intervención, al no haberle sido reconocido tal derecho.","No, el profesional de la Abogacía debió cerciorarse de que el detenido acreditó previamente carecer de recursos.","Sí, pero únicamente si el profesional de la Abogacía realizó una comprobación previa de la existencia de recursos del detenido, que resulta errónea por causa imputable a este último.","No, pues el derecho a la asistencia jurídica gratuita comprende la asistencia de abogado al detenido, sin que este acredite previamente carecer de recursos, y con independencia del reconocimiento posterior del derecho a la asistencia jurídica gratuita.",a,Costas y Justicia Gratuita
"Conforme al principio de tutela judicial efectiva, ¿en qué supuesto podrán desestimar los juzgados y tribunales las pretensiones que se les formulen por motivos formales?","En ningún caso cabrá la desestimación por motivos formales.","Cualquier defecto de forma dará lugar a la desestimación por motivos formales.","Únicamente cuando el defecto no se subsanare por el procedimiento establecido en las leyes.","Cuando el defecto fuese insubsanable o no se subsanare por el procedimiento establecido en las leyes.",d,Derecho Constitucional
"¿Qué consecuencia se atribuye a la utilización de una norma de conflicto con el fin de eludir una ley imperativa española?","Se considerará como fraude de ley y no impedirá la debida aplicación de la norma que se hubiera tratado de eludir.","Se considerará como abuso de derecho, no siendo posible aplicar la norma eludida.","Ninguna. Existe plena libertad para la utilización de normas de conflicto, aun cuando el fin del uso fuera la elusión de imperativa ley española.","Se considera un defecto formal subsanable.",a,Derecho Civil
"Laura recibe de su acreedor Jorge requerimiento notarial fehaciente y justificado de pago y no lo atiende. Jorge formula demanda reclamando la cantidad debida. Laura manifiesta a su abogado su voluntad de allanarse a la demanda, antes de evacuar el trámite de contestación. ¿Qué efectos produciría tal allanamiento en cuanto a la imposición de costas?","No procederá la imposición de costas en ningún caso.","El tribunal podrá imponer las costas a Laura, razonándolo debidamente, pues atendiendo a las circunstancias expuestas, se entiende la existencia de mala fe por su parte.","No procede la imposición de costas salvo que el tribunal aprecie mala fe. De las circunstancias expuestas no resulta la existencia de mala fe.","Atendiendo a las circunstancias expuestas, las costas se impondrán necesariamente por mitad.",b,Costas y Justicia Gratuita
"Formulada demanda en un proceso civil, el demandante decide desistir del mismo. El demandado consiente el desistimiento, que pondrá fin al proceso. ¿A quién se impondrán las costas?","A ninguno de los litigantes.","Al actor.","Al demandado.","A la parte respecto de la que el tribunal aprecie la existencia de mala fe.",a,Costas y Justicia Gratuita
"Incoado un expediente disciplinario frente a un profesional de la Abogacía como consecuencia de denuncia formulada por un usuario de los servicios de asistencia jurídica gratuita, ¿podrá acordarse la separación cautelar del servicio del profesional de la Abogacía presuntamente responsable?","No, no es posible suspender cautelarmente a quien no ha sido sancionado.","Sí, en todo caso. La incoación del expediente disciplinario llevará aparejada automáticamente la suspensión cautelar hasta que finalice el procedimiento sancionador.","Sí, cuando la gravedad del hecho denunciado lo aconseje y por tiempo indefinido.","Sí, cuando la gravedad del hecho denunciado lo aconseje por un periodo máximo de seis meses hasta que el expediente disciplinario se resuelva.",d,Turno de Oficio
"Gonzalo, profesional de la Abogacía, integra una sociedad profesional en la que ostenta el cargo de administrador. Cometida una infracción por Gonzalo, por cuenta y en provecho de la sociedad profesional, ¿puede la sociedad profesional ser sancionada?","Sí, pues las circunstancias expuestas llevan a presumir la existencia de responsabilidad concurrente de la sociedad profesional en la comisión de la infracción.","Sí, las sociedades profesionales serán sancionadas siempre y en todo caso, por las infracciones cometidas por los profesionales de la Abogacía que la integren.","No, las sociedades profesionales no pueden ser sancionadas en ningún caso.","No, las sociedades profesionales únicamente pueden ser sancionadas por la realización de conductas directamente por la sociedad, pero no por los profesionales que la integran.",a,Régimen Disciplinario
"¿Qué consecuencias tiene la ausencia de seguro en vigor o garantía equivalente que cubra la responsabilidad en la que una sociedad profesional pueda incurrir en el ejercicio de sus actividades, cuando la obligación de contar con dicho régimen de garantía esté prevista en la ley?","Se considera como infracción leve de la sociedad profesional.","Se considera como infracción grave de la sociedad profesional.","Se considera como infracción muy grave de la sociedad profesional.","No es constitutivo de infracción.",c,Régimen Disciplinario
"Blanca pretende su colegiación como profesional de la Abogacía ejerciente en el Ilustre Colegio de Abogados de Jaén. La Junta de Gobierno deniega su solicitud por apreciar que Blanca se encuentra incursa en causa de incompatibilidad. ¿Puede Blanca incorporarse a un Colegio de Abogados distinto?","No. La denegación de incorporación como ejerciente impide su incorporación a otro Colegio al tratarse de una causa insubsanable, debiendo ser la resolución denegatoria comunicada por el Colegio de Jaén al Consejo General de la Abogacía, para su traslado a todos los Colegios de la Abogacía.","Sí. La denegación no vincula la decisión de un Colegio distinto.","Sí. Blanca se encuentra incursa en causa de incompatibilidad que deberá ser apreciada por el Colegio al que dirija la solicitud, si bien este Colegio decidirá libremente sin considerar la previa denegación.","Sí. El único efecto de la denegación es la imposibilidad de colegiarse en el Ilustre Colegio de Abogados de Jaén, pudiendo solicitar la colegiación en otro Colegio distinto que requiera requisitos diferentes para la colegiación.",a,Deontología y EGAE
"¿A qué provincias extiende su jurisdicción la Sala de lo Contencioso-administrativo del Tribunal Superior de Justicia de Andalucía con sede en Sevilla?","A todas las provincias de la Comunidad Autónoma de Andalucía.","A las provincias de Cádiz, Huelva, Córdoba y Sevilla.","A las provincias de Almería, Sevilla, Granada y Jaén.","A las provincias de Sevilla y Málaga.",b,Organización Judicial
"¿Puede ser grabada una conversación mantenida entre un profesional de la Abogacía y su cliente?","Sí, siempre que concurra previa advertencia y conformidad de todos los intervinientes, quedando en todo caso amparada por el secreto profesional.","Sí, pues si el que realiza la grabación es el profesional de la Abogacía y la grabación se realiza en el estricto ejercicio de su función profesional no es necesaria la advertencia y conformidad del cliente, siempre que no concurra su negativa expresa.","No, pues aun cuando los intervinientes lo consientan, una conversación entre el profesional de la Abogacía y su cliente no puede ser grabada.","Sí, pero únicamente si la decisión de la grabación emana del cliente, no siendo en tal caso precisa la conformidad del profesional de la Abogacía.",a,Deontología y EGAE
"Señale, en relación con el ejercicio colectivo de la Abogacía en forma no societaria, cuál de las respuestas es correcta.","El despacho colectivo habrá de tener como objeto necesario, pero no exclusivo el ejercicio profesional de la Abogacía, estando integrado por un máximo de 10 profesionales de la Abogacía.","El despacho colectivo habrá de tener como objeto exclusivo el ejercicio profesional de la Abogacía y estar integrado solo por profesionales de la Abogacía, sin limitación de número.","El despacho colectivo habrá de tener como objeto necesario, pero no exclusivo el ejercicio profesional de la Abogacía y estar integrado al menos por 2 profesionales de la Abogacía, sin limitación de número.","El despacho colectivo habrá de tener como objeto exclusivo el ejercicio profesional de la Abogacía y estar integrado por profesionales de la Abogacía y por otros profesionales liberales no incompatibles.",b,Deontología y EGAE
"Cristina, profesional de la Abogacía, tiene conocimiento de un conflicto de intereses entre dos de sus clientes, Antonio y Elena. Elena llama a Cristina y le comunica que le autoriza, pese a la existencia del conflicto, para que intervenga en defensa de Antonio. ¿Qué debe hacer Cristina?","Debe dejar de actuar para ambos clientes.","Puede continuar actuando en defensa de Antonio, al haber sido autorizado expresamente para ello por Elena.","Puede continuar actuando en defensa de ambos, siempre que pueda salvaguardar la imparcialidad.","Puede continuar actuando en defensa de Elena, por haber sido ésta la que ha tenido una actitud conciliadora respecto al conflicto.",a,Deontología y EGAE
"¿A qué provincias extiende su jurisdicción la Sala de lo Social del Tribunal Superior de Justicia de Castilla y León con sede en Valladolid?","Únicamente a la provincia de Valladolid.","A las provincias de León, Palencia, Salamanca, Valladolid y Zamora.","A todas las provincias de Castilla y León.","A las provincias de Valladolid, Ávila, Burgos, Segovia y Soria.",b,Organización Judicial
"James, nacional de Alemania y residente en Francia, pretende, por vía de recurso, la anulación de un acto dictado por la Administración autonómica española. ¿Qué jurisdicción será competente?","La jurisdicción española.","La jurisdicción alemana.","La jurisdicción francesa.","La jurisdicción española, alemana o francesa, a elección de James.",a,Organización Judicial
"¿Las Comunidades Autónomas pueden instar la revisión de la planta de los juzgados y tribunales?","No, la revisión de la planta de los juzgados y tribunales únicamente puede ser instada por el Consejo General del Poder Judicial.","Sí, las Comunidades Autónomas con competencia en materia de justicia pueden instar la revisión de la planta de los juzgados y tribunales para adaptarla a las necesidades de su ámbito territorial.","Sí, cualquier Comunidad Autónoma puede instar la revisión de la planta de los juzgados y tribunales para adaptarla a las necesidades de su ámbito territorial, pues en España todas las Comunidades Autónomas tienen competencias en materia de justicia.","No, únicamente el Ministerio de la Presidencia, Justicia y Relaciones con las Cortes puede instar la revisión de la planta de los juzgados y tribunales.",b,Organización Judicial
"¿A quién corresponde la resolución del conflicto de jurisdicción que se plantee entre un juzgado y la Administración?","No es posible plantear conflicto de jurisdicción entre juzgados o tribunales y la Administración. Los conflictos de jurisdicción únicamente pueden ser planteados entre juzgados y tribunales de distinto orden jurisdiccional.","Al Consejo General del Poder Judicial.","A una Sala especial del Tribunal Supremo, presidida por el Presidente y compuesta por dos Magistrados.","A un órgano colegiado constituido por el Presidente del Tribunal Supremo, que lo presidirá y por 5 vocales.",d,Organización Judicial
"Atendiendo al Estatuto General de la Abogacía Española, ¿cuál es el contenido de la profesión de la Abogacía?","Su contenido consiste en la actividad de asesoramiento, consejo y defensa de derechos e intereses públicos y privados, mediante la aplicación de la ciencia y la técnica jurídicas, en orden a la concordia y a la efectividad de los derechos y libertades fundamentales.","Su contenido consiste en el ejercicio de la potestad jurisdiccional en todo tipo de procesos.","Su contenido consiste en la promoción de la acción de la justicia en defensa de la legalidad, de los derechos de los ciudadanos y del interés público tutelado por la ley.","Su contenido consiste en el desarrollo de la función de representación en juicio del cliente.",a,Deontología y EGAE
"Conforme al Estatuto General de la Abogacía Española, ¿a quién corresponde la denominación de abogada y de abogado?","Exclusivamente a quienes se encuentren incorporados a un Colegio de la Abogacía como ejercientes.","A quienes se encuentren incorporados a un Colegio de la Abogacía, ya sea como ejercientes o como no ejercientes.","A quienes obtengan el título profesional para el ejercicio de la Abogacía, con independencia de su colegiación.","A todo aquel que hubiera obtenido el grado en Derecho.",a,Deontología y EGAE
"Eduardo, profesional de la Abogacía, ha sido sancionado disciplinariamente con la expulsión del Colegio de la Abogacía. ¿Qué requisitos deben concurrir para que Eduardo pueda solicitar su rehabilitación como profesional de la Abogacía?","No es posible la rehabilitación del profesional de la Abogacía sancionado disciplinariamente con la expulsión.","Deben transcurrir cinco años desde que la sanción de expulsión hubiese sido ejecutada, debiendo acreditar Eduardo la superación de las actividades formativas que en materia de deontología profesional establezca cada Colegio así como no haber incurrido en causa de indignidad o desprecio de los valores y obligaciones profesionales y deontológicas.","Deben transcurrir diez años desde que la sanción de expulsión hubiese sido ejecutada, debiendo acreditar Eduardo la superación del test psicotécnico de rehabilitación convocado por el Consejo General de la Abogacía así como no haber incurrido en causa de indignidad.","La rehabilitación se producirá automáticamente transcurridos cinco años desde la ejecución de la sanción de expulsión.",b,Régimen Disciplinario
"Matilda, profesional de la Abogacía, decide incluir referencia a importantes clientes al publicitar sus servicios, por la relevancia de los servicios a ellos prestados. Los clientes la autorizan expresamente a incluir tal referencia. ¿Puede Matilda incluir referencia a estos clientes al publicitar sus servicios?","Sí, sin que para ello hubiera sido necesaria la existencia de autorización expresa, bastando que no lo hubieran prohibido expresamente.","Sí, puede hacerlo, al haber sido autorizada por los clientes a los que se refiere la publicidad.","No, aun cuando lo hayan autorizado, la publicidad no puede incluir referencia a los clientes del propio profesional de la Abogacía.","No, no es posible publicitar los servicios de un profesional de la Abogacía, debiendo ser solicitados expresamente por el cliente.",b,Deontología y EGAE
"¿A qué órgano corresponde tramitar las solicitudes de asistencia jurídica gratuita para litigar en otro Estado miembro de la Unión Europea?","Al Colegio de la Abogacía del lugar de domicilio o residencia habitual del solicitante.","Al Consejo General de la Abogacía.","Al Departamento de Asuntos Exteriores del Consejo General de la Abogacía.","Al Consejo Autonómico si lo hubiere y, en su defecto, al Consejo General de la Abogacía.",a,Costas y Justicia Gratuita
"Indique la respuesta correcta en relación con la aceptación y renuncia de encargos profesionales por el profesional de la Abogacía.","El profesional de la Abogacía podrá, con plena libertad, decidir sobre su permanencia o cese en su intervención profesional cuando concurran circunstancias que afecten a su independencia.","El profesional de la Abogacía tiene la obligación de cesar en su intervención profesional cuando surja cualquier discrepancia con su cliente.","El profesional de la Abogacía que renuncie a la defensa procesal tendrá la obligación de comunicar la renuncia al órgano judicial ante el que hubiera comparecido y será el órgano judicial quien comunique la renuncia por escrito al cliente.","El profesional de la Abogacía tendrá plena libertad para aceptar o rechazar la dirección de cualquier asunto que le sea encomendado.",d,Deontología y EGAE
"Oliva, profesional de la Abogacía, recaba de su cliente la documentación relevante para el ejercicio de la función de asesoramiento jurídico que se le ha encomendado. Posteriormente, el cliente solicita que se le devuelva. ¿Puede Oliva retener la documentación?","No, sin perjuicio de que pueda conservar copia.","No, y en ningún caso podrá conservar copia.","Sí, pues el profesional de la Abogacía tiene derecho a recabar del cliente cuanta documentación resulte relevante para el correcto ejercicio de su función, pudiendo retener tal documentación.","Sí, siempre que el cliente no haya solicitado expresamente y por escrito al dar la documentación que la misma no se retuviese.",a,Deontología y EGAE
"¿Cuál de las siguientes infracciones cometidas por un profesional de la Abogacía podrá suponer la imposición de sanción de suspensión del ejercicio profesional por tiempo superior a un año sin exceder de dos?","La retención de cantidades correspondientes al cliente y recibidas por cualquier concepto.","El incumplimiento injustificado del encargo contenido en la designación realizada por el Colegio de la Abogacía en materia de asistencia jurídica gratuita.","La relación o comunicación con la parte contraria cuando le conste que está representada o asistida por otro profesional de la Abogacía, salvo su autorización expresa.","Comprometer en sus comunicaciones y manifestaciones con el profesional de la Abogacía de la parte contraria al propio cliente con comentarios o manifestaciones que puedan causarle desprestigio.",a,Régimen Disciplinario
"Iñígo, profesional de la Abogacía, ha recibido en su correo electrónico una reclamación relativa al servicio que ha prestado, presentada por un cliente. ¿Tiene Iñigo obligación de dar respuesta a la reclamación?","No, Iñigo puede dar respuesta a la reclamación, pero no tiene tal obligación.","No, Iñigo no debe responder a la reclamación, sino trasladar la reclamación al Colegio de Abogados en que está colegiado.","Sí, Iñigo debe dar respuesta a la reclamación en el plazo más breve posible y, en todo caso, antes de un mes desde que recibió la reclamación.","Sí, Iñigo debe dar respuesta a la reclamación, pero esta obligación de respuesta no se encuentra sujeta a plazo.",c,Deontología y EGAE
"Juan, profesional de la Abogacía, participa en un procedimiento de contratación sujeto a la legislación de contratos del sector público. ¿Puede Juan incluir en su historial profesional referencia a un cliente al que prestó servicios, teniendo en cuenta que este cliente prohibió expresamente la inclusión de tales referencias?","Sí, puede incluir en su historial tales referencias. Aun cuando el cliente lo prohibiera expresamente, nos encontramos ante un procedimiento sujeto a legislación específica, en el que por sus propias normas se respeta el deber de confidencialidad y la protección de datos personales.","No puede incluir en su historial tales referencias ni hubiera podido hacerlo aun cuando el cliente no lo hubiera prohibido, siempre que no lo hubiera autorizado expresamente.","Sí, puede incluir en su historial tales referencias siempre que actúe salvaguardando el deber de confidencialidad y la normativa sobre protección de datos personales, sin infringir el derecho a la intimidad de las personas físicas.","No puede incluir en su historial tales referencias por haberlo prohibido expresamente el cliente.",d,Deontología y EGAE
"¿Qué puede hacer el profesional de la Abogacía que considere que un juez no ha guardado la consideración debida a su función?","Podrá hacerlo constar así ante el propio juzgado y dar cuenta a la Junta de Gobierno.","No podrá tomar medida alguna, por su obligación de guardar el debido respeto.","Podrá dar cuenta de tal actuación al Consejo General de la Abogacía.","Podrá hacerlo constar así ante el propio juzgado y dar cuenta al Consejo General del Poder Judicial.",a,Deontología y EGAE
"¿A qué órgano corresponde resolver de la cuestión de competencia planteada entre dos juzgados de lo contencioso-administrativo con sede en Madrid?","A la Sala de lo Contencioso-administrativo del Tribunal Superior de Justicia de Madrid.","A la Sala de lo Contencioso-administrativo de la Audiencia Nacional.","A la Sala de Conflictos del Tribunal Supremo.","A un órgano colegiado del Tribunal Supremo constituido por su Presidente y 5 vocales.",a,Organización Judicial
"Indique la respuesta correcta en relación con la mediación como medio de solución de controversias.","El acuerdo alcanzado tras un procedimiento de mediación desarrollado después de iniciar un proceso judicial puede ser homologado por el tribunal.","Contra lo convenido en el acuerdo de mediación no podrá, en ningún caso, ejercitarse la acción de nulidad.","El procedimiento de mediación únicamente puede concluir en acuerdo.","La mediación se llevará siempre a cabo por varios mediadores.",a,Medios Adecuados de Solución de Controversias
"¿Sobre cuál de las siguientes materias es posible transigir?","Sobre la acción civil proveniente de un delito.","Sobre el estado civil de las personas.","Sobre cuestiones matrimoniales.","Sobre alimentos futuros.",a,Derecho Civil
"Un cliente solicita a la sociedad profesional que le ha prestado sus servicios la entrega de factura en la que se expresen detalladamente los conceptos de los honorarios y la relación de los gastos. ¿Está obligada la sociedad profesional a entregar dicha factura?","Sí. La obligación de la sociedad profesional nace de la solicitud del cliente, no estando obligado si éste no lo hubiera solicitado.","Sí. La sociedad profesional está obligada, al margen de la solicitud del cliente, a entregar factura a éste, debiendo la factura expresar detalladamente los diferentes conceptos de los honorarios y la relación de gastos.","No. Están obligados a entregar factura los profesionales de la Abogacía, pero no las sociedades profesionales constituidas para el común ejercicio de la Abogacía.","No. La sociedad profesional está obligada a entregar factura al cliente, pero éste no puede exigir que en la factura se expresen detalladamente los conceptos de los honorarios y la relación de los gastos.",b,Deontología y EGAE
"La persona beneficiaria de la asistencia jurídica gratuita, ¿tiene derecho a instar la designación de nuevos profesionales?","Sí, mediante solicitud debidamente justificada, que no suspenderá la designación de los profesionales que ya venga acordada.","Sí, sin necesidad de justificar la solicitud de nueva designación.","Sí, mediante solicitud debidamente justificada, que suspenderá automáticamente la designación de los profesionales que ya venga acordada.","No, la persona beneficiaria de la asistencia jurídica gratuita no tiene derecho a instar la designación de nuevos profesionales.",a,Costas y Justicia Gratuita
"¿Qué recurso cabe interponer frente al auto que deniega la aclaración de una resolución judicial?","Recurso de apelación.","Recurso de casación.","Recurso de reposición.","No cabe recurso alguno.",d,Proceso Civil
"Reconocido el derecho a la asistencia jurídica gratuita ¿es posible que actúen simultáneamente un abogado de oficio y un procurador libremente elegido?","Únicamente cuando el profesional de libre elección renunciara por escrito a percibir sus honorarios o derechos ante el titular del derecho a la asistencia jurídica gratuita y ante el Colegio en el que se halle inscrito.","No, en ningún caso.","No es posible, pero sí sería admisible a la inversa, actuando simultáneamente abogado libremente designado y procurador de oficio, sin necesidad de que el primero renuncie a percibir sus honorarios.","Sí, en todo caso, pueden actuar simultáneamente un abogado de oficio y un procurador libremente designado.",a,Costas y Justicia Gratuita
